,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,626537,351365,429404,153312,607044,407279,318303,184165,541052,436083,174107,351179,243942,367051,150366,318750,419559,290772,301041,192669,Upgrade
1,Short-Term Investments,10500,15500,30500,28000,20000,23500,20000,5000,3000,5000,5000,3000,3000,5000,-,-,-,-,4000,-,Upgrade
2,Cash & Short-Term Investments,637037,366865,459904,181312,627044,430779,338303,189165,544052,441083,179107,354179,246942,372051,150366,318750,419559,290772,305041,192669,Upgrade
3,Cash Growth,1.59%,-14.84%,35.94%,-4.15%,15.25%,-2.34%,88.88%,-46.59%,120.32%,18.55%,19.11%,11.11%,-41.14%,27.95%,-50.71%,65.44%,-0.49%,-19.78%,10.01%,3.16%,Upgrade
4,Accounts Receivable,442722,931253,1103723,678207,530014,848217,700823,477987,537875,832151,707718,592314,183779,692403,975858,772979,503264,869235,874023,672181,Upgrade
5,Other Receivables,14269,15689,26039,54612,15685,17009,41153,41472,27300,31537,30029,15408,9799,26796,32255,21933,25778,35590,15918,21545,Upgrade
6,Receivables,456991,946942,1129762,732818,545699,865226,741976,519459,565175,863688,737746,607722,193578,719199,1008112,794912,529043,904826,889941,693726,Upgrade
7,Inventory,1466097,1592665,1212864,1970444,1519917,1667178,1917140,2558902,2333763,2086984,2615474,2073423,2534995,1592313,986536,1072517,1184666,1160787,1265752,1495170,Upgrade
8,Prepaid Expenses,5977,4513,3926,7001,6033,8381,5896,7141,7983,6906,6382,4965,6355,15593,7952,1589,1569,1676,1483,2109,Upgrade
9,Other Current Assets,42927,85240,51326,55872,44636,58625,46604,43794,35941,88981,62539,109308,63003,90543,103558,74314,74814,75860,63295,57679,Upgrade
10,Total Current Assets,2609030,2996225,2857781,2947447,2743330,3030189,3049918,3318461,3486914,3487642,3601248,3149598,3044872,2789699,2256524,2262081,2209650,2433921,2525511,2441352,Upgrade
11,"Property, Plant & Equipment",437272,442495,457436,463599,478738,493273,508584,523339,555933,566773,568478,554741,551916,546648,566588,579376,587120,600573,570385,583049,Upgrade
12,Long-Term Investments,5161,5681,5681,5681,5681,6160,6160,6160,6046,6410,6410,6706,6706,7335,7335,7335,7335,7868,7868,7868,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.82,117.63,176.45,Upgrade
14,Other Intangible Assets,203589,204466,205301,205908,206779,212686,232096,232450,232805,230169,230407,230595,230849,231138,231444,231753,232015,232319,232574,232879,Upgrade
15,Long-Term Deferred Tax Assets,15679,863.09,863.09,863.09,13006,-,-,11288,11288,-,-,11731,11731,239.93,640.08,640.08,7909,-,-,5107,Upgrade
16,Other Long-Term Assets,7322,6761,6378,6682,7114,5244,5082,5182,6670,7362,6992,6911,8006,8449,9859,11735,12665,15155,12996,13676,Upgrade
17,Total Assets,3278053,3656490,3533440,3630181,3454648,3747553,3801840,4096881,4299656,4298355,4413534,3960281,3854080,3583509,3072390,3092921,3056695,3289896,3349452,3284107,Upgrade
18,Accounts Payable,468009,415755,559222,498241,231766,609448,472887,501720,508513,484697,452422,429530,629758,521202,376222,518653,341845,430324,382817,458361,Upgrade
19,Accrued Expenses,427347,619222,496350,298982,361629,502472,333409,229027,311825,460460,400825,392560,320861,432285,359899,240671,276463,317887,266152,184310,Upgrade
20,Short-Term Debt,770798,1104583,1021599,1432187,1482748,1187555,-,2057623,2052529,1875865,2126833,1530988,1368400,1124340,925372,872693,1058695,1191082,1329549,1310361,Upgrade
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,1690848,405.84,-,135.28,6127,405.84,6127,-,-,-,3063,-,-,-,Upgrade
22,Current Portion of Leases,803.75,291.12,-,873.37,1164,-,2350,-,5734,-,1175,-,903.61,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,29941,10316,25787,2760,13674,8055,4528,201.77,12488,23874,21942,9231,18250,17782,12509,5819,7840,11955,7443,4536,Upgrade
24,Current Unearned Revenue,21600,30548,16229,9296,22960,153830,52720,9210,13641,78593,28905,121580,85251,91191,58993,56325,38857,15101,20283,15091,Upgrade
25,Other Current Liabilities,22868,19214,21892,27317,45348,11441,10718,14640,13037,18389,11581,52164,11591,42550,37641,40218,7905,21597,69534,28515,Upgrade
26,Total Current Liabilities,1741365,2199928,2141078,2269656,2159290,2472801,2567460,2812828,2917765,2942013,3049811,2536460,2441143,2229351,1770637,1734380,1734668,1987946,2075778,2001173,Upgrade
27,Long-Term Debt,4480,5120,8175,6400,7040,9431,12631,15831,19031,23726,27560,39559,49121,64448,76697,85897,95112,108907,119638,130280,Upgrade
28,Long-Term Leases,4806,2955,-,2349,2560,2058,2262,2466,2670,2731,1985,2102,1845,2975,2074,-,-,-,-,-,Upgrade
29,Other Long-Term Liabilities,7579,-,-,-,-,-,-,-,-,-,-,-,-,43002,14384,22381,19665,-,-,-,Upgrade
30,Total Liabilities,1758230,2208003,2149253,2278405,2168890,2484290,2582352,2831124,2939466,2968470,3079357,2578122,2492109,2339776,1863792,1842658,1849445,2096853,2195417,2131453,Upgrade
31,Common Stock,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,571680,Upgrade
32,Retained Earnings,649885,605341,552663,526958,463757,448231,371611,413838,482260,454392,447998,514065,479733,393048,367303,408803,366482,353824,321815,319872,Upgrade
33,Comprehensive Income & Other,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,37422,Upgrade
34,Total Common Equity,1258987,1214443,1161765,1136059,1072859,1057333,980712,1022940,1091362,1063494,1057100,1123167,1088835,1002150,976405,1017904,975584,962926,930917,928974,Upgrade
35,Minority Interest,260836,234044,222423,215717,212899,205929,238776,242817,268829,266390,277078,258993,273136,241584,232194,232358,231666,230117,223119,223680,Upgrade
36,Shareholders' Equity,1519823,1448487,1384188,1351776,1285758,1263263,1219488,1265757,1360191,1329885,1334178,1382160,1361971,1243734,1208599,1250263,1207250,1193043,1154036,1152654,Upgrade
37,Total Liabilities & Equity,3278053,3656490,3533440,3630181,3454648,3747553,3801840,4096881,4299656,4298355,4413534,3960281,3854080,3583509,3072390,3092921,3056695,3289896,3349452,3284107,Upgrade
38,Total Debt,780887,1112949,1029773,1441810,1493512,1199044,1708091,2076326,2079963,1902457,2163681,1573055,1426398,1191763,1004143,958590,1156870,1299989,1449188,1440641,Upgrade
39,Net Cash (Debt),-143850,-746084,-569870,-1260498,-866468,-768265,-1369788,-1887161,-1535911,-1461374,-1984573,-1218876,-1179456,-819712,-853777,-639840,-737311,-1009217,-1144147,-1247972,Upgrade
40,Net Cash Per Share,-2264.16,-11741.13,-9971.97,-24806.92,-15156.52,-12098.11,-23961.28,-37123.69,-24133.91,-23057.20,-34615.29,-23997.73,-18562.20,-12890.64,-14960.51,-12584.00,-11605.60,-15893.48,-20011.69,-24551.27,Upgrade
41,Filing Date Shares Outstanding,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,Upgrade
42,Total Common Shares Outstanding,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,Upgrade
43,Working Capital,867664,796296,716703,677791,584040,557388,482459,505633,569149,545628,551436,613137,603730,560349,485887,527701,474982,445975,449733,440180,Upgrade
44,Book Value Per Share,22022.58,21243.41,20321.95,19872.30,18766.78,18495.19,17154.92,17893.58,19090.43,18602.97,18491.12,19646.77,19046.23,17529.91,17079.58,17805.50,17065.21,16843.80,16283.88,16249.90,Upgrade
45,Tangible Book Value,1055397,1009978,956464,930151,866080,844647,748616,790490,858557,833325,826693,892571,857986,771012,744961,786151,743569,730548,698226,695918,Upgrade
46,Tangible Book Value Per Share,18461.33,17666.84,16730.76,16270.48,15149.74,14774.83,13095.03,13827.49,15018.15,14576.78,14460.76,15613.13,15008.15,13486.78,13031.08,13751.60,13006.73,12778.97,12213.57,12173.22,Upgrade
47,Buildings,657191,656020,653309,653205,657654,656348,655475,655475,655432,653251,644038,642845,626040,621414,618993,613710,609340,605758,605698,603186,Upgrade
48,Machinery,602323,594541,592435,571333,546503,536483,534707,535218,542305,509820,494758,489985,489163,481900,483036,475514,434265,430198,371935,368404,Upgrade
49,Construction In Progress,7685,10455,10414,8371,39144,44629,40676,33121,36110,58905,68083,41479,31983,15550,15017,19670,58939,62706,66728,66037,Upgrade
