,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,2470804,2030983,2916008,1940449,2202774,2708910,2333716,1342909,1897151,2285430,1804807,2593970,1870880,1791371,2313797,1766748,1474053,1401004,1655266,888070,Upgrade
1,Revenue Growth (YoY),12.17%,-25.03%,24.95%,44.50%,16.11%,18.53%,29.31%,-48.23%,1.40%,27.58%,-22.00%,46.82%,26.92%,27.86%,39.78%,98.94%,-5.91%,-9.26%,-17.64%,-12.26%,Upgrade
2,Cost of Revenue,2119149,1741492,2427250,1676779,1975645,2370071,2074908,1259616,1713140,2102329,1596160,2281599,1622364,1616382,2055294,1543833,1294177,1166651,1422524,779930,Upgrade
3,Gross Profit,351655,289491,488758,263670,227129,338839,258808,83293,184011,183101,208646,312372,248516,174990,258503,222915,179877,234353,232742,108140,Upgrade
4,"Selling, General & Admin",220072,190988,236348,153640,126380,235073,137794,90044,106438,140177,85586,178294,86395,109221,138122,122551,103470,159549,114029,81169,Upgrade
5,Operating Expenses,220072,190988,236348,153640,126380,235073,137794,90044,106438,140177,85586,178294,86395,109221,138122,122551,103470,159549,114029,81169,Upgrade
6,Operating Income,131582,98503,252410,110030,100749,103765,121014,-6752,77573,42925,123060,134078,162121,65769,120381,100364,76407,74803,118713,26971,Upgrade
7,Interest Expense,-21927,-11424,-16529,-17635,-34916,-24811,-35980,-32976,-39119,-27031,-4257,-35546,-21198,-14980,-13949,-12949,-18674,-21621,-22330,-22028,Upgrade
8,Interest & Investment Income,11236,3963,8338,4339,-,8410,2259,3009,-,3715,3507,1453,-,2563,2095,872.78,-,1233,1494,2177,Upgrade
9,Currency Exchange Gain (Loss),-,-,-,-,15408,-,-,-,-8717,-,-,-,1170,-,-,-,4138,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),3900,-10108,-9925,-5642,-13938,-356.87,-6251,-2525,3684,-12759,-24152,6964,-1158,-8491,-8088,-3291,-10565,-1665,-9790,914.53,Upgrade
11,EBT Excluding Unusual Items,124791,80934,234294,91093,67303,87008,81043,-39244,33421,6850,98158,106948,140934,44862,100439,84997,51306,52751,88087,8035,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-,129.09,-,-,-,211.82,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Pretax Income,124791,80934,234294,91093,67432,87008,81043,-39244,33633,6850,98158,106948,140934,44862,100439,84997,51306,52751,88087,8035,Upgrade
14,Income Tax Expense,24872,16635,43965,17568,16880,28320,15860,360.84,4331,3882,23271,20641,28113,9873,19714,16774,5828,11514,13414,3482,Upgrade
15,Earnings From Continuing Operations,99920,64300,190330,73525,50552,58688,65182,-39604,29302,2968,74886,86308,112821,34988,80725,68223,45477,41237,74673,4553,Upgrade
16,Minority Interest in Earnings,-26793,-11621,-22691,-8708,-14264,22088,-12476,18076,-5790,3117,-21128,-19864,-31952,-9107,-23583,-12555,-5357,-8091,-21900,2585,Upgrade
17,Net Income,73127,52678,167639,64816,36289,80776,52706,-21528,23512,6085,53759,66443,80869,25881,57141,55668,40120,33146,52772,7138,Upgrade
18,Preferred Dividends & Other Adjustments,-,-,5268,23246,3629,-,8078,3118,5926,-,608.45,12020,18834,-,2588,11281,4012,-,3315,5991,Upgrade
19,Net Income to Common,73127,52678,162371,41571,32660,80776,44629,-24646,17586,6085,53150,54423,62035,25881,54553,44387,36108,33146,49458,1147,Upgrade
20,Net Income Growth,101.52%,-34.78%,218.06%,-,54.34%,1227.56%,-1.96%,-,-70.93%,-76.49%,-5.92%,19.36%,101.57%,-21.92%,8.28%,679.88%,26.62%,-0.51%,699.45%,197.30%,Upgrade
21,Shares Outstanding (Basic),64,64,57,51,57,64,57,51,64,63,57,51,64,64,57,51,64,63,57,51,Upgrade
22,Shares Outstanding (Diluted),64,64,57,51,57,64,57,51,64,63,57,51,64,64,57,51,64,63,57,51,Upgrade
23,Shares Change (YoY),11.13%,0.07%,-0.03%,-0.04%,-10.17%,0.19%,-0.29%,0.08%,0.16%,-0.33%,0.46%,-0.11%,0.02%,0.14%,-0.18%,0.03%,0.01%,-0.13%,0.20%,-0.06%,Upgrade
24,EPS (Basic),1151.00,829.00,2841.28,818.12,571.29,1272.00,780.68,-484.83,276.33,96.00,927.06,1071.50,976.30,407.00,955.92,872.98,568.36,522.00,865.04,22.56,Upgrade
25,EPS (Diluted),1151.00,829.00,2840.96,818.12,571.29,1272.00,780.02,-484.83,276.33,96.00,927.06,1071.11,976.30,407.00,955.48,872.98,568.36,522.00,865.04,22.37,Upgrade
26,EPS Growth,101.47%,-34.83%,264.22%,-,106.74%,1225.00%,-15.86%,-,-71.70%,-76.41%,-2.97%,22.70%,71.77%,-22.03%,10.45%,3802.80%,35.93%,-0.38%,1422.67%,-24.19%,Upgrade
27,Free Cash Flow,605670,-183177,824754,-372493,-90017,611530,588547,-295582,-56729,517376,-657938,-9372,-400121,76781,-118799,112756,250460,190518,112236,-191644,Upgrade
28,Free Cash Flow Per Share,9533.09,-2882.65,14432.11,-7330.75,-1574.61,9629.96,10295.28,-5814.61,-891.39,8163.03,-11475.88,-184.52,-6297.07,1207.44,-2081.68,2217.62,3942.35,3000.34,1963.05,-3770.20,Upgrade
29,Dividend Per Share,-,-,-,-,2000.000,500.000,-,-,1400.000,600.000,-,-,2000.000,-,-,-,1500.000,500.000,-,-,Upgrade
30,Dividend Growth,-,-,-,-,42.86%,-16.67%,-,-,-30.00%,-,-,-,33.33%,-,-,-,114.29%,0%,-,-,Upgrade
31,Gross Margin,14.23%,14.25%,16.76%,13.59%,10.31%,12.51%,11.09%,6.20%,9.70%,8.01%,11.56%,12.04%,13.28%,9.77%,11.17%,12.62%,12.20%,16.73%,14.06%,12.18%,Upgrade
32,Operating Margin,5.33%,4.85%,8.66%,5.67%,4.57%,3.83%,5.19%,-0.50%,4.09%,1.88%,6.82%,5.17%,8.67%,3.67%,5.20%,5.68%,5.18%,5.34%,7.17%,3.04%,Upgrade
33,Profit Margin,2.96%,2.59%,5.57%,2.14%,1.48%,2.98%,1.91%,-1.84%,0.93%,0.27%,2.94%,2.10%,3.32%,1.44%,2.36%,2.51%,2.45%,2.37%,2.99%,0.13%,Upgrade
34,Free Cash Flow Margin,24.51%,-9.02%,28.28%,-19.20%,-4.09%,22.57%,25.22%,-22.01%,-2.99%,22.64%,-36.45%,-0.36%,-21.39%,4.29%,-5.13%,6.38%,16.99%,13.60%,6.78%,-21.58%,Upgrade
35,EBITDA,154289,120434,274944,134289,129911,145089,143678,16912,108596,60063,143725,160122,185449,89266,144194,122804,94478,99103,140424,46366,Upgrade
36,EBITDA Margin,6.24%,5.93%,9.43%,6.92%,5.90%,5.36%,6.16%,1.26%,5.72%,2.63%,7.96%,6.17%,9.91%,4.98%,6.23%,6.95%,6.41%,7.07%,8.48%,5.22%,Upgrade
37,D&A For EBITDA,22707,21931,22534,24259,29162,41324,22664,23664,31023,17138,20665,26045,23328,23498,23813,22440,18071,24299,21711,19395,Upgrade
38,EBIT,131582,98503,252410,110030,100749,103765,121014,-6752,77573,42925,123060,134078,162121,65769,120381,100364,76407,74803,118713,26971,Upgrade
39,EBIT Margin,5.33%,4.85%,8.66%,5.67%,4.57%,3.83%,5.19%,-0.50%,4.09%,1.88%,6.82%,5.17%,8.67%,3.67%,5.20%,5.68%,5.18%,5.34%,7.17%,3.04%,Upgrade
40,Effective Tax Rate,19.93%,20.55%,18.76%,19.29%,25.03%,32.55%,19.57%,-,12.88%,56.67%,23.71%,19.30%,19.95%,22.01%,19.63%,19.73%,11.36%,21.83%,15.23%,43.33%,Upgrade
41,Revenue as Reported,2470804,2030983,2916008,1940449,2202774,2708910,2333716,1342909,1897151,2285430,1804807,2593970,1870880,1791371,2313797,1766748,1474053,1401004,1655266,888070,Upgrade
