,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,+6 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011","Sep '10 Sep 30, 2010",+6 Quarters
0,Cash & Equivalents,34393,17167,38442,-,23825,26743,22011,21707,16199,11258,17215,11006,12624,12468,10010,15064,32366,14030,25340,-,Upgrade
1,Short-Term Investments,51298,33298,31200,-,6915,17281,6902,6324,2174,6137,5893,6203,6184,6588,7905,8749,8569,24806,24313,-,Upgrade
2,Trading Asset Securities,1073,1107,1234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,86764,51572,70876,-,30740,44024,28914,28030,18373,17395,23108,17209,18808,19056,17916,23813,40935,38836,49653,-,Upgrade
4,Cash Growth,182.25%,17.15%,145.13%,-,67.31%,153.08%,25.12%,62.88%,-2.31%,-8.71%,28.98%,-27.73%,-54.05%,-50.93%,-63.92%,-,2.23%,-6.37%,-4.64%,-,Upgrade
5,Accounts Receivable,95888,110124,119967,-,139141,135032,163717,177056,164337,180623,192064,188077,179876,160070,161058,138866,148164,148317,231188,-,Upgrade
6,Other Receivables,2421,5325,5371,-,3097,2783,2395,2358,2603,2817,2662,2331,2318,2424,2555,15258,2482,4287,2569,-,Upgrade
7,Receivables,98309,115449,125338,-,142238,137814,166112,179414,166940,183441,194726,190408,182194,162494,163613,154125,150646,152604,233757,-,Upgrade
8,Inventory,478903,475516,454752,-,487734,466659,461726,452070,449639,395169,383270,389650,372021,365050,345618,356004,346203,329843,309505,-,Upgrade
9,Prepaid Expenses,203.3,-,52.65,-,2.3,76.04,76.04,167.3,123.05,192.97,78.11,245.45,416.8,416.8,792.6,76.39,149.89,223.39,16.48,-,Upgrade
10,Other Current Assets,62637,72631,61712,-,31063,37959,32281,32130,35981,81846,82899,82864,91951,84436,76153,70891,65164,63128,46182,-,Upgrade
11,Total Current Assets,726816,715169,712731,-,691777,686533,689108,691812,671057,678044,684080,680377,665391,631453,604093,604910,603099,584633,639114,-,Upgrade
12,"Property, Plant & Equipment",8642,9245,9865,-,11402,12007,12757,13367,13981,14904,15562,18171,20294,20998,21738,22449,23091,23771,24814,-,Upgrade
13,Long-Term Investments,1108,1106,1106,-,1101,1100,1100,1093,1093,1093,5093,5093,5093,5093,5093,4386,5093,5093,5093,-,Upgrade
14,Goodwill,-,-,-,-,-,-,-,-,15,30,40,50,60,-,80,90,100,-,120,-,Upgrade
15,Other Intangible Assets,1884,1942,2001,-,2177,2235,2294,2352,2411,2470,2528,2587,2645,2704,2763,2821,2880,2938,2997,-,Upgrade
16,Other Long-Term Assets,58320,65001,66424,-,69095,67124,64324,58853,55703,56411,51623,47327,47679,47764,47839,48015,48491,50114,50645,-,Upgrade
17,Total Assets,796771,792463,792127,-,775551,768999,769583,767478,744260,752952,758927,753605,741162,708012,681607,682672,682754,666550,722782,-,Upgrade
18,Accounts Payable,79715,75450,76081,-,99102,81238,94033,89543,77414,83006,93387,57146,90045,62089,85127,71146,92485,73982,179432,-,Upgrade
19,Accrued Expenses,91025,92716,93277,-,84753,84099,80750,85543,83313,88226,75520,88344,92815,72619,60454,44292,55180,63027,56427,-,Upgrade
20,Short-Term Debt,136457,-,130773,-,232597,234533,237379,239089,237904,235020,232445,227674,207459,199464,183604,175218,165509,161661,151139,-,Upgrade
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.8,51.6,-,Upgrade
22,Current Income Taxes Payable,6667,5997,7042,-,6323,10371,13371,13273,14244,14280,14570,15333,15332,13613,13603,11084,10933,18317,18168,-,Upgrade
23,Other Current Liabilities,73034,50965,49257,-,44870,45133,24240,21221,20854,23308,33947,54196,24820,47591,30930,80544,45683,36549,12330,-,Upgrade
24,Total Current Liabilities,386897,225128,356430,-,467644,455375,449772,448669,433730,443839,449868,442693,430471,395374,373718,382284,369790,353563,417547,-,Upgrade
25,Long-Term Debt,148872,307703,171891,-,48000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50007,50707,51069,51406,51742,-,Upgrade
26,Long-Term Unearned Revenue,152.67,152.67,152.67,-,152.67,152.67,152.67,-,152.67,-,1363,-,-,-,-,-,-,-,-,-,Upgrade
27,Long-Term Deferred Tax Liabilities,763.32,763.32,763.32,-,685.35,778.81,778.81,743.57,405.17,405.17,743.57,435.87,435.87,-,435.87,-,176.69,-,-,-,Upgrade
28,Other Long-Term Liabilities,5782,6152,6010,-,9618,14250,15559,16469,6956,5600,5650,6192,6712,6467,6366,5933,6638,7052,7084,-,Upgrade
29,Total Liabilities,542467,539899,535246,-,526101,520556,516263,515882,491244,499845,507625,499320,487620,451841,430528,438924,427673,412021,476373,-,Upgrade
30,Common Stock,157064,157064,157064,-,149587,149587,149587,149587,149587,149587,149587,149587,149587,149587,149587,149587,124657,124657,124657,-,Upgrade
31,Additional Paid-In Capital,77142,77142,77142,-,77142,77142,77142,77142,77142,77142,77142,77142,77142,77142,77142,77142,77142,77142,77142,-,Upgrade
32,Retained Earnings,19452,17715,22040,-,22140,21120,25990,24262,25706,25730,23925,26905,26140,28949,24098,16781,53085,52631,44441,-,Upgrade
33,Total Common Equity,253658,251921,256247,-,248869,247850,252719,250992,252435,252460,250654,253634,252870,255678,250827,243510,254884,254431,246240,-,Upgrade
34,Minority Interest,646.24,642.77,634.76,-,581.64,593.26,601.46,605.17,581.03,647.6,647.75,649.83,672.5,492.85,252.12,237.6,196.32,98.19,168.95,-,Upgrade
35,Shareholders' Equity,254304,252564,256881,-,249451,248443,253321,251597,253016,253107,251302,254284,253542,256171,251079,243748,255081,254529,246409,-,Upgrade
36,Total Liabilities & Equity,796771,792463,792127,-,775551,768999,769583,767478,744260,752952,758927,753605,741162,708012,681607,682672,682754,666550,722782,-,Upgrade
37,Total Debt,285329,307703,302664,-,280597,284533,287379,289089,287904,285020,282445,277674,257459,249464,233611,225924,216577,213093,202933,-,Upgrade
38,Net Cash (Debt),-198565,-256131,-231788,-,-249858,-240509,-258466,-261059,-269531,-267625,-259337,-260465,-238651,-230408,-215696,-202111,-175642,-174257,-153280,-,Upgrade
39,Net Cash Per Share,-8720.74,-15155.44,-8814.12,-,-11361.37,-10937.51,-11754.14,-11872.08,-14093.91,-10767.56,-11793.74,-11845.06,-11184.36,-10478.16,-9809.10,-9191.32,-7997.97,-7914.23,-6970.61,-,Upgrade
40,Filing Date Shares Outstanding,21.99,21.99,21.99,22.05,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,-,Upgrade
41,Total Common Shares Outstanding,21.99,21.99,21.99,22.05,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,-,Upgrade
42,Working Capital,339920,490041,356301,-,224133,231158,239336,243143,237327,234205,234212,237684,234919,236078,230375,222626,233309,231070,221566,-,Upgrade
43,Book Value Per Share,11535.69,11456.69,11653.41,-,11317.71,11271.36,11492.80,11414.25,11479.88,11481.00,11398.90,11534.43,11499.66,11627.36,11406.76,11074.01,11591.17,11570.54,11198.07,-,Upgrade
44,Tangible Book Value,251774,249978,254246,-,246692,245614,250425,248639,250009,249960,248086,250998,250164,252974,247985,240599,251905,251492,243123,-,Upgrade
45,Tangible Book Value Per Share,11450.02,11368.36,11562.42,-,11218.73,11169.71,11388.49,11307.27,11369.55,11367.33,11282.11,11414.52,11376.63,11504.39,11277.49,10941.62,11455.67,11436.91,11056.33,-,Upgrade
46,Buildings,15031,15031,15031,-,15031,15031,15031,15031,15031,15031,15031,15031,15031,15031,15031,15031,15031,15031,15031,-,Upgrade
47,Machinery,30818,30818,30818,-,33145,33145,33324,33751,33751,35828,35828,39333,44044,44044,44044,44029,43946,45197,45197,-,Upgrade
