,Fiscal Quarter,Current,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,+6 Quarters
,Period Ending,"Mar '25 Mar 4, 2025","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011","Sep '10 Sep 30, 2010",+6 Quarters
0,Market Capitalization,466161,122510,139787,136646,166042,97232,145100,82273,59835,70306,73298,82273,86761,101719,112190,85265,149587,200698,280479,327848,377711,Upgrade
1,Market Cap Growth,-26.22%,26.00%,-3.66%,66.09%,177.50%,38.30%,97.96%,0%,-31.03%,-30.88%,-34.67%,-3.51%,-42.00%,-49.32%,-60.00%,-73.99%,-60.40%,-23.94%,2.57%,-11.65%,-1.64%,Upgrade
2,Enterprise Value,379283,379283,372210,387085,416481,338334,403428,343937,329947,338578,333282,343388,326085,332620,328138,287613,325426,375053,443686,464137,514000,Upgrade
3,Last Close Price,21200.00,3349.02,3821.32,3527.93,4286.81,2510.29,3746.13,2124.09,1544.80,1815.13,1892.37,1934.44,2039.96,2391.67,2637.88,2004.79,3517.17,4395.66,6143.00,7180.48,8272.57,Upgrade
4,PE Ratio,40.70,10.85,13.14,14.81,21.81,18.61,39.44,38.71,-26.47,-37.79,-35.85,-,7.83,-,9.17,5.00,-,10.39,9.76,-,11.79,Upgrade
5,PS Ratio,1.22,0.39,0.58,0.61,0.79,0.42,0.69,0.43,0.33,0.43,0.38,0.39,0.36,0.43,0.44,0.32,0.54,0.61,0.73,0.86,1.02,Upgrade
6,PB Ratio,1.84,0.48,0.55,0.53,-,0.39,0.58,0.32,0.24,0.28,0.29,0.33,0.34,0.40,0.44,0.34,0.61,0.79,1.10,1.33,-,Upgrade
7,P/TBV Ratio,0.49,0.49,0.56,0.54,-,0.39,0.59,0.33,0.24,0.28,0.29,0.33,0.35,0.41,0.44,0.34,0.62,0.80,1.12,1.35,-,Upgrade
8,P/FCF Ratio,8.48,5.02,-,-,9.07,-,4.39,-,-16.60,-2.16,-,-,-,-,-,-,-,-,-,-4.11,-,Upgrade
9,P/OCF Ratio,2.22,4.95,-,-,8.84,-,3.92,-,5.79,-,-,-2.00,-,-,-,-,-,-,-,-4.56,-,Upgrade
