,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,4141,4198,4097,4883,2084,2014,1518,1391,1165,1507,Upgrade
1,Revenue Growth (YoY),1.09%,-14.03%,96.61%,142.50%,37.25%,44.72%,30.27%,-7.64%,-16.23%,13.50%,Upgrade
2,Cost of Revenue,3229,3119,3258,4041,1484,1403,1003,1032,775.29,985.12,Upgrade
3,Gross Profit,911.68,1079,838.62,841.67,599.56,610.89,515.42,359.85,390.09,521.4,Upgrade
4,"Selling, General & Admin",445.08,463.91,441.93,370.97,392.3,407.32,415.15,333.94,365.71,396.6,Upgrade
5,Research & Development,435.79,444.86,414.33,504.98,230.82,226.51,190.65,176.96,141.94,144.37,Upgrade
6,Operating Expenses,889.83,959.88,864.73,912.6,629.8,642.28,614.09,546.63,516.91,555.88,Upgrade
7,Operating Income,21.86,119.3,-26.11,-70.94,-30.25,-31.39,-98.67,-186.78,-126.82,-34.49,Upgrade
8,Interest Expense,-3.2,-5.05,-1.32,-2.11,-1.29,-1.29,-0.24,-0.48,-1.54,-0.54,Upgrade
9,Interest & Investment Income,4.84,2.85,5.3,6.9,8.7,7.84,7.22,5.25,5.11,7.25,Upgrade
10,Earnings From Equity Investments,3.85,5.06,3.52,43.73,7.34,18.64,12.11,12.64,12.06,22.19,Upgrade
11,Currency Exchange Gain (Loss),-,-0.31,-,2.14,-,-1.75,-,5.18,-,-2.99,Upgrade
12,Other Non Operating Income (Expenses),89.46,133.43,71.26,134.41,64.46,46.48,112.1,140.01,62.4,89.8,Upgrade
13,EBT Excluding Unusual Items,116.81,255.28,52.65,114.12,48.96,38.53,32.52,-24.18,-48.79,81.23,Upgrade
14,Impairment of Goodwill,-,-,-,-,-,-,-,-8.5,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,-,-,-,-,-,7.87,-,-31.3,-,-,Upgrade
16,Gain (Loss) on Sale of Assets,-,-0.12,-,-0.36,-,-1.66,-,-1.07,-,-0.62,Upgrade
17,Asset Writedown,-10.1,-25.1,-4.04,0.43,-14.6,-12.87,-10.33,-26.73,-8.44,8.16,Upgrade
18,Other Unusual Items,-,-,-,0.1,-,-,-,-,-,-9.25,Upgrade
19,Pretax Income,106.71,230.05,48.61,114.29,34.35,31.86,22.19,-91.78,-57.23,79.51,Upgrade
20,Income Tax Expense,0.74,67,1.24,11.7,12.13,-4.63,2.52,21.82,-4.33,0.29,Upgrade
21,Earnings From Continuing Operations,105.97,163.06,47.37,102.59,22.22,36.49,19.67,-113.6,-52.9,79.22,Upgrade
22,Net Income to Company,105.97,163.06,47.37,102.59,22.22,36.49,19.67,-113.6,-52.9,79.22,Upgrade
23,Minority Interest in Earnings,-0.27,-10.67,1.87,-11.91,5.79,1.82,-0.7,5.67,3.79,10.6,Upgrade
24,Net Income,105.7,152.39,49.24,90.68,28.01,38.31,18.97,-107.93,-49.11,89.82,Upgrade
25,Net Income to Common,105.7,152.39,49.24,90.68,28.01,38.31,18.97,-107.93,-49.11,89.82,Upgrade
26,Net Income Growth,114.66%,68.05%,75.80%,136.71%,47.68%,-,-,-,-,-52.36%,Upgrade
27,Shares Outstanding (Basic),1142,1142,1142,1142,1142,1141,1139,1139,1139,1139,Upgrade
28,Shares Outstanding (Diluted),1142,1142,1142,1142,1142,1144,1143,1139,1139,1149,Upgrade
29,Shares Change (YoY),-0.03%,-0.00%,0.02%,-0.15%,-0.10%,0.42%,0.38%,-0.91%,-1.75%,0.86%,Upgrade
30,EPS (Basic),0.09,0.13,0.04,0.08,0.02,0.03,0.02,-0.09,-0.04,0.08,Upgrade
31,EPS (Diluted),0.09,0.13,0.04,0.08,0.02,0.03,0.02,-0.09,-0.04,0.08,Upgrade
32,EPS Growth,114.77%,68.02%,75.91%,137.22%,47.60%,-,-,-,-,-52.79%,Upgrade
33,Free Cash Flow,-742.25,802.23,-588.99,227.18,-71.43,90.64,-49.22,231.78,-164.1,346.2,Upgrade
34,Free Cash Flow Per Share,-0.65,0.70,-0.52,0.20,-0.06,0.08,-0.04,0.20,-0.14,0.30,Upgrade
35,Operating Margin,0.53%,2.84%,-0.64%,-1.45%,-1.45%,-1.56%,-6.50%,-13.42%,-10.88%,-2.29%,Upgrade
36,Profit Margin,2.55%,3.63%,1.20%,1.86%,1.34%,1.90%,1.25%,-7.76%,-4.21%,5.96%,Upgrade
37,Free Cash Flow Margin,-17.92%,19.11%,-14.38%,4.65%,-3.43%,4.50%,-3.24%,16.66%,-14.08%,22.98%,Upgrade
38,EBITDA,47.11,133.17,0.61,-57.4,-6.92,-14.18,-70.53,-172.09,-103.5,-10.7,Upgrade
39,D&A For EBITDA,25.25,13.87,26.72,13.53,23.33,17.21,28.14,14.69,23.32,23.79,Upgrade
40,EBIT,21.86,119.3,-26.11,-70.94,-30.25,-31.39,-98.67,-186.78,-126.82,-34.49,Upgrade
