,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2570,2309,2060,2113,2802,2797,3236,3329,2251,2419,2044,2215,2505,2397,-,-,-,-,-,-
1,Market Cap Growth,-17.44%,-17.44%,-36.36%,-36.53%,24.48%,15.64%,58.33%,50.25%,-10.15%,0.91%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2494,2258,1996,2052,2741,2739,3212,3261,2167,2320,1899,2022,2248,2275,-,-,-,-,-,-
3,Last Close Price,11.12,9.99,8.91,9.05,12.00,11.98,13.86,14.25,9.54,10.25,8.66,9.24,10.45,10.00,-,-,-,-,-,-
4,PE Ratio,53.63,45.76,50.28,61.43,80.06,64.90,60.55,49.94,34.09,42.28,36.92,42.97,49.51,39.77,-,-,-,-,-,-
5,PS Ratio,7.31,6.23,6.20,7.22,9.52,9.96,11.32,11.06,8.05,9.49,8.62,10.10,12.34,11.79,-,-,-,-,-,-
6,PB Ratio,4.49,4.03,3.70,3.70,4.91,5.01,5.85,6.05,3.94,4.39,3.82,4.03,4.68,4.58,-,-,-,-,-,-
7,P/TBV Ratio,4.29,4.29,3.95,3.95,5.23,5.35,6.26,6.48,4.20,4.66,4.06,4.28,4.98,4.89,-,-,-,-,-,-
8,P/FCF Ratio,40.85,36.70,57.39,48.47,99.06,-,31736.04,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,27.60,27.60,38.30,32.47,38.58,33.19,31.84,33.09,25.27,31.72,34.31,69.29,47.79,30.17,-,-,-,-,-,-
10,EV/Sales Ratio,6.73,6.09,6.01,7.01,9.31,9.76,11.23,10.84,7.75,9.10,8.01,9.21,11.08,11.19,-,-,-,-,-,-
11,EV/EBITDA Ratio,22.33,24.22,27.08,31.73,46.34,44.62,45.58,40.98,29.33,35.89,29.72,33.67,35.33,30.87,-,-,-,-,-,-
12,EV/EBIT Ratio,42.97,38.90,44.72,54.92,72.23,59.17,57.84,46.50,33.55,41.80,34.69,39.82,41.39,35.36,-,-,-,-,-,-
13,EV/FCF Ratio,39.63,35.88,55.62,47.08,96.92,-,31498.83,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.03,0.03,0.02,0.00,0.00,0.01,-,-,-,-,-,-
15,Debt / EBITDA Ratio,0.27,0.27,0.40,0.34,0.37,0.83,0.84,0.44,0.17,0.26,0.13,0.01,0.02,0.06,-,-,-,-,-,-
16,Debt / FCF Ratio,0.48,0.48,0.87,0.77,1.19,-,337.96,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.60,0.51,0.47,0.58,0.39,0.29,0.49,0.49,0.40,0.37,0.37,0.38,-,-,-,-,-,0.63,-,
18,Inventory Turnover,4.80,5.59,5.06,4.34,6.01,3.48,2.93,5.01,5.09,4.75,4.29,4.41,5.19,-,-,-,-,-,3.10,-
19,Quick Ratio,1.58,1.58,1.88,1.95,1.94,1.69,1.68,1.72,1.66,1.38,1.19,1.75,2.38,3.10,-,-,3.37,-,6.06,6.06
20,Current Ratio,2.33,2.33,2.62,2.71,2.54,2.47,2.37,2.36,2.14,1.89,1.82,2.31,2.86,3.42,-,-,3.91,-,7.31,7.31
21,Return on Equity (ROE),10.07%,6.62%,9.91%,9.06%,3.38%,2.00%,10.52%,14.90%,11.08%,11.77%,10.41%,9.13%,-,-,18.83%,-,-,19.74%,-,
22,Return on Assets (ROA),6.93%,3.45%,5.87%,4.79%,2.18%,0.80%,6.25%,7.76%,5.45%,6.11%,4.27%,4.86%,-,-,-,-,-,12.21%,-,
23,Return on Capital (ROIC),8.08%,3.94%,6.73%,5.51%,2.49%,0.90%,7.18%,9.27%,6.76%,7.63%,5.20%,5.83%,-,-,13.31%,-,-,13.54%,-,
24,Return on Capital Employed (ROCE),9.73%,9.73%,7.66%,6.24%,6.30%,7.91%,9.52%,12.09%,10.91%,9.72%,9.97%,9.17%,10.07%,12.21%,-,-,23.51%,-,10.69%,5.35%
25,Earnings Yield,1.96%,2.19%,1.99%,1.63%,1.25%,1.54%,1.65%,2.00%,2.93%,2.37%,2.71%,2.33%,2.02%,2.51%,-,-,-,-,-,-
26,FCF Yield,2.45%,2.72%,1.74%,2.06%,1.01%,0.42%,0.00%,-0.92%,-3.30%,-5.47%,-7.79%,-8.41%,-5.88%,-2.87%,-,-,-,-,-,-
27,Dividend Yield,0.89%,-,-,-,0.83%,-,-,-,1.66%,-,-,-,1.26%,-,-,-,-,-,-,-
28,Payout Ratio,47.17%,1.63%,248.95%,1.94%,0.72%,9.31%,37.94%,244.70%,1.83%,0.88%,189.83%,-,0.48%,-,-,-,-,-,38.42%,38.42%
29,Buyback Yield / Dilution,-8.21%,-3.76%,-21.82%,4.07%,-14.29%,-6.72%,15.72%,-4.40%,-1.06%,-19.56%,-37.85%,-31.80%,-35.10%,-2.04%,4.98%,-2.80%,-,-,-,-
30,Total Shareholder Return,-7.31%,-3.76%,-21.82%,4.07%,-13.46%,-6.72%,15.72%,-4.40%,0.59%,-19.56%,-37.85%,-31.80%,-33.84%,-2.04%,4.98%,-2.80%,-,-,-,-
