,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,103.75,87.01,80.74,98.51,64.98,47.99,82.43,84.72,70.81,62.26,61.06,60.18,52.59,45,44.65,60.81,50.91,41.91,41.91
1,Other Revenue,-0.37,0.37,-,0.49,-0.15,0.15,-,0.63,-0.82,0.82,-,0.55,-0.23,0.23,-,0.25,-0.13,0.06,0.06
2,Revenue,103.38,87.38,80.74,99,64.83,48.14,82.43,85.36,70,63.08,61.06,60.73,52.35,45.23,44.65,61.06,50.78,41.97,41.97
3,Revenue Growth (YoY),59.47%,81.50%,-2.06%,15.98%,-7.38%,-23.68%,35.00%,40.55%,33.71%,39.44%,36.75%,-0.54%,3.10%,7.77%,6.38%,-,-,-,-
4,Cost of Revenue,66.98,58.91,49.96,69.83,43.6,33.27,51.2,47.93,43.08,39.05,42.33,44.02,26.95,22.99,21.85,27.62,24.79,20.71,20.71
5,Gross Profit,36.4,28.48,30.78,29.17,21.23,14.87,31.23,37.43,26.92,24.03,18.74,16.71,25.4,22.25,22.8,33.44,25.99,21.26,21.26
6,"Selling, General & Admin",13.45,12.41,9.13,9.85,9.54,9.18,11.2,9.96,7.57,6.1,4.82,0.79,8.82,6.63,7.12,6.41,5.67,5.96,5.96
7,Research & Development,3.38,4.91,4.84,3.62,5.17,4.76,3.55,3.43,3.77,1.83,2.6,3.45,1.86,2.56,2.21,2.55,2.43,2.24,2.24
8,Other Operating Expenses,0.3,1.21,1.03,1.01,0.32,0.26,0.14,1.73,-0.03,-0.11,-0.3,-0.03,-0.1,-0.1,-0.54,1.49,-0.42,0.4,0.4
9,Operating Expenses,17.17,19.08,14.5,16.04,15.39,12.75,14.38,15.95,11.84,7.3,7.43,4.31,11.09,9.5,7.92,11.03,7.71,8.23,8.23
10,Operating Income,19.24,9.4,16.27,13.13,5.84,2.12,16.85,21.47,15.08,16.73,11.31,12.39,14.31,12.75,14.87,22.41,18.27,13.03,13.03
11,Interest Expense,-0.31,-0.32,-0.29,-0.35,-0.42,-0.25,-0.04,-0.02,-0.02,-0,-0.01,-0.08,-0.03,-0.04,-0.04,-,-0.34,-0,-0
12,Interest & Investment Income,0.52,0.34,0.44,0.32,0.36,0.25,0.37,0.33,0.36,0.56,0.69,0.95,0.46,0.42,0.47,1.31,-,0.62,0.62
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.62,0.62,-,-
14,Currency Exchange Gain (Loss),-0.33,0.33,-,0.01,-0.31,0.31,-,3.48,-1.24,1.24,-,-0.19,0.05,-0.05,-,-0.03,-0.08,0.04,0.04
15,Other Non Operating Income (Expenses),-1.84,-0.06,0.03,-0.28,0.09,0.15,-0.19,-7.2,2.77,0.08,4.29,1,-0.02,0.98,-0.03,-1.09,1.06,-0.02,-0.02
16,EBT Excluding Unusual Items,17.28,9.68,16.45,12.83,5.56,2.59,17,18.08,16.95,18.6,16.28,14.08,14.78,14.07,15.27,21.98,19.53,13.67,13.67
17,Gain (Loss) on Sale of Assets,-0.03,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,-0.02
18,Asset Writedown,-0.2,0.08,-0.08,-0.14,-,-,-,-0.09,0.08,-0.08,-,-0.01,0,-0,-,-0.06,-0.01,0,0
19,Other Unusual Items,-0.24,0.24,-0,1.59,-,-,-,5.99,-,-,-,-,-,-,-,3.69,-0.33,0.16,0.16
20,Pretax Income,16.8,10.06,16.36,14.28,5.56,2.59,17,23.98,17.04,18.52,16.28,14.07,14.78,14.06,15.27,25.62,19.19,13.82,13.82
21,Income Tax Expense,2.59,0.74,2.22,1.48,0.86,-0.17,2.26,3.09,1.99,2.56,2.16,2,1.58,1.9,2.11,3.88,2.59,1.94,1.94
22,Net Income,14.21,9.32,14.14,12.79,4.7,2.76,14.74,20.9,15.05,15.96,14.12,12.07,13.2,12.16,13.16,21.74,16.61,11.88,11.88
23,Net Income to Common,14.21,9.32,14.14,12.79,4.7,2.76,14.74,20.9,15.05,15.96,14.12,12.07,13.2,12.16,13.16,21.74,16.61,11.88,11.88
24,Net Income Growth,202.29%,238.24%,-4.07%,-38.78%,-68.76%,-82.74%,4.40%,73.11%,13.99%,31.25%,7.30%,-44.47%,-20.52%,2.38%,10.76%,-,-,-,-
25,Shares Outstanding (Basic),237,234,236,267,229,192,246,234,214,228,235,231,179,165,179,171,176,174,174
26,Shares Outstanding (Diluted),237,234,236,267,229,192,246,234,214,228,235,231,179,165,179,171,176,174,174
27,Shares Change (YoY),3.76%,21.82%,-4.07%,14.29%,6.72%,-15.72%,4.40%,1.06%,19.56%,37.85%,31.80%,35.10%,2.04%,-4.98%,2.80%,-,-,-,-
28,EPS (Basic),0.06,0.04,0.06,0.05,0.02,0.01,0.06,0.09,0.07,0.07,0.06,0.05,0.07,0.07,0.07,0.13,0.09,0.07,0.07
29,EPS (Diluted),0.06,0.04,0.06,0.05,0.02,0.01,0.06,0.09,0.07,0.07,0.06,0.05,0.07,0.07,0.07,0.13,0.09,0.07,0.07
30,EPS Growth,191.33%,177.67%,0%,-46.43%,-70.73%,-79.52%,0%,71.29%,-4.65%,-4.79%,-18.59%,-58.90%,-22.11%,7.75%,7.75%,-,-,-,-
31,Free Cash Flow,26.72,19.5,7.7,9.01,-0.31,27.2,-7.61,-7.46,-12.02,-3.65,-51.24,-65.46,-38.95,-30.63,-12.31,13.22,14.76,10.34,10.34
32,Free Cash Flow Per Share,0.11,0.08,0.03,0.03,-0.00,0.14,-0.03,-0.03,-0.06,-0.02,-0.22,-0.28,-0.22,-0.19,-0.07,0.08,0.08,0.06,0.06
33,Dividend Per Share,-,-,-,0.100,-,-,-,0.158,-,-,-,0.132,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-36.67%,-,-,-,19.98%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,35.21%,32.59%,38.12%,29.47%,32.75%,30.89%,37.89%,43.85%,38.45%,38.10%,30.68%,27.51%,48.52%,49.18%,51.06%,54.77%,51.18%,50.66%,50.66%
36,Operating Margin,18.61%,10.75%,20.16%,13.26%,9.01%,4.41%,20.45%,25.16%,21.54%,26.53%,18.52%,20.41%,27.33%,28.19%,33.31%,36.70%,35.99%,31.05%,31.05%
37,Profit Margin,13.74%,10.67%,17.52%,12.92%,7.25%,5.72%,17.88%,24.48%,21.50%,25.31%,23.12%,19.88%,25.21%,26.89%,29.47%,35.60%,32.71%,28.30%,28.30%
38,Free Cash Flow Margin,25.85%,22.31%,9.53%,9.10%,-0.48%,56.50%,-9.24%,-8.75%,-17.17%,-5.79%,-83.91%,-107.79%,-74.41%,-67.72%,-27.56%,21.65%,29.08%,24.64%,24.64%
39,EBITDA,27.82,18.83,24.85,21.71,8.31,9.8,19.33,23.95,17.39,18.92,13.62,14.71,16.66,15.05,17.22,24.76,20.57,15.34,15.34
40,EBITDA Margin,26.91%,21.55%,30.78%,21.93%,12.82%,20.35%,23.45%,28.05%,24.85%,30.00%,22.31%,24.22%,31.82%,33.26%,38.57%,40.55%,40.52%,36.54%,36.54%
41,D&A For EBITDA,8.58,9.43,8.58,8.58,2.47,7.68,2.47,2.47,2.31,2.19,2.31,2.31,2.35,2.3,2.35,2.35,2.3,2.3,2.3
42,EBIT,19.24,9.4,16.27,13.13,5.84,2.12,16.85,21.47,15.08,16.73,11.31,12.39,14.31,12.75,14.87,22.41,18.27,13.03,13.03
43,EBIT Margin,18.61%,10.75%,20.16%,13.26%,9.01%,4.41%,20.45%,25.16%,21.54%,26.53%,18.52%,20.41%,27.33%,28.19%,33.31%,36.70%,35.99%,31.05%,31.05%
44,Effective Tax Rate,15.44%,7.36%,13.55%,10.38%,15.46%,-,13.29%,12.86%,11.69%,13.80%,13.28%,14.22%,10.69%,13.51%,13.81%,15.15%,13.48%,14.05%,14.05%
45,Revenue as Reported,103.38,87.38,80.74,99,64.83,48.14,82.43,85.36,70,63.08,61.06,-,52.35,45.23,44.65,61.06,50.78,41.97,41.97
