,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,106.46,82.65,96.87,98.81,88.37,92.49,58.59,85.26,101.73,108.52,145.48,195.38,260.56,-,-,121.57,-,96.78,96.78
1,Cash & Short-Term Investments,106.46,82.65,96.87,98.81,88.37,92.49,58.59,85.26,101.73,108.52,145.48,195.38,260.56,-,121.57,121.57,-,96.78,96.78
2,Cash Growth,20.47%,-10.63%,65.34%,15.89%,-13.14%,-14.77%,-59.73%,-56.36%,-60.96%,-,19.67%,60.71%,-,-,25.62%,-,-,-,-
3,Accounts Receivable,83.53,83.3,77.33,86.15,55.54,47.73,71.68,80.38,64.16,60.79,69.71,57.03,52.43,-,-,52.52,-,41.06,41.06
4,Other Receivables,1.05,0.96,1.15,0.94,0.59,0.71,0.69,0.63,0.67,0.8,1.14,1,1.32,-,-,1.18,-,1.42,1.42
5,Receivables,84.58,84.25,78.48,87.09,56.13,48.44,72.38,81.01,64.84,61.59,70.85,58.03,53.76,-,-,53.69,-,42.48,42.48
6,Inventory,52.16,43.76,49.42,42.6,50.28,50,40.96,40.86,34.46,38.17,34.6,42.2,25.69,-,-,23.8,-,26.69,26.69
7,Other Current Assets,37.79,21.92,18.45,15.04,16.74,7.94,8.36,6.27,27.05,51.97,34.3,9.42,6.69,-,-,4.39,-,2.08,2.08
8,Total Current Assets,280.99,232.59,243.22,243.54,211.52,198.86,180.28,213.4,228.08,260.24,285.23,305.03,346.7,-,-,203.46,-,168.04,168.04
9,"Property, Plant & Equipment",396,399.87,408.62,417.94,422.94,431.47,438.54,439.98,427.1,391.26,340.86,287.12,205.81,-,-,89.8,-,63.38,63.38
10,Other Intangible Assets,34.23,34.41,34.82,35.15,35.78,36.19,36.33,34.8,32.14,32.26,32.46,32.66,32.87,-,-,33.46,-,33.8,33.8
11,Long-Term Deferred Tax Assets,1.21,1.32,1.08,1.2,0.83,0.81,1.06,1.17,1.02,0.98,1.09,1.07,1.08,-,-,1.1,-,0.8,0.8
12,Long-Term Deferred Charges,0.91,0.97,1.02,-,-,-,-,-,-,-,0.07,0.14,0.21,-,-,0.41,-,0.55,0.55
13,Other Long-Term Assets,3.96,2,0.25,0.25,-,-,0.23,2.46,3.89,7.31,17.41,19.96,41.87,-,-,7.76,-,0.23,0.23
14,Total Assets,717.31,671.16,689.02,698.06,671.07,667.33,656.45,691.82,692.23,692.04,677.12,645.97,628.53,-,-,335.99,-,266.79,266.79
15,Accounts Payable,95.61,71.39,71.59,76.15,73.88,68.38,57.2,75.19,101.75,130.92,116.22,97.78,90.76,-,-,41.31,-,15.97,15.97
16,Accrued Expenses,3.76,5.22,3.39,8.14,3.57,4.72,3.36,5.34,2.83,2.43,2.6,4.53,2.42,-,-,6.49,-,3.81,3.81
17,Short-Term Debt,0.29,-,0.29,0.48,0.47,6.97,6.68,-,-,-,-,-,4.03,-,-,-,-,-,-
18,Current Portion of Long-Term Debt,8.07,6.65,6.83,4.02,-,-,0.71,0.02,-,-,-,-,-,-,-,-,-,-,-
19,Current Portion of Leases,-,0.75,-,1.01,3.31,0.89,-,0.93,0.89,0.31,0.78,1.48,-,-,-,-,-,-,-
20,Current Income Taxes Payable,5.32,0.41,5.37,1.37,3.02,-,5.38,7.23,6.64,4.85,3.56,2.06,1.48,-,-,3.82,-,2.69,2.69
21,Current Unearned Revenue,5.51,2.71,0.25,4.04,1.1,2.34,2.52,10.55,7.37,3.35,0.06,0.17,2.35,-,-,0.01,-,0.46,0.46
22,Other Current Liabilities,2.13,1.51,2.1,0.73,0.4,0.73,0.42,0.62,1.32,1.08,0.37,0.53,0.35,-,-,0.43,-,0.06,0.06
