,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,454,400,507,1881,2254,1614,1521,-,-,-
1,Market Cap Growth,-78.72%,-78.72%,-77.51%,16.53%,48.25%,-,-,-,-,-
2,Enterprise Value,384,289,427,1987,2241,1446,1877,-,-,-
3,Last Close Price,0.34,0.28,0.32,1.17,1.40,1.00,0.91,-,-,-
4,PE Ratio,3.74,3.30,4.09,12.66,13.98,11.50,8.05,-,-,-
5,PS Ratio,0.69,0.61,0.83,3.29,3.86,2.88,2.48,-,-,-
6,PB Ratio,0.25,0.22,0.28,1.07,1.30,0.93,0.85,-,-,-
7,P/TBV Ratio,0.22,0.22,0.28,1.08,1.31,0.93,0.86,-,-,-
8,P/FCF Ratio,13.14,-,7.83,-,17.28,-,27.07,-,-,-
9,P/OCF Ratio,1.62,-,1.70,5.38,6.47,6.85,6.33,-,-,-
10,EV/Sales Ratio,0.58,0.44,0.70,3.47,3.84,2.58,3.06,-,-,-
11,EV/EBITDA Ratio,2.43,2.31,3.53,15.12,15.37,11.74,13.10,-,-,-
12,EV/EBIT Ratio,7.94,5.97,-,28.14,25.95,23.28,-,-,-,-
13,EV/FCF Ratio,11.13,-,6.60,-,17.18,-,33.40,-,-,-
14,Debt / Equity Ratio,0.17,0.17,0.20,0.24,0.22,0.26,0.29,0.43,0.59,-
15,Debt / FCF Ratio,9.06,-,5.48,-,2.97,-,9.11,-,2.81,-
16,Return on Capital Employed (ROCE),2.29%,2.29%,-,3.35%,4.12%,2.85%,-,7.55%,7.59%,-
17,Earnings Yield,26.72%,30.28%,24.43%,7.90%,7.15%,8.70%,12.43%,-,-,-
18,FCF Yield,7.61%,9.42%,12.77%,7.19%,5.79%,0.39%,3.69%,-,-,-
19,Dividend Yield,12.94%,7.84%,-,-,-,-,-,-,-,-
20,Buyback Yield / Dilution,-,-,-,-1.60%,-33.40%,-31.37%,-0.10%,-,-,
21,Total Shareholder Return,12.94%,7.84%,-,-,-1.60%,-33.40%,-31.37%,-0.10%,-,-
