,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,271.13,421.42,392.05,247.31,282.49,482.39,123.8,288.45,-
1,Short-Term Investments,85,2.11,-,1.67,-,1.74,-,1.36,-
2,Trading Asset Securities,-,-,80,-,114.47,70.05,13,20.19,-
3,Cash & Short-Term Investments,356.13,423.53,472.05,248.98,396.96,554.18,136.8,309.99,-
4,Cash Growth,-24.56%,70.11%,18.92%,-55.07%,190.17%,78.77%,-,-,-
5,Accounts Receivable,7.69,21.11,17.59,23.62,33.55,63.54,48.27,27.63,-
6,Other Receivables,-,9.18,-,11.65,2.45,4.83,-,4.66,-
7,Receivables,7.69,43.29,17.59,268.16,36,68.37,48.27,32.3,-
8,Prepaid Expenses,-,1.09,-,2.17,-,1.14,-,0.86,-
9,Other Current Assets,31.31,29.19,51.8,9.59,34.49,7.6,21.87,13.49,-
10,Total Current Assets,395.14,497.09,541.44,528.9,467.45,631.28,206.94,356.64,-
11,"Property, Plant & Equipment",1822,1778,1697,1699,1609,1578,1445,1457,-
12,Long-Term Investments,-,81.57,-,-,-,-,-,-,-
13,Goodwill,3.05,3.05,3.05,3.05,3.05,-,-,-,-
14,Other Intangible Assets,10.8,11.47,8.56,8.43,8.64,8.9,8.95,7.88,-
15,Long-Term Deferred Tax Assets,10.27,6.71,0.99,1.17,-,-,-,-,-
16,Long-Term Deferred Charges,9.3,8.53,7.53,7.97,8.72,5.83,1.5,4.28,-
17,Other Long-Term Assets,63.82,78.88,102.15,89.14,53.73,54.77,71.12,93.64,-
18,Total Assets,2315,2466,2360,2338,2150,2279,1734,1919,-
19,Accrued Expenses,-,67.06,-,60.31,-,50.44,-,43.52,-
20,Current Portion of Long-Term Debt,57.67,132.86,131.37,89.17,81.37,83.42,90.92,97.21,-
21,Current Portion of Leases,25.44,24.3,29.68,23.64,23.93,25.21,26.34,22.88,-
22,Current Income Taxes Payable,16,17.03,15.65,18.93,14.8,16.99,15.68,17.1,-
23,Current Unearned Revenue,76.6,239.7,82.56,182.88,47.25,157.2,26.12,172.7,-
24,Other Current Liabilities,169.48,86.29,152.53,107.72,126.1,90.54,155.31,184.53,-
25,Total Current Liabilities,345.18,567.25,411.79,482.64,293.44,423.78,314.36,537.93,-
26,Long-Term Debt,126.36,74.76,127.43,122.46,162.16,185.01,208.24,282.59,-
27,Long-Term Leases,81.76,90.39,109.66,107.24,118.05,123.17,107.19,116.93,-
28,Long-Term Unearned Revenue,80.64,82.14,85,86.25,88.82,91.5,94.64,98.78,-
29,Total Liabilities,633.95,814.53,733.88,798.59,662.47,823.45,724.43,1036,-
30,Common Stock,11.12,11.12,11.12,11.12,11.12,11.12,0.01,0.01,-
31,Additional Paid-In Capital,294.41,352.49,352.49,352.49,413.12,413.12,5.59,5.59,-
32,Retained Earnings,1375,1288,1263,1175,1063,1031,1004,877.33,-
33,Comprehensive Income & Other,-0.56,-0.48,0.09,0.09,0.26,0.02,-,-,-
34,Total Common Equity,1680,1651,1626,1539,1488,1456,1009,882.93,-
35,Minority Interest,0.36,0.31,0.25,0.18,0.12,-,-,-,-
36,Shareholders' Equity,1681,1651,1627,1539,1488,1456,1009,882.93,-
37,Total Liabilities & Equity,2315,2466,2360,2338,2150,2279,1734,1919,-
38,Total Debt,291.23,322.31,398.15,342.51,385.51,416.8,432.69,519.6,-
39,Net Cash (Debt),64.91,101.22,73.9,-93.53,11.46,137.38,-295.89,-209.61,-
40,Net Cash Growth,-12.17%,-,545.15%,-,-,-,-,-,-
41,Net Cash Per Share,0.05,0.08,0.06,-0.07,0.01,0.10,-0.30,-0.21,-
42,Filing Date Shares Outstanding,1334,1334,1334,1334,1334,1334,1334,1384,999
43,Total Common Shares Outstanding,1334,1334,1334,1334,1334,1334,1000,1000,999
44,Working Capital,49.96,-70.16,129.65,46.26,174.01,207.5,-107.43,-181.29,-
45,Book Value Per Share,1.26,1.24,1.22,1.15,1.12,1.09,1.01,0.88,-
46,Tangible Book Value,1667,1636,1615,1528,1476,1447,1001,875.05,-
47,Tangible Book Value Per Share,1.25,1.23,1.21,1.15,1.11,1.08,1.00,0.88,-
48,Machinery,-,459.54,-,399.57,-,354.98,-,319.56,-
49,Construction In Progress,-,79.24,-,68.6,-,108.74,-,92.32,-
50,Leasehold Improvements,-,143.28,-,114.12,-,-,-,77.7,-
