,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,335.76,278.26,277.95,251.73,264.55,213.58,286.05,213.58,235.77
1,Revenue Growth (YoY),20.80%,10.54%,5.06%,17.86%,-7.52%,-0.00%,21.32%,-,-
2,Cost of Revenue,201.79,217.77,161.93,177.75,141.69,153.38,144.62,128.47,111.86
3,Gross Profit,133.97,60.49,116.02,73.98,122.86,60.19,141.42,85.11,123.91
4,"Selling, General & Admin",57.33,62.05,46.24,54.1,43.01,65.86,47.35,49.38,35.75
5,Other Operating Expenses,13.99,16.06,9.14,15.17,8.16,13,10.44,12.21,6.91
6,Operating Expenses,71.33,78.1,55.38,69.27,51.18,78.86,57.79,61.6,42.65
7,Operating Income,62.65,-17.62,60.64,4.71,71.68,-18.67,83.63,23.51,81.26
8,Interest Expense,-6,-5.45,-6.48,-6.52,-7.45,-8.32,-9.44,-6.6,-8.63
9,Interest & Investment Income,2.05,3.42,5.99,6.61,1.98,3.08,1.15,0.91,0.69
10,Currency Exchange Gain (Loss),-,0.55,0.24,-,-,-1.95,-,-,-
11,Other Non Operating Income (Expenses),25.01,38.41,28.97,47.6,26.1,43.54,43.38,50.02,29.26
12,EBT Excluding Unusual Items,83.69,19.31,89.36,52.39,92.31,17.69,118.73,67.84,102.58
13,Gain (Loss) on Sale of Investments,0.78,1.57,-,2.56,1.12,1.08,0.61,1.55,1.06
14,Gain (Loss) on Sale of Assets,-,-0.1,-,-0.12,-,-0.34,8.94,-,2.46
15,Other Unusual Items,-,-,-,-0.47,0.47,10.38,0.32,-,-
16,Pretax Income,84.48,20.78,89.36,54.38,93.89,28.81,128.6,69.39,106.1
17,Income Tax Expense,-3.3,-4.34,1.96,4.17,1.45,1.4,2.07,2.34,2.65
18,Earnings From Continuing Operations,87.78,25.12,87.41,50.21,92.44,27.41,126.53,67.05,103.45
19,Minority Interest in Earnings,-0.05,-0.06,-0.06,-0.06,0.02,-,-,-,-
20,Net Income,87.72,25.06,87.34,50.15,92.46,27.41,126.53,67.05,103.45
21,Net Income to Common,87.72,25.06,87.34,50.15,92.46,27.41,126.53,67.05,103.45
22,Net Income Growth,0.44%,-50.03%,-5.54%,82.96%,-26.92%,-59.12%,22.31%,-,-
23,Shares Outstanding (Basic),1334,1334,1334,1334,1334,1313,1000,999,999
24,Shares Outstanding (Diluted),1334,1334,1334,1334,1334,1313,1000,999,999
25,Shares Change (YoY),-,-,-,1.60%,33.40%,31.37%,0.10%,-,-
26,EPS (Basic),0.07,0.02,0.07,0.04,0.07,0.02,0.13,0.07,0.10
27,EPS (Diluted),0.07,0.02,0.07,0.04,0.07,0.02,0.13,0.07,0.10
28,EPS Growth,0.44%,-50.03%,-5.54%,80.07%,-45.22%,-68.89%,22.19%,-,-
29,Free Cash Flow,-62.22,97.3,-38.52,163.74,-48.32,53.7,-7.93,211.38,-26.34
30,Free Cash Flow Per Share,-0.05,0.07,-0.03,0.12,-0.04,0.04,-0.01,0.21,-0.03
31,Dividend Per Share,0.020,-,-,-,-,-,-,-,-
32,Operating Margin,18.66%,-6.33%,21.82%,1.87%,27.10%,-8.74%,29.24%,11.01%,34.46%
33,Profit Margin,26.13%,9.01%,31.42%,19.92%,34.95%,12.83%,44.23%,31.39%,43.88%
34,Free Cash Flow Margin,-18.53%,34.97%,-13.86%,65.05%,-18.27%,25.14%,-2.77%,98.97%,-11.17%
35,EBITDA,96.68,19.78,90.01,31.64,97.3,7.84,108.86,47.11,102.12
36,D&A For EBITDA,34.03,37.4,29.37,26.93,25.62,26.5,25.23,23.6,20.86
37,EBIT,62.65,-17.62,60.64,4.71,71.68,-18.67,83.63,23.51,81.26
