,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,147.92,153.07,112.25,112.25,129.61,111.83,84.93,84.93,113.56,103,101.6,101.6
1,Other Revenue,-,-,-,-,3.65,-0.52,0.26,0.26,-,-,-,-
2,Revenue,147.92,153.07,112.25,112.25,133.26,111.32,85.19,85.19,113.56,103,101.6,101.6
3,Revenue Growth (YoY),11.00%,37.51%,31.77%,31.77%,17.35%,8.07%,-16.15%,-16.15%,-,-,-,-
4,Cost of Revenue,-299,119.72,89.64,89.64,101.79,79.79,64.07,64.07,87.94,74.18,76.35,76.35
5,Gross Profit,446.92,33.35,22.62,22.62,31.47,31.53,21.12,21.12,25.62,28.82,25.25,25.25
6,"Selling, General & Admin",-54.75,18.74,18.01,18.01,14.84,15.76,13.97,13.97,18.08,14.7,13.22,13.22
7,Research & Development,-75.46,24.65,25.41,25.41,16.74,16.19,15.01,15.01,15.26,15.26,12.07,12.07
8,Other Operating Expenses,601.27,-3.33,-0.17,-0.17,2.13,-0.7,-1.11,-1.11,2.45,-2.3,0.14,0.14
9,Operating Expenses,472.43,38.69,43.24,43.24,31.83,33.14,27.87,27.87,34.68,27.98,25.84,25.84
10,Operating Income,-25.52,-5.34,-20.63,-20.63,-0.35,-1.61,-6.75,-6.75,-9.07,0.84,-0.59,-0.59
11,Interest Expense,-14.76,-0.04,-0.08,-0.08,-0.11,-0.14,-0.18,-0.18,-0.21,-0.25,-0.27,-0.27
12,Interest & Investment Income,0.19,4.57,5.09,5.09,3.7,2.7,2.58,2.58,2.79,2.9,2.8,2.8
13,Currency Exchange Gain (Loss),-,-1.76,0.88,0.88,4.25,-9.55,4.78,4.78,12.59,-7.98,3.99,3.99
14,Other Non Operating Income (Expenses),2.87,-2.82,-0.03,-0.03,-8.39,8.06,-0.09,-0.09,-17.64,17.47,-0.05,-0.05
15,EBT Excluding Unusual Items,-37.22,-5.38,-14.75,-14.75,-0.91,-0.55,0.33,0.33,-11.54,12.97,5.88,5.88
16,Gain (Loss) on Sale of Investments,0.63,-0.75,0.06,0.06,-,0.05,-0.03,-0.03,-,-0.12,0.06,0.06
17,Asset Writedown,5.49,-5.49,-,-,7.23,-7.23,-0,-0,6.64,-6.64,-0,-0
18,Other Unusual Items,0,-4.5,2.25,2.25,4.44,1.9,-0.95,-0.95,7.78,-0.67,0.33,0.33
19,Pretax Income,-31.09,-16.13,-12.44,-12.44,10.76,-5.84,-0.64,-0.64,2.87,5.54,6.27,6.27
20,Income Tax Expense,6.48,-0.17,-3.49,-3.49,2.18,-4.17,-2.14,-2.14,-0.07,-0.07,0.33,0.33
21,Net Income,-37.57,-15.95,-8.96,-8.96,8.58,-1.66,1.5,1.5,2.94,5.62,5.95,5.95
22,Net Income to Common,-37.57,-15.95,-8.96,-8.96,8.58,-1.66,1.5,1.5,2.94,5.62,5.95,5.95
23,Net Income Growth,-,-,-,-,191.68%,-,-74.77%,-74.77%,-,-,-,-
24,Shares Outstanding (Basic),424,424,424,424,379,362,362,362,360,290,397,397
25,Shares Outstanding (Diluted),424,424,424,424,379,362,362,362,360,290,397,397
