,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,424.65,612.77,612.77,928.99,592.12,-,-,557.66,-,470.76,470.76
1,Short-Term Investments,-,-,235,235,15,-,-,-,13.93,-,-,-
2,Trading Asset Securities,-,237.46,100.4,100.4,200.02,-,-,-,25.3,-,70.12,70.12
3,Cash & Short-Term Investments,662.11,662.11,948.17,948.17,1144,592.12,-,596.89,596.89,540.88,540.88,540.88
4,Cash Growth,-42.12%,11.82%,-,58.85%,91.66%,9.47%,-,10.36%,-,-,-,-
5,Accounts Receivable,-,223.75,258.52,258.52,285.55,241.83,-,-,155.67,-,109.18,109.18
6,Other Receivables,-,7.77,22,22,5.54,3.37,-,-,5.92,-,6.17,6.17
7,Receivables,-,231.52,280.52,280.52,291.09,245.2,-,-,161.59,-,115.35,115.35
8,Inventory,-,335.41,264.69,264.69,150.83,162.37,-,-,270.64,-,334.21,334.21
9,Prepaid Expenses,-,-,-,-,0.26,-,-,-,0.3,-,-,-
10,Other Current Assets,-,261.1,30.14,30.14,16.25,16.78,-,-,11.71,-,11.67,11.67
11,Total Current Assets,-,1490,1524,1524,1602,1016,-,-,1041,-,1002,1002
12,"Property, Plant & Equipment",-,25.24,26.77,26.77,28.47,25.62,-,-,34.82,-,40.19,40.19
13,Long-Term Investments,-,121.48,94.86,94.86,31.28,0.45,-,-,0.05,-,0.05,0.05
14,Other Intangible Assets,-,0.07,0.01,0.01,0.03,0.09,-,-,0.34,-,0.57,0.57
15,Long-Term Deferred Tax Assets,-,49.47,48.97,48.97,38.33,36.91,-,-,31.84,-,30.9,30.9
16,Long-Term Deferred Charges,-,2.67,3.84,3.84,6.42,7.81,-,-,8.84,-,10.99,10.99
17,Other Long-Term Assets,-,-,-,-,0.02,0.16,-,-,0.01,-,0.94,0.94
18,Total Assets,-,1689,1698,1698,1707,1088,-,-,1117,-,1086,1086
19,Accounts Payable,-,70.7,61.8,61.8,37.88,18.16,-,-,34.22,-,39.44,39.44
20,Accrued Expenses,-,5.81,27.79,27.79,41.85,4.68,-,-,56.53,-,25.1,25.1
21,Short-Term Debt,-,-,-,-,-,-,-,-,0.12,-,-,-
22,Current Portion of Leases,-,1.05,2.97,2.97,6.84,6.89,-,-,7.28,-,7.06,7.06
23,Current Income Taxes Payable,-,0.8,0.78,0.78,-,1.16,-,-,0,-,0,0
24,Current Unearned Revenue,-,0.09,0.07,0.07,0.16,0.06,-,-,0.78,-,5.26,5.26
25,Other Current Liabilities,-,15.7,1.03,1.03,2.69,43.67,-,-,1.09,-,1.28,1.28
26,Total Current Liabilities,-,94.14,94.44,94.44,89.42,74.62,-,-,100.03,-,78.14,78.14
27,Long-Term Leases,-,0.97,-,-,0.03,1.63,-,-,6.65,-,10.34,10.34
28,Long-Term Unearned Revenue,-,4.47,1.88,1.88,2.66,2.27,-,-,4.59,-,3.01,3.01
29,Long-Term Deferred Tax Liabilities,-,0.01,0.01,0.01,0.01,0.02,-,-,0.02,-,0.05,0.05
30,Total Liabilities,-,99.59,96.33,96.33,92.12,78.54,-,-,111.29,-,91.54,91.54
31,Common Stock,-,424.48,424.48,424.48,424.48,360.8,-,-,360.8,-,360.8,360.8
32,Additional Paid-In Capital,-,1304,1302,1302,1299,761.42,-,-,757.23,-,754.31,754.31
33,Retained Earnings,-,-136.65,-120.69,-120.69,-102.78,-111.37,-,-,-112.71,-,-121.27,-121.27
34,Comprehensive Income & Other,-,-1.87,-4.16,-4.16,-5.82,-1.89,-,-,0.41,-,0.36,0.36
35,Shareholders' Equity,1589,1589,1602,1602,1615,1009,-,1006,1006,994.2,994.2,994.2
36,Total Liabilities & Equity,-,1689,1698,1698,1707,1088,-,-,1117,-,1086,1086
37,Total Debt,2.02,2.02,2.97,2.97,6.88,8.52,-,14.05,14.05,17.4,17.4,17.4
38,Net Cash (Debt),660.1,660.1,945.2,945.2,1137,583.6,-,582.83,582.83,523.48,523.48,523.48
39,Net Cash Growth,-41.95%,13.11%,-,62.17%,95.11%,11.49%,-,11.34%,-,-,-,-
40,Net Cash Per Share,1.56,1.56,2.23,2.23,3.00,1.61,-,1.61,1.62,1.80,1.32,1.32
41,Filing Date Shares Outstanding,424.48,424.48,424.48,424.48,424.48,424.48,361.57,361.57,360.8,290.27,360.8,360.8
42,Total Common Shares Outstanding,424.48,424.48,424.48,424.48,424.48,360.8,361.57,361.57,360.8,290.27,360.8,360.8
43,Working Capital,-,1396,1429,1429,1513,941.84,-,-,941.1,-,923.96,923.96
44,Book Value Per Share,3.74,3.74,3.77,3.77,3.80,2.80,-,2.79,2.79,2.76,2.76,2.76
45,Tangible Book Value,1589,1589,1602,1602,1615,1009,-,1005,1005,993.63,993.63,993.63
46,Tangible Book Value Per Share,3.74,3.74,3.77,3.77,3.80,2.80,-,2.79,2.79,2.75,2.75,2.75
47,Machinery,-,-,60.4,60.4,54.05,-,-,-,45.79,-,43.35,43.35
48,Construction In Progress,-,-,0.27,0.27,0.2,-,-,-,-,-,-,-
