,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,645.56,612.78,497.39,482.25,603.78,410.36,360.29,368.38,388.33,452.11,361.49,437,507.51,584.93,549.29,307.11,307.11,243.23,243.23
1,Other Revenue,-0.32,0.32,-,0.77,-,-,-,0.29,-0.01,0.01,-,0.05,-,-,-,0.32,0.32,-,-
2,Revenue,645.24,613.1,497.39,483.01,603.78,410.36,360.29,368.67,388.32,452.11,361.49,437.06,507.51,584.93,549.29,307.43,307.43,243.23,243.23
3,Revenue Growth (YoY),6.87%,49.40%,38.05%,31.02%,55.49%,-9.23%,-0.33%,-15.65%,-23.49%,-22.71%,-34.19%,42.16%,65.08%,140.48%,125.83%,-,-,-,-
4,"Selling, General & Admin",26.72,34.33,26.98,56.84,26.55,33.72,24.99,25.37,23.93,41.22,23.43,29.87,23.78,26.42,26.8,22.54,22.54,14.03,14.03
5,Provision for Bad Debts,2.27,4.71,-4.56,4.74,0.92,1.05,6.55,-7.08,6.72,9.37,2.77,-0.1,6.08,5.57,-1.15,-2.01,-2.01,2.62,2.62
6,Other Operating Expenses,376.19,350.81,264.73,249.26,332.56,151.64,150.37,158.16,135.19,222.14,156.69,213.53,257.69,391.16,404.54,104.55,104.55,94.64,94.64
7,Total Operating Expenses,419.88,403.39,305.45,317.59,365.14,218.14,195.33,183.05,173.47,292.97,199.42,259.06,297.39,440.34,435.34,131.63,131.63,119.82,119.82
8,Operating Income,225.35,209.71,191.94,165.43,238.65,192.22,164.96,185.62,214.85,159.14,162.07,178,210.12,144.59,113.94,175.8,175.8,123.41,123.41
9,Interest Expense,-27.4,-29.06,-29.55,-30.74,-31.21,-36.48,-36.75,-40.18,-44.39,-42.84,-39.31,-38.18,-38.13,-24,-20.88,-21.17,-21.17,-24.67,-24.67
10,Interest Income,6.43,18,8.43,7.31,7.8,9.13,15.67,10.26,3.96,7.51,2.53,2.09,1.61,1.53,1.19,1.09,1.09,1.75,1.75
