,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10766,6921,6130,6281,6478,6683,6769,7073,6486,6392,7023,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,3.56%,3.56%,-9.45%,-11.19%,-0.13%,4.55%,-3.62%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12535,8509,7566,7686,7883,8026,7686,8127,7541,7314,10157,-,-,-,-,-,-,-,-,-
3,PE Ratio,15.13,13.37,11.37,11.93,12.61,12.35,13.02,14.60,13.91,13.56,15.01,-,-,-,-,-,-,-,-,-
4,PS Ratio,3.50,3.09,2.79,3.15,3.49,3.83,4.43,4.51,4.13,3.90,3.99,-,-,-,-,-,-,-,-,-
5,PB Ratio,1.51,1.17,1.07,1.07,1.13,1.18,1.24,1.25,1.17,1.19,1.35,-,-,-,-,-,-,-,-,-
6,P/FCF Ratio,58.22,37.43,-,15.69,21.61,11.55,13.84,10.70,16.48,18.06,25.81,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,7.47,7.47,6.58,6.09,7.46,6.74,7.62,7.82,8.21,7.47,8.19,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,5.60,3.80,3.44,3.85,4.24,4.60,5.03,5.18,4.80,4.46,5.78,-,-,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,11.53,7.86,6.92,7.15,7.53,7.53,7.48,8.19,7.73,7.66,10.86,-,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,15.82,10.74,9.39,9.75,10.36,10.27,10.14,11.22,10.45,10.24,14.32,-,-,-,-,-,-,-,-,-
11,EV/FCF Ratio,67.79,46.02,-,19.21,26.30,13.86,15.71,12.29,19.16,20.67,37.32,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.49,0.49,0.46,0.45,0.46,0.49,0.51,0.52,0.53,0.58,0.60,1.14,1.15,-,1.31,1.24,1.24,1.24,1.06,1.06
13,Debt / EBITDA Ratio,2.64,2.41,2.34,2.53,2.78,2.22,2.61,3.12,2.88,2.85,3.40,3.78,3.42,-,4.18,4.49,3.19,3.20,3.12,3.12
14,Debt / FCF Ratio,15.54,15.54,-,6.69,8.86,4.75,5.66,4.44,7.51,8.77,11.44,-,-32.08,-,-,-,-,-,-,-
15,Quick Ratio,2.75,2.75,2.77,2.83,2.70,3.19,3.12,3.99,3.69,3.58,3.25,1.14,0.91,-,0.77,-,0.87,0.87,0.57,0.57
16,Current Ratio,3.12,3.12,2.92,3.17,3.00,3.41,3.28,4.24,3.86,3.76,3.42,1.33,1.05,-,0.91,-,0.97,0.97,0.65,0.65
17,Asset Turnover,0.26,0.25,0.20,0.20,0.25,0.17,0.15,0.15,0.16,0.21,0.19,-,-,-,-,0.19,0.22,0.19,-,
18,Return on Equity (ROE),12.16%,12.36%,10.67%,10.15%,14.67%,11.96%,9.91%,12.53%,13.16%,12.37%,16.55%,-,-,18.74%,14.79%,25.91%,27.90%,20.21%,-,
19,Return on Assets (ROA),5.68%,5.37%,4.93%,4.30%,6.27%,5.00%,4.21%,4.76%,5.55%,4.65%,5.42%,-,-,-,-,6.94%,7.75%,6.15%,-,
20,Return on Capital (ROIC),6.57%,6.19%,5.66%,4.93%,7.18%,5.72%,4.83%,5.47%,6.40%,5.48%,6.63%,-,-,6.76%,5.63%,8.68%,9.71%,7.74%,-,
21,Return on Capital Employed (ROCE),8.64%,8.64%,9.20%,8.86%,8.73%,8.93%,8.86%,8.06%,8.14%,8.10%,8.21%,10.74%,10.36%,-,10.62%,-,11.30%,7.98%,5.86%,2.93%
22,Earnings Yield,4.81%,7.48%,8.79%,8.38%,7.93%,8.10%,7.68%,6.85%,7.19%,7.38%,6.66%,-,-,-,-,-,-,-,-,-
23,Earnings Yield,4.81%,7.48%,8.79%,8.38%,7.93%,8.10%,7.68%,6.85%,7.19%,7.38%,6.66%,-,-,-,-,-,-,-,-,-
24,FCF Yield,1.72%,2.67%,5.80%,6.37%,4.63%,8.66%,7.23%,9.35%,6.07%,5.54%,3.87%,-,-,-,-,-,-,-,-,-
25,Dividend Yield,4.72%,-,-,-,6.03%,-,-,-,6.34%,-,-,-,-,-,-,-,-,-,-,-
26,Payout Ratio,87.42%,11.52%,271.55%,17.84%,20.82%,15.00%,302.60%,26.15%,23.00%,24.14%,145.91%,36.88%,28.89%,24.70%,34.53%,40.08%,23.25%,23.25%,91.28%,91.28%
27,Buyback Yield / Dilution,-0.00%,-0.02%,0.01%,0.01%,-0.01%,0.04%,-9.09%,-33.37%,-33.33%,-33.38%,-22.23%,0.03%,0.00%,-0.00%,0.02%,-0.01%,-,-,-,-
28,Total Shareholder Return,4.72%,-0.02%,0.01%,0.01%,6.02%,0.04%,-9.09%,-33.37%,-26.99%,-33.38%,-22.23%,0.03%,0.00%,-0.00%,0.02%,-0.01%,-,-,-,-
