,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1686,719.67,860.89,870.28,732.26,987.8,1282,1038,400.75,514.54,641.76,779.22,-,580.2,-,649.77,649.77,232.68,232.68
1,Short-Term Investments,-,363.32,-,30,-,30,-,30,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,130.09,660.18,994.81,814.07,1229,983.54,1291,1673,2162,2154,-,-,-,-,-,-,-,-,-
3,Accounts Receivable,870.93,849.98,725.85,803.73,739.81,712.42,648.45,600.02,634.35,526.98,516.46,330.96,-,304.65,-,222.61,222.61,183.89,183.89
4,Other Receivables,2.61,15,0.85,17.29,2.35,15.84,28.66,16.98,46.56,14.92,2.25,13.84,-,23.17,-,23.81,23.81,37,37
5,Inventory,30.41,28.23,27.59,28.05,22.45,20.83,19.98,19.07,22.92,18.73,17.78,15.91,-,11.68,-,5.99,5.99,5.7,5.7
6,Other Current Assets,327.64,119.64,287.58,249.45,165.28,124.95,180.57,133.94,145.3,146.17,179.98,148.27,-,149.16,-,98.09,98.09,63.22,63.22
7,Total Current Assets,3048,2756,2898,2813,2892,2875,3451,3510,3412,3376,1358,1288,-,1069,-,1000,1000,522.48,522.48
8,"Property, Plant & Equipment",71.04,63.6,64.61,59.13,49.9,46.39,41.74,41.69,45.77,29.1,27.21,26.26,-,23.67,-,2057,2057,991.09,991.09
9,Other Intangible Assets,6212,6024,5876,5811,5734,5593,5648,5714,5740,5807,5787,5839,-,5600,-,3022,3022,3105,3105
10,Long-Term Investments,474.99,502.09,605.24,601.56,597.5,324.07,223.1,222.53,221.87,101.45,-,-,-,-,-,-,-,-,-
11,Long-Term Deferred Tax Assets,82.56,82,75.83,73.45,68.78,68,63.12,58.44,51.6,45.57,40.32,40.32,-,38.82,-,33.38,33.38,25.03,25.03
12,Long-Term Deferred Charges,2.31,2.61,3.14,3.73,3.14,3.02,3.37,3.72,4.07,4.42,4.76,5.11,-,5.81,-,6.51,6.51,-,-
13,Other Long-Term Assets,254.77,274.81,286.63,292.51,252.41,517.43,372.41,227.23,245.58,267.69,269.61,274.28,-,183.55,-,209.43,209.43,370.31,370.31
14,Total Assets,10146,9705,9809,9654,9597,9427,9802,9778,9721,9631,7487,7473,-,6921,-,6329,6329,5014,5014
15,Accounts Payable,386.37,353.64,309.37,291.11,304.64,333.34,341.96,403.95,426.33,523.66,514.46,694.34,-,789.93,-,781.87,-,552.16,552.16
16,Accrued Expenses,28.49,34.82,10.89,57.4,22.91,33.61,9.92,48.47,19.5,27.61,7.84,40.12,-,25.49,-,40.37,40.37,46.83,46.83
17,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,71.93,71.93,-,71.93,-,-,-,-,-
18,Current Portion of Long-Term Debt,443.95,447.24,491.87,490.87,431.67,437.98,377.43,383.8,360.75,349.21,333.31,334.7,-,258.7,-,176.4,176.4,174.4,174.4
19,Current Unearned Revenue,0.28,0.28,0.28,0.28,0.28,0.28,0.26,0.27,0.36,0.27,0.29,0.31,-,0.59,-,0.29,0.29,0.56,0.56
