,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,7587,7440,6931,7771,8660,6689,7275,7189,-,-,-,-
1,Market Cap Growth,11.23%,11.23%,-4.73%,8.10%,-,-,-,-,-,-,-,-
2,Enterprise Value,6363,6241,5554,6497,7387,5438,5953,5988,-,-,-,-
3,Last Close Price,18.58,18.22,16.91,18.70,20.84,16.09,17.30,17.09,-,-,-,-
4,PE Ratio,22.88,22.69,21.22,24.53,27.43,21.64,24.00,23.46,-,-,-,-
5,PS Ratio,1.84,1.83,1.70,1.93,2.16,1.71,1.90,1.96,-,-,-,-
6,PB Ratio,2.27,2.09,1.91,2.10,2.35,1.92,2.13,2.09,-,-,-,-
7,P/TBV Ratio,2.48,2.48,2.29,2.52,2.82,2.33,2.59,2.53,-,-,-,-
8,P/FCF Ratio,40.08,39.30,-,-,43.02,56.35,-,-,-,-,-,-
9,P/OCF Ratio,20.62,20.62,-,-,25.07,26.94,-,-,-,-,-,-
10,EV/Sales Ratio,1.56,1.53,1.36,1.62,1.84,1.39,1.56,1.64,-,-,-,-
11,EV/EBITDA Ratio,16.89,15.34,13.45,15.68,17.51,15.50,16.78,16.14,-,-,-,-
12,EV/EBIT Ratio,22.92,19.32,16.86,19.51,21.68,20.13,21.57,20.45,-,-,-,-
13,EV/FCF Ratio,33.61,32.97,-,-,36.69,45.81,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,-,0.02,0.02
15,Debt / EBITDA Ratio,0.10,0.10,0.18,0.33,0.05,0.17,0.19,0.24,0.06,-,0.12,1.67
16,Debt / FCF Ratio,0.19,0.19,-,-,0.25,0.54,-,-,0.38,-,-,-
17,Asset Turnover,0.83,0.77,0.65,1.26,0.85,0.76,0.73,-,-,-,-,
18,Inventory Turnover,61.00,58.99,55.19,56.57,86.02,57.56,51.73,56.06,-,-,-,-
19,Quick Ratio,3.43,3.43,3.78,4.05,2.87,3.38,3.33,3.78,2.28,-,2.57,-
20,Current Ratio,3.54,3.54,3.90,4.18,2.94,3.49,3.45,3.91,2.36,-,2.67,-
21,Return on Equity (ROE),7.71%,6.81%,1.50%,23.04%,8.35%,6.00%,2.17%,-,-,8.72%,-,
22,Return on Assets (ROA),3.67%,1.87%,0.84%,10.92%,4.11%,2.16%,1.41%,-,-,-,-,
23,Return on Capital (ROIC),4.55%,2.28%,1.07%,14.20%,5.18%,2.69%,1.86%,-,-,5.17%,-,
24,Return on Capital Employed (ROCE),7.60%,8.84%,8.82%,8.74%,8.96%,7.53%,7.88%,8.28%,8.73%,-,1.57%,-
25,Earnings Yield,4.32%,4.41%,4.71%,4.08%,3.65%,4.62%,4.17%,4.26%,-,-,-,-
26,FCF Yield,2.50%,2.54%,3.00%,2.78%,2.32%,1.77%,1.38%,1.75%,-,-,-,-
27,Dividend Yield,1.27%,-,-,-,1.15%,-,-,-,-,-,-,-
28,Payout Ratio,30.01%,-,174.85%,-,0.02%,133.36%,0.09%,0.14%,0.02%,-,19.02%,-
29,Buyback Yield / Dilution,-6.17%,-0.70%,-38.53%,15.58%,-17.40%,-8.34%,13.50%,-32.36%,-,-,-,-
30,Total Shareholder Return,-4.90%,-0.70%,-38.53%,15.58%,-16.24%,-8.34%,13.50%,-32.36%,-,-,-,-
