,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,941.35,872.13,774.4,1483,939.13,815.27,766.39,1394,841.93,654.76,662.64
1,Other Revenue,-3.26,3.26,-,5.97,-2.05,2.05,-,3.99,-1.51,1.51,-
2,Revenue,938.09,875.39,774.4,1489,937.08,817.32,766.39,1398,840.42,656.27,662.64
3,Revenue Growth (YoY),0.11%,7.11%,1.04%,6.46%,11.50%,24.54%,15.66%,-,-,-,-
4,Cost of Revenue,649.83,590.75,583.59,866.95,638.59,581.69,569.33,847.8,575.92,431.86,530.93
5,Gross Profit,288.26,284.63,190.81,621.75,298.49,235.63,197.07,550.59,264.49,224.41,131.71
6,"Selling, General & Admin",142.87,146.27,135.13,261.32,162.13,137.36,137.41,229.25,149.76,119.05,119
7,Research & Development,61.26,58.91,41.12,100.2,56,51.35,44.04,94.07,47.32,36.42,39.82
8,Other Operating Expenses,6.27,14.3,-1.55,4.33,-4.16,-12.36,-10.08,58.53,-10.53,-8.28,-13.97
9,Operating Expenses,221.99,250.8,174.84,414.79,225.84,198.24,173.37,414.19,185.99,170.13,143.96
10,Operating Income,66.28,33.84,15.97,206.96,72.65,37.39,23.7,136.4,78.5,54.28,-12.25
11,Interest Expense,-0.32,-0.64,-0.58,-1.05,-0.8,-0.41,-0.74,-0.98,-0.58,-0.62,-0.75
12,Interest & Investment Income,4.11,11.54,5.39,10.78,11.58,6.53,4.19,6.04,4.22,4.95,3.9
13,Currency Exchange Gain (Loss),0,-0,-,-0.05,-0.03,0.03,-,0.1,0.26,-0.26,-
14,Other Non Operating Income (Expenses),-1.84,1.32,-0.29,3.16,-3.77,2.4,-0.33,-0.47,-0.64,-1.34,-1.04
15,EBT Excluding Unusual Items,68.23,46.04,20.5,219.8,79.62,45.95,26.82,141.09,81.76,57,-10.14
16,Impairment of Goodwill,-,-,-,-9.3,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,0.61,-0.61,1.4,-0.26,-0.64,-0.5
18,Gain (Loss) on Sale of Assets,0.93,0.02,-1.32,-0.07,-0.22,0.38,0.06,0.15,0.07,-0.06,0
19,Asset Writedown,0.97,0.04,-0.04,0.29,-0.29,0.1,-0.1,-0.44,0.44,-0.46,0.46
20,Other Unusual Items,11.06,17.91,-0.58,25.83,-0.15,0.15,-,78.32,-2.35,2.35,-
21,Pretax Income,81.19,64.01,18.55,236.55,78.96,47.19,26.16,220.52,79.66,58.18,-10.17
22,Income Tax Expense,11.8,1.61,4.68,30.04,7.01,-4.23,9.11,26.24,12.08,1.79,0.97
23,Earnings From Continuing Operations,69.38,62.4,13.87,206.5,71.95,51.43,17.04,194.28,67.59,56.39,-11.14
24,Minority Interest in Earnings,-3.62,-6.14,6.94,-21.46,-7.38,-5,2.68,-15.95,-8.94,-6.59,-0.04
25,Net Income,65.76,56.26,20.82,185.04,64.57,46.43,19.73,178.33,58.65,49.8,-11.18
26,Net Income to Common,65.76,56.26,20.82,185.04,64.57,46.43,19.73,178.33,58.65,49.8,-11.18
27,Net Income Growth,1.85%,21.18%,5.53%,3.76%,10.10%,-6.77%,-,-,-,-,-
28,Shares Outstanding (Basic),413,395,416,390,410,285,493,333,379,330,373
29,Shares Outstanding (Diluted),413,395,416,390,410,285,493,333,379,330,373
30,Shares Change (YoY),0.70%,38.53%,-15.58%,17.40%,8.34%,-13.50%,32.36%,-,-,-,-
31,EPS (Basic),0.16,0.14,0.05,0.47,0.16,0.16,0.04,0.54,0.15,0.15,-0.03
32,EPS (Diluted),0.16,0.14,0.05,0.47,0.16,0.16,0.04,0.54,0.15,0.15,-0.03
33,EPS Growth,1.14%,-12.53%,25.00%,-11.61%,1.63%,7.78%,-,-,-,-,-
34,Free Cash Flow,114.84,-52.94,-488.34,615.75,133.48,-44.82,-503.1,533.15,115.47,-19.49,-518.65
35,Free Cash Flow Per Share,0.28,-0.13,-1.17,1.58,0.33,-0.16,-1.02,1.60,0.31,-0.06,-1.39
36,Dividend Per Share,-,-,-,0.240,-,-,-,0.210,-,-,-
37,Dividend Growth,-,-,-,14.29%,-,-,-,-,-,-,-
38,Gross Margin,30.73%,32.52%,24.64%,41.76%,31.85%,28.83%,25.71%,39.37%,31.47%,34.19%,19.88%
39,Operating Margin,7.07%,3.87%,2.06%,13.90%,7.75%,4.57%,3.09%,9.75%,9.34%,8.27%,-1.85%
40,Profit Margin,7.01%,6.43%,2.69%,12.43%,6.89%,5.68%,2.57%,12.75%,6.98%,7.59%,-1.69%
41,Free Cash Flow Margin,12.24%,-6.05%,-63.06%,41.36%,14.24%,-5.48%,-65.65%,38.13%,13.74%,-2.97%,-78.27%
42,EBITDA,86.71,56.35,36.41,227.39,92.7,57.9,43.75,156.45,96.57,74.15,5.82
43,EBITDA Margin,9.24%,6.44%,4.70%,15.27%,9.89%,7.08%,5.71%,11.19%,11.49%,11.30%,0.88%
