,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,1602,1254,1076,1176,1079
1,Revenue Growth (YoY),48.89%,6.69%,-0.28%,-,-
2,Cost of Revenue,1530,1212,969.56,1053,914.17
3,Gross Profit,71.78,42.41,106.45,122.86,164.82
4,"Selling, General & Admin",29.34,27.67,24.21,27,19.93
5,Other Operating Expenses,-,2.12,-,1.62,3.92
6,Operating Expenses,29.34,29.8,24.21,28.62,23.84
7,Operating Income,42.44,12.61,82.24,94.25,140.97
8,Interest Expense,-8.09,-3.07,-2.99,-3.96,-4.07
9,Interest & Investment Income,7.69,1.84,3.36,2.25,1.47
10,Earnings From Equity Investments,1.19,3.15,-,-,-
11,Currency Exchange Gain (Loss),4.84,-0.1,-,-,-
12,Other Non Operating Income (Expenses),6.86,1.94,-0.01,2.63,-
13,EBT Excluding Unusual Items,54.93,16.36,82.6,95.17,138.38
14,Gain (Loss) on Sale of Assets,0,0.07,-0.07,-0.02,0.02
15,Asset Writedown,-,-0.07,-,-0,-
16,Pretax Income,54.93,16.36,82.53,95.16,138.39
17,Income Tax Expense,10.05,-0.24,16.81,17.82,21.65
18,Earnings From Continuing Operations,44.88,16.61,65.71,77.34,116.74
19,Minority Interest in Earnings,-14.65,-12.56,-14.83,-25.8,-30.05
20,Net Income,30.23,4.05,50.88,51.54,86.69
21,Net Income to Common,30.23,4.05,50.88,51.54,86.69
22,Net Income Growth,-40.58%,-92.15%,-41.31%,-,-
23,Shares Outstanding (Basic),956,1124,536,-,-
24,Shares Outstanding (Diluted),956,1124,536,-,-
25,Shares Change (YoY),78.27%,-,-,-,-
26,EPS (Basic),0.03,0.00,0.09,-,-
27,EPS (Diluted),0.03,0.00,0.09,-,-
28,EPS Growth,-66.67%,-,-,-,-
29,Free Cash Flow,48.86,-41.3,-2.65,95.98,104.46
30,Free Cash Flow Per Share,0.05,-0.04,-0.00,-,-
31,Operating Margin,2.65%,1.01%,7.64%,8.02%,13.07%
32,Profit Margin,1.89%,0.32%,4.73%,4.38%,8.03%
33,Free Cash Flow Margin,3.05%,-3.29%,-0.25%,8.16%,9.68%
34,EBITDA,80.89,41.3,109.22,124.15,170.69
35,D&A For EBITDA,38.45,28.69,26.98,29.9,29.72
36,EBIT,42.44,12.61,82.24,94.25,140.97
37,Advertising Expenses,-,-,-,-,0.19
