,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,388.22,300.71,59.76,92.47,-
1,Cash & Short-Term Investments,388.22,300.71,59.76,92.47,-
2,Cash Growth,549.68%,225.20%,-,-,-
3,Accounts Receivable,97.85,100.86,159.03,131.07,-
4,Other Receivables,1.47,9.7,1.7,0.84,-
5,Receivables,129.32,110.56,190.72,161.91,-
6,Inventory,85.59,117.48,53.73,65.7,-
7,Prepaid Expenses,2.19,11.86,6.02,10.74,-
8,Restricted Cash,-,-,25.21,15.21,-
9,Other Current Assets,8.49,11.15,11.48,6.44,-
10,Total Current Assets,613.81,551.77,346.91,352.46,-
11,"Property, Plant & Equipment",965.27,983.1,828.53,670.83,-
12,Long-Term Investments,82.3,90.91,-,-,-
13,Goodwill,10.67,10.67,10.67,10.67,-
14,Other Intangible Assets,22.33,23.06,23.78,28.96,-
15,Long-Term Deferred Tax Assets,4.89,3.89,4.62,4.8,-
16,Other Long-Term Assets,1.1,-,6.83,7.72,-
17,Total Assets,1700,1663,1221,1075,-
18,Accounts Payable,24.36,50.36,77.57,67.6,-
19,Accrued Expenses,10.54,11.58,8.35,14.01,-
20,Current Portion of Long-Term Debt,219.32,142,146,87,-
21,Current Portion of Leases,0.64,0.65,0.02,0.02,-
22,Current Income Taxes Payable,11.15,9.04,12.6,13.24,-
23,Current Unearned Revenue,24.07,28.83,18.81,15.43,-
24,Other Current Liabilities,128.33,140.11,176.12,62.57,-
25,Total Current Liabilities,418.4,382.57,439.48,259.87,-
26,Long-Term Debt,120.34,116.76,95.75,78.15,-
27,Long-Term Leases,3.13,3.55,0.12,0.13,-
28,Long-Term Unearned Revenue,13.72,14.51,15.31,16.1,-
29,Long-Term Deferred Tax Liabilities,0.47,0.48,0.5,1.63,-
30,Other Long-Term Liabilities,18.06,18.06,-,-,-
31,Total Liabilities,574.12,535.95,551.15,355.88,-
32,Common Stock,955.64,955.64,100,100,-
33,Retained Earnings,51.79,38.76,305.39,320.2,-
34,Comprehensive Income & Other,25.56,27.38,149.43,161.81,-
35,Total Common Equity,1033,1022,554.81,582.01,-
36,Minority Interest,93.24,105.67,115.38,137.55,-
37,Shareholders' Equity,1126,1127,670.19,719.56,-
38,Total Liabilities & Equity,1700,1663,1221,1075,-
39,Total Debt,343.43,262.97,241.89,165.3,-
40,Net Cash (Debt),44.79,37.74,-182.13,-72.83,-
41,Net Cash Per Share,0.05,0.03,-0.34,-,-
42,Filing Date Shares Outstanding,955.64,955.64,955.64,100,-
43,Total Common Shares Outstanding,955.64,955.64,100,100,-
44,Working Capital,195.41,169.19,-92.57,92.59,-
45,Book Value Per Share,1.08,1.07,5.55,5.82,-
46,Tangible Book Value,1000,988.05,520.36,542.38,-
47,Tangible Book Value Per Share,1.05,1.03,5.20,5.42,-
48,Buildings,-,195.31,137.81,137.89,-
49,Machinery,-,927.25,524.2,522.1,-
50,Construction In Progress,-,24.1,304.59,125.82,-
