,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,344,487,908,-,-,-
1,Enterprise Value,396,562,1229,-,-,-
2,Last Close Price,0.36,0.51,0.92,-,-,-
3,PE Ratio,8.03,13.23,15.00,-,-,-
4,PS Ratio,0.10,0.16,0.35,-,-,-
5,PB Ratio,0.31,0.40,0.73,-,-,-
6,P/TBV Ratio,0.45,0.45,0.83,-,-,-
7,P/FCF Ratio,42.37,60.02,-,-,-,-
8,P/OCF Ratio,3.58,3.58,7.89,-,-,-
9,EV/Sales Ratio,0.13,0.18,0.48,-,-,-
10,EV/EBITDA Ratio,2.84,4.28,7.41,-,-,-
11,EV/EBIT Ratio,6.21,9.50,11.76,-,-,-
12,EV/FCF Ratio,48.78,69.24,-,-,-,-
13,Debt / Equity Ratio,0.30,0.30,0.23,0.36,0.23,-
14,Debt / FCF Ratio,45.45,45.45,-,-,0.82,-
15,Return on Capital Employed (ROCE),4.29%,4.29%,7.41%,22.57%,28.84%,-
16,Earnings Yield,10.71%,7.56%,6.67%,-,-,-
17,FCF Yield,2.36%,1.67%,-5.33%,-,-,-
18,Buyback Yield / Dilution,-53.30%,-78.27%,-,-,-,-
19,Total Shareholder Return,-47.20%,-78.27%,-,-,-,-
