,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3961,4200,3158,4829,5016,5057,6775,7856,5993,3602,-,-,-,-,-,-
1,Market Cap Growth,-16.94%,-16.94%,-53.39%,-38.53%,-16.29%,40.37%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4879,4819,3180,4529,4717,4754,6488,7507,5598,3859,-,-,-,-,-,-
3,Last Close Price,29.45,30.99,23.25,35.56,37.23,37.53,50.66,58.64,44.73,26.89,-,-,-,-,-,-
4,PE Ratio,165.11,176.16,118.99,103.72,81.74,69.80,81.13,85.45,54.42,26.42,-,-,-,-,-,-
5,PS Ratio,5.34,5.70,4.23,6.47,6.63,6.12,8.04,8.98,6.66,4.11,-,-,-,-,-,-
6,PB Ratio,2.47,2.06,1.74,2.97,3.15,3.20,4.31,5.15,3.98,2.43,-,-,-,-,-,-
7,P/TBV Ratio,3.19,3.19,2.29,3.10,3.27,3.32,4.48,5.42,4.14,2.53,-,-,-,-,-,-
8,P/OCF Ratio,52.21,52.21,29.83,-,44.36,52.53,293.19,-,157.86,74.38,-,-,-,-,-,-
9,EV/Sales Ratio,6.62,6.54,4.26,6.07,6.23,5.75,7.70,8.58,6.22,4.40,-,-,-,-,-,-
10,EV/EBITDA Ratio,61.35,65.98,45.05,46.93,43.90,44.90,51.70,61.29,37.46,21.59,-,-,-,-,-,-
11,EV/EBIT Ratio,286.89,256.13,164.32,93.81,75.82,74.72,75.64,84.61,47.34,25.72,-,-,-,-,-,-
12,Debt / Equity Ratio,0.29,0.29,0.34,0.26,0.18,0.13,0.12,0.09,0.05,0.13,0.39,0.37,0.37,-,-,0.43
13,Debt / EBITDA Ratio,7.41,10.45,8.77,6.52,2.89,4.47,1.10,1.27,0.80,1.49,1.96,1.25,1.28,-,-,1.47
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,14.47,-,-,-,26.00
15,Asset Turnover,0.28,0.30,0.34,0.34,0.43,0.39,0.43,0.52,0.56,-,-,-,-,-,-,
16,Inventory Turnover,3.02,2.74,2.52,2.68,2.76,3.36,2.22,2.61,3.82,3.29,-,-,-,-,-,-
17,Quick Ratio,0.53,0.53,0.75,1.20,2.11,2.69,2.70,3.08,3.63,2.38,0.96,-,1.07,-,-,-
18,Current Ratio,0.91,0.91,1.16,1.65,2.70,3.29,3.58,4.20,4.71,2.90,1.55,-,1.62,-,-,-
19,Return on Equity (ROE),0.62%,-0.10%,1.04%,3.30%,2.06%,5.46%,5.01%,6.47%,6.72%,15.33%,20.18%,-,-,-,-,
20,Return on Assets (ROA),0.08%,0.36%,0.32%,1.45%,0.18%,4.33%,2.33%,1.75%,3.66%,-,-,-,-,-,-,
21,Return on Capital (ROIC),0.09%,0.40%,0.36%,1.57%,0.20%,4.74%,2.58%,2.00%,4.22%,8.32%,11.48%,-,-,-,-,
22,Return on Capital Employed (ROCE),0.84%,0.88%,1.02%,2.91%,3.83%,3.94%,5.34%,5.69%,7.68%,9.94%,18.26%,-,18.63%,-,-,-
23,Earnings Yield,0.60%,0.57%,0.84%,0.96%,1.22%,1.43%,1.23%,1.17%,1.84%,3.78%,-,-,-,-,-,-
24,FCF Yield,-30.51%,-28.78%,-29.17%,-7.23%,-2.63%,-2.55%,-1.96%,-1.65%,-1.02%,-1.01%,-,-,-,-,-,-
25,Dividend Yield,0.16%,-,-,-,0.12%,-,-,-,0.17%,-,-,-,-,-,-,-
26,Payout Ratio,68.30%,91.75%,653.71%,32.36%,20.41%,19.84%,53.34%,4.54%,9.25%,15.74%,14.32%,9.90%,8.66%,14.38%,25.59%,25.59%
27,Buyback Yield / Dilution,0.36%,-2.09%,4.67%,-3.24%,2.22%,-20.93%,-33.50%,-35.14%,-37.00%,-9.72%,1.08%,-0.68%,-,-,-,-
28,Total Shareholder Return,0.52%,-2.09%,4.67%,-3.24%,2.34%,-20.93%,-33.50%,-35.14%,-36.84%,-9.72%,1.08%,-0.68%,-,-,-,-
