,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,198.62,185.71,182.64,170.04,208.41,184.71,193.4,239.96,224.73,217.16,217.93,216.72,193.42,164.29,164.29
1,Other Revenue,-0,0,-,0,-0,0,-,0.01,-0,0,-,-,-,-,-
2,Revenue,198.62,185.71,182.64,170.05,208.41,184.71,193.4,239.97,224.73,217.16,217.93,216.72,193.42,164.29,164.29
3,Revenue Growth (YoY),-4.69%,0.54%,-5.57%,-29.14%,-7.26%,-14.94%,-11.25%,10.73%,16.19%,32.18%,32.65%,-,-,-,-
4,Cost of Revenue,170.52,157.05,151.56,133.62,177.53,134.99,146.1,196.16,172.85,161.76,153.22,154.32,141.06,109.76,109.76
5,Gross Profit,28.11,28.65,31.07,36.43,30.87,49.72,47.3,43.81,51.88,55.4,64.7,62.4,52.36,54.53,54.53
6,"Selling, General & Admin",19.38,17.95,18.24,26.44,20.27,17.29,20.06,14.39,21.15,13.54,12.11,13.04,12.94,13.78,13.78
7,Research & Development,4.01,5.83,4.36,3.56,3.47,5.75,3.51,5.57,6.68,4.98,6.87,5.16,3,4.98,4.98
8,Other Operating Expenses,3.79,1.37,1.01,-2.29,1.05,0.08,1.11,5.9,0.23,0.13,-2.75,4.45,0.81,-1.06,-1.06
9,Operating Expenses,27.22,25.09,28.28,24.86,29.45,17.22,30.58,30.83,28.3,19.95,18.45,17.64,19.6,15.62,15.62
10,Operating Income,0.89,3.57,2.79,11.57,1.42,32.5,16.72,12.98,23.58,35.45,46.25,44.76,32.76,38.91,38.91
11,Interest Expense,-3,-3.42,-2.05,-2.56,-1.08,-1.75,-0.77,-1.09,-2.78,-2.62,-2.29,-2.48,-1.67,-1.57,-1.57
12,Interest & Investment Income,0.54,0.53,1.84,2.14,1.17,2.29,2.49,2.57,1.31,-,0.41,0.36,0.5,0.18,0.18
13,Earnings From Equity Investments,-0.86,-,-,-0.11,1.12,-,-,0.16,0.04,0.61,-,-,-,-,-
14,Currency Exchange Gain (Loss),-0.31,0.31,-,1.27,-1.88,1.88,-,1.34,-0.31,0.31,-,-0.19,-,-,-
15,Other Non Operating Income (Expenses),1.13,-1.53,0.13,-0.71,0.63,0.05,-0.09,0.68,0.29,0.48,-1.5,-1.22,-,-0.35,-0.35
16,EBT Excluding Unusual Items,-1.61,-0.54,2.71,11.59,1.39,34.97,18.35,16.64,22.13,34.23,42.86,41.22,31.58,37.17,37.17
17,Gain (Loss) on Sale of Investments,0.4,-0.4,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-,-,0.4,-,0.07,0.06,-,-,0,0.02,-,0.14,0.12,0.02,0.02
19,Asset Writedown,0.2,-0.57,0.57,-2.26,2.26,-3.03,2.96,0.07,-0.07,-0.34,-0.05,3.08,3.18,-3.48,-3.48
20,Other Unusual Items,4.35,-0.15,-,0.88,5.95,-5.95,-,4.52,-,-,-,9.01,-,-,-
21,Pretax Income,3.35,-1.66,3.68,10.21,9.68,26.05,21.31,21.22,22.06,33.92,42.81,53.45,34.89,33.71,33.71
22,Income Tax Expense,0.35,-1.24,-0.49,-2.88,1.54,4.92,2.29,-2.94,2.86,4.36,5.63,3.06,8.46,4.76,4.76
23,Earnings From Continuing Operations,3,-0.42,4.17,13.08,8.14,21.13,19.01,24.17,19.2,29.56,37.18,50.39,26.43,28.95,28.95
24,Minority Interest in Earnings,2.44,1.54,0.04,-,-,-,-,-,-,-,-,-,-,-,-
25,Net Income,5.44,1.11,4.21,13.08,8.14,21.13,19.01,24.17,19.2,29.56,37.18,50.39,26.43,28.95,28.95
26,Net Income to Common,5.44,1.11,4.21,13.08,8.14,21.13,19.01,24.17,19.2,29.56,37.18,50.39,26.43,28.95,28.95
27,Net Income Growth,-33.14%,-94.74%,-77.88%,-45.86%,-57.62%,-28.52%,-48.87%,-52.04%,-27.37%,2.11%,28.46%,-,-,-,-
