,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,97.98,205.39,410.38,538.61,510.95,494.28,424.65,423.62,582.17,60.96,-,50.66,-,-,-
1,Cash & Short-Term Investments,97.98,205.39,410.38,538.61,510.95,494.28,424.65,423.62,582.17,60.96,50.66,50.66,-,-,27.94
2,Cash Growth,-80.82%,-58.45%,-3.36%,27.14%,-12.23%,710.79%,738.29%,736.26%,-,-,81.32%,-,-,-,-
3,Accounts Receivable,326.21,364.38,342.07,331.6,367.31,363.72,369.66,371.16,455.36,315.62,-,281.39,-,-,-
4,Other Receivables,15.05,13.95,15.91,7.44,11.02,14.16,12.37,9.27,8.76,9.51,-,30.36,-,-,-
5,Receivables,341.26,378.33,357.99,339.04,378.33,377.89,382.03,380.44,464.11,325.12,-,311.75,-,-,-
6,Inventory,235.19,263.58,234.7,217.04,170.11,252.73,234.23,213.17,197.92,222.18,-,155.51,-,-,-
7,Other Current Assets,78.93,61.4,51,28.2,30.47,32.19,57.48,26.11,29.92,17.77,-,30.95,-,-,-
8,Total Current Assets,753.37,908.7,1054,1123,1090,1157,1098,1043,1274,626.03,-,548.86,-,-,-
9,"Property, Plant & Equipment",1043,829.73,666.85,652.53,695.92,605.8,591.76,583.48,560.77,540.62,-,533.33,-,-,-
10,Long-Term Investments,30.65,31.11,33.91,22.01,21.62,21.37,20.99,20.5,20.4,20.36,-,19.74,-,-,-
11,Other Intangible Assets,300.32,230.84,58.18,58.54,58.91,59.27,77.76,60,60.37,60.74,-,40.75,-,-,-
12,Long-Term Deferred Tax Assets,17.62,12.74,4.34,3.8,6.56,6.81,6.62,6.11,4.72,4.65,-,4.46,-,-,-
13,Long-Term Deferred Charges,30.43,28.71,29.36,27.96,25.89,22.86,23.53,24.39,15.51,18.7,-,13.48,-,-,-
14,Other Long-Term Assets,785.87,635.15,450,153.36,46.21,55.72,1.78,23.83,13.05,4.95,-,11.67,-,-,-
15,Total Assets,2962,2677,2297,2041,1945,1929,1821,1762,1949,1276,-,1172,-,-,-
16,Accounts Payable,181.51,108.09,200.55,84.51,94.3,110.88,90.71,106.96,224.57,107.07,-,75.21,-,-,-
17,Accrued Expenses,12.65,13.32,10.38,8.77,9.5,12.6,10.46,11.77,9.48,7.46,-,11.89,-,-,-
18,Short-Term Debt,596.74,618.28,422.27,288.35,211.58,191.65,137.87,74.63,187.88,219.16,-,154.25,-,-,-
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,59.87,-,47.73,-,-,-
