,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,315.54,287.85,293.49,289.74,500.06,613.01,636.16,615.36,730.03,757.78,582.67,548.77,61.84,-,-,80.16,-,33.23,33.23
1,Trading Asset Securities,472.83,530.35,548.64,517.62,356.24,355.55,388.74,403.51,303.73,344.33,541.93,715.75,23.18,-,-,-,-,-,-
2,Cash & Short-Term Investments,788.37,818.2,842.13,807.35,856.3,968.56,1025,1019,1034,1102,1125,1265,85.02,-,80.16,80.16,33.23,33.23,33.23
3,Cash Growth,-7.93%,-15.52%,-17.83%,-20.76%,-17.17%,-12.12%,-8.87%,-19.43%,1115.92%,-,1302.92%,1477.46%,155.85%,-,141.23%,-,-,-,-
4,Accounts Receivable,426.13,346.53,325.09,425.8,356.24,325.41,354.87,439.58,340.13,288.2,251.31,274.2,282.07,-,-,268.56,-,154.78,154.78
5,Other Receivables,4.38,4.94,4.78,4.97,6.83,6.04,5.69,4.98,5.96,2.69,5.03,2.67,2.83,-,-,3.55,-,3.87,3.87
6,Receivables,430.51,351.47,329.87,430.77,363.07,331.46,360.57,444.55,346.1,290.89,256.34,276.87,284.9,-,-,272.11,-,158.65,158.65
7,Inventory,110.33,97.6,89.39,76.59,191.68,91.63,99.58,105.31,111.08,71.89,91.7,82.24,101.24,-,-,69.73,-,57.38,57.38
8,Prepaid Expenses,-,0.44,-,0.96,-,0.62,-,-,-,0.18,-,0.17,-,-,-,0.09,-,0.1,0.1
9,Other Current Assets,49.31,44.31,45.47,34.73,35.73,22.54,19.27,16.69,24.25,9.05,28.73,19.93,27.53,-,-,17.28,-,9.22,9.22
10,Total Current Assets,1379,1312,1307,1350,1447,1415,1504,1585,1515,1474,1501,1644,498.68,-,-,439.37,-,258.58,258.58
11,"Property, Plant & Equipment",1015,972.3,945.32,944.91,826.15,736.21,652.64,616.14,476.86,417.25,373.22,348.74,263.21,-,-,148.39,-,106.61,106.61
12,Long-Term Investments,67.42,67.77,67.73,41.1,40.72,40.72,10.72,10.72,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,-,-,25.67,-,25.67,25.67
14,Other Intangible Assets,71.54,72.34,73.11,72.89,73.72,74.56,75.4,76.25,76.95,77.86,78.72,79.41,69.48,-,-,69.89,-,65.91,65.91
15,Long-Term Accounts Receivable,1.86,2.04,2.25,2.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Long-Term Deferred Tax Assets,22.84,24.59,24.51,24.93,19.5,19.02,17.72,19.09,17.92,16.35,12.56,12.03,15.48,-,-,6.99,-,3.2,3.2
17,Long-Term Deferred Charges,4.17,4.32,4.72,1.41,2.52,2.21,1.63,1.6,1.14,1.7,2.17,3.96,6.28,-,-,6.17,-,2.6,2.6
18,Other Long-Term Assets,5.31,9.68,5.8,5.84,35.08,33.74,26.16,16.86,45.48,41.71,59.72,13.35,23.81,-,-,7.57,-,14.05,14.05
19,Total Assets,2592,2491,2456,2470,2470,2347,2314,2352,2159,2055,2053,2127,902.6,-,-,704.06,-,476.61,476.61
20,Accounts Payable,248.17,186.45,155.46,228.22,208.03,183.41,231.64,304.8,220.44,139.4,113.58,163.22,180.99,-,-,170.89,-,109.42,109.42
21,Accrued Expenses,12.55,24.07,9.36,33.33,10.87,24.7,9.53,53.14,21.24,32.74,10.47,35.43,17.62,-,-,34.1,-,18.31,18.31
22,Short-Term Debt,163.53,205.47,104.76,94.07,125.11,140.08,30,30,-,65.07,50,101.36,114.51,-,-,78.05,-,68.05,68.05
23,Current Portion of Long-Term Debt,45.04,42.76,42.7,9.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,-,1.57,-,3.63,5.97,6.22,3.5,3.66,4.96,5.15,8.96,11.27,-,-,-,-,-,0.2,0.2
25,Current Income Taxes Payable,21.78,4.38,27.61,14.02,27.13,8.58,40.37,21.74,44.59,11.46,34.65,16.1,21.14,-,-,18.67,-,6.35,6.35
26,Current Unearned Revenue,9.61,5.66,7.27,8.19,50.81,14.95,14.38,13.04,9.82,4.37,7.3,2.54,5.46,-,-,0.36,-,2.16,2.16
27,Other Current Liabilities,4.44,2.39,22.97,2.58,9.8,5.96,1.91,1.05,2.06,0.23,3.63,2.93,14.96,-,-,17.95,-,16.13,16.13
28,Total Current Liabilities,505.12,472.74,370.14,393.63,437.72,383.91,331.34,427.43,303.11,258.42,228.59,332.85,354.69,-,-,320.03,-,220.63,220.63
29,Long-Term Debt,122.64,115.9,124.39,141.26,99.32,76.51,42.87,24.72,-,-,-,-,92.12,-,-,23.57,-,2.95,2.95
30,Long-Term Leases,3.55,3.71,2.88,3.58,4.68,2.96,1.56,2.91,3.19,4.9,4.75,5.77,14.56,-,-,-,-,-,-
31,Long-Term Unearned Revenue,8.22,8.67,9.11,9.56,9.15,9.41,9.66,9.92,6.15,6.42,6.68,6.95,11.64,-,-,8.02,-,0.98,0.98
32,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,0.04,-,0.46,0.4,0.08,0.26,0.01,-,-,0.01,-,0.01,0.01
33,Other Long-Term Liabilities,0.67,0.67,0.67,0.67,0.77,0.77,0.77,0.77,0.65,0.65,0.65,0.68,0.68,-,-,5.89,-,0.55,0.55
34,Total Liabilities,640.2,601.7,507.2,548.71,551.65,473.57,386.23,465.76,313.55,270.78,240.75,346.5,473.7,-,-,357.52,-,225.11,225.11
35,Common Stock,90,90,90,90,90,90,60,60,60,60,60,60,45,-,-,45,-,45,45
36,Additional Paid-In Capital,1375,1375,1374,1374,1375,1373,1402,1400,1393,1396,1395,1394,94.73,-,-,91.62,-,89.56,89.56
37,Retained Earnings,479.58,417.32,478.34,450.55,446.56,403.33,458.35,422.69,380.69,325.49,355.93,324.34,287.15,-,-,207.55,-,116.94,116.94
38,Comprehensive Income & Other,-,-,-,-,-0.17,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Total Common Equity,1945,1882,1943,1914,1911,1867,1921,1882,1834,1782,1811,1779,426.88,-,344.17,344.17,251.49,251.49,251.49
40,Minority Interest,7.33,6.94,6.1,6.4,7.08,6.68,7.31,3.57,12.04,1.93,1.48,1.81,2.02,-,-,2.37,-,-,-
41,Shareholders' Equity,1952,1889,1949,1921,1918,1873,1928,1886,1846,1784,1813,1780,428.9,-,346.54,346.54,251.49,251.49,251.49
42,Total Liabilities & Equity,2592,2491,2456,2470,2470,2347,2314,2352,2159,2055,2053,2127,902.6,-,-,704.06,-,476.61,476.61
43,Total Debt,334.75,369.41,274.73,252.13,235.08,225.78,77.93,61.29,8.15,75.12,63.7,118.4,221.19,-,101.62,101.62,71.2,71.2,71.2
44,Net Cash (Debt),453.62,448.78,567.4,555.22,621.22,742.78,946.97,957.58,1026,1027,1061,1146,-136.17,-,-21.46,-21.46,-37.97,-37.97,-37.97
45,Net Cash Growth,-26.98%,-39.58%,-40.08%,-42.02%,-39.43%,-27.67%,-10.74%,-16.45%,-,-,-,-,-,-,-,-,-,-,-
46,Net Cash Per Share,5.02,4.95,6.33,6.28,6.90,8.36,10.35,10.72,11.31,11.36,11.86,13.85,-2.02,-,-0.32,-0.32,-0.56,-0.56,-0.56
47,Filing Date Shares Outstanding,90,90,90,90,90,90,90,90,90,90,90,90,67.5,67.6,67.3,67.5,67.69,67.5,67.5
48,Total Common Shares Outstanding,90,90,90,90,90,90,90,90,90,90,90,90,67.5,67.6,67.3,67.5,67.69,67.5,67.5
49,Working Capital,873.4,839.27,936.72,956.77,1009,1031,1173,1158,1212,1216,1273,1311,143.98,-,-,119.35,-,37.95,37.95
50,Book Value Per Share,21.61,20.91,21.59,21.27,21.24,20.74,21.34,20.92,20.37,19.80,20.12,19.76,6.32,-,5.10,5.10,3.73,3.73,3.73
51,Tangible Book Value,1848,1784,1844,1816,1812,1766,1820,1781,1731,1678,1707,1674,331.74,-,248.61,248.61,159.91,159.91,159.91
52,Tangible Book Value Per Share,20.53,19.82,20.49,20.18,20.13,19.63,20.22,19.78,19.23,18.65,18.96,18.59,4.91,-,3.68,3.68,2.37,2.37,2.37
53,Buildings,-,263.56,-,252.47,-,102.51,-,100.21,-,100.02,-,75.11,-,-,-,-,-,44.02,44.02
54,Machinery,-,227.33,-,220.3,-,182.97,-,174.49,-,152.37,-,141.1,-,-,-,-,-,83.9,83.9
55,Construction In Progress,-,600.35,-,570.66,-,524.8,-,405.07,-,199.16,-,154.14,-,-,-,-,-,3.92,3.92
