,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4357,3830,3608,3236,4160,4112,4563,3974,3428,3272,3633,3954,5013,-,-,-,-,-,-,-
1,Market Cap Growth,-6.87%,-6.87%,-20.93%,-18.56%,21.35%,25.66%,25.60%,0.50%,-31.62%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3911,3388,3047,2622,3546,3376,3623,3020,2414,2247,2574,4092,5151,-,-,-,-,-,-,-
3,Last Close Price,48.41,42.55,40.09,35.14,45.17,44.65,49.55,42.37,36.55,34.89,38.74,41.43,52.53,-,-,-,-,-,-,-
4,PE Ratio,38.10,33.59,37.98,33.04,39.30,28.58,29.28,24.46,21.65,21.33,25.80,28.49,36.65,-,-,-,-,-,-,-
5,PS Ratio,5.35,4.72,5.05,4.85,6.20,6.26,6.71,5.59,4.79,4.52,4.91,5.39,6.78,-,-,-,-,-,-,-
6,PB Ratio,2.24,1.96,1.91,1.66,2.17,2.14,2.44,2.06,1.82,1.77,2.04,2.18,2.82,-,-,-,-,-,-,-
7,P/TBV Ratio,2.07,2.07,2.02,1.76,2.29,2.27,2.58,2.18,1.93,1.89,2.16,2.32,3.00,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-30.81,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,33.82,33.82,47.43,70.73,57.58,-,-,20.14,23.75,15.35,23.09,32.89,40.77,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.82,4.17,4.26,3.93,5.29,5.14,5.33,4.25,3.38,3.10,3.48,5.58,6.97,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,24.97,23.33,26.19,23.54,-,21.74,22.08,17.63,15.25,13.60,16.61,25.18,31.30,-,-,-,-,-,-,-
12,EV/EBIT Ratio,36.08,31.26,37.42,33.08,-,26.58,26.25,20.69,17.86,15.57,18.96,28.13,34.54,-,-,-,-,-,-,-
13,EV/FCF Ratio,-49.27,-,-,-,-,-,-,-,-,-,-21.82,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.17,0.17,0.20,0.14,0.13,0.12,0.12,0.04,0.03,0.00,0.04,0.04,0.07,0.52,-,0.29,0.29,0.28,0.28,0.28
15,Debt / EBITDA Ratio,2.14,0.96,3.74,1.71,32.74,1.01,2.64,0.38,0.43,0.03,0.64,0.42,0.70,0.98,-,0.63,0.52,0.33,0.67,0.67
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-0.64,-,-,-,-,-,-4.27,-,-,-
17,Asset Turnover,0.44,0.32,0.21,0.34,0.30,0.25,0.23,0.35,0.39,0.35,0.27,0.54,-,-,-,-,-,0.88,-,
18,Inventory Turnover,3.57,6.32,5.79,3.82,4.76,2.64,4.40,2.75,4.30,4.81,6.32,3.82,5.67,-,-,-,-,-,4.27,-
19,Quick Ratio,2.41,2.41,2.47,3.17,3.15,2.79,3.39,4.18,3.42,4.55,5.39,6.04,4.63,1.04,-,-,1.10,-,0.87,0.87
20,Current Ratio,2.73,2.73,2.78,3.53,3.43,3.31,3.69,4.54,3.71,5.00,5.70,6.57,4.94,1.41,-,-,1.37,-,1.17,1.17
21,Return on Equity (ROE),13.00%,4.23%,5.69%,0.48%,9.10%,4.69%,7.44%,8.63%,11.74%,6.53%,6.96%,13.33%,-,-,34.05%,72.63%,57.64%,32.43%,-,
22,Return on Assets (ROA),7.69%,1.29%,3.18%,-1.40%,5.31%,1.13%,4.73%,2.34%,7.38%,2.25%,4.00%,4.99%,-,-,-,-,-,12.68%,-,
23,Return on Capital (ROIC),8.59%,1.42%,3.57%,-1.60%,6.02%,1.29%,5.59%,2.77%,8.37%,2.48%,4.43%,5.94%,-,-,20.69%,29.63%,40.37%,18.72%,-,
24,Return on Capital Employed (ROCE),5.19%,5.19%,4.04%,3.80%,-,6.25%,7.03%,7.36%,7.03%,7.78%,7.56%,7.97%,8.31%,30.03%,-,-,38.05%,-,18.88%,9.44%
25,Earnings Yield,2.62%,2.98%,2.63%,3.03%,2.54%,3.50%,3.42%,4.09%,4.62%,4.69%,3.88%,3.51%,2.73%,-,-,-,-,-,-,-
26,FCF Yield,-1.82%,-2.07%,-4.66%,-7.86%,-6.46%,-7.72%,-4.40%,-2.37%,-4.40%,-2.42%,-3.25%,-3.83%,-2.30%,-,-,-,-,-,-,-
27,Dividend Yield,1.82%,-,-,-,1.99%,-,-,-,2.37%,-,-,-,1.27%,-,-,-,-,-,-,-
28,Payout Ratio,84.76%,3.78%,416.44%,6.24%,234.99%,1.38%,318.84%,0.89%,2.09%,2.33%,204.76%,1.74%,6.31%,2.14%,5.96%,71.75%,5.71%,37.93%,20.87%,20.87%
29,Buyback Yield / Dilution,0.22%,-0.32%,-1.93%,2.06%,1.02%,0.76%,1.73%,-2.35%,-7.92%,-34.77%,-33.78%,-32.90%,-22.95%,0.55%,-0.15%,0.30%,-,-,-,-
30,Total Shareholder Return,2.04%,-0.32%,-1.93%,2.06%,3.01%,0.76%,1.73%,-2.35%,-5.55%,-34.77%,-33.78%,-32.90%,-21.69%,0.55%,-0.15%,0.30%,-,-,-,-
