,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,285.14,187.81,129.58,193.13,188.02,140.05,133.52,178.34,207.6,173.73,138.49,189.63,233.5,156.18,144.99,214.72,223.31,100.83,100.83
1,Other Revenue,-7.59,7.59,-,15.9,-7.33,7.33,-,17.11,-4.24,4.24,-,15.25,-14.63,14.63,-,11.01,-7.4,3.7,3.7
2,Revenue,277.55,195.4,129.58,209.03,180.68,147.39,133.52,195.45,203.36,177.97,138.49,204.88,218.87,170.8,144.99,225.73,215.91,104.53,104.53
3,Revenue Growth (YoY),53.61%,32.57%,-2.95%,6.95%,-11.15%,-17.18%,-3.59%,-4.61%,-7.09%,4.20%,-4.49%,-9.23%,1.37%,63.41%,38.71%,-,-,-,-
4,Cost of Revenue,164.35,135.33,79.17,159.61,93.46,105.1,70.56,116.2,110.03,129.17,83.01,130,138.93,114.58,85.58,143.02,131.95,61.19,61.19
5,Gross Profit,113.2,60.07,50.4,49.42,87.22,42.29,62.97,79.24,93.33,48.8,55.48,74.88,79.95,56.22,59.42,82.71,83.97,43.33,43.33
6,"Selling, General & Admin",24.11,25.61,19.02,31,22.49,19.33,16.22,18.14,20.82,15.84,15.21,24.62,17.64,17.91,13.97,14.33,18.89,12.35,12.35
7,Research & Development,14.38,11.89,9.99,18.15,11.82,12.45,10.78,22.84,12,12.22,8.76,13.18,9.47,10.67,9.81,15.89,9.25,6.66,6.66
8,Other Operating Expenses,-4.31,3.95,-3.9,6.71,-0.19,0.43,-3.54,12.2,-5.76,-0.71,-0.07,7.24,-2.88,-0.12,-0.21,5.74,-1.4,0.21,0.21
9,Operating Expenses,35.06,47.32,19.04,63.3,36.03,31.7,18.79,58.17,31.14,30.28,22.07,44.62,26.43,27.96,22.33,37.02,31.85,19.17,19.17
10,Operating Income,78.13,12.75,31.36,-13.87,51.19,10.58,44.17,21.07,62.19,18.52,33.42,30.26,53.52,28.26,37.09,45.69,52.11,24.17,24.17
11,Interest Expense,-1.5,-1.37,-0.64,-1.03,-1.41,-0.67,-0.07,-0.84,-1.4,-0.87,-0.51,-1.2,-2.71,-1.94,-1.58,-,-2.76,-0.75,-0.75
12,Interest & Investment Income,9.3,2.83,1.66,4.9,4.55,13.46,1.98,14.34,3.8,6.92,3.29,1.27,0.09,0.04,0.03,0.91,-,0.05,0.05
13,Currency Exchange Gain (Loss),-0.89,0.89,-,-0.95,-0.15,0.15,-,5.31,-3.86,3.86,-,-1.57,0.56,-0.56,-,-2.43,-0.21,0.1,0.1
