,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,99.28,-,70.5,79.57,68.33,-,60.17,60.67,55.59,69.66,70.29,94.1,72.39,84.63,68.59,88.24,74.12,162.87,35.4
1,Other Revenue,-2.16,-,-,1.72,-0.78,-,-,0.13,-0.09,0.09,-,0.18,-0.06,0.06,-,0.07,-0.06,0.06,-
2,Revenue,97.12,-,70.5,81.29,67.55,-,60.17,60.8,55.5,69.76,70.29,94.29,72.32,84.69,68.59,88.31,74.06,162.93,35.4
3,Revenue Growth (YoY),43.78%,-,17.16%,33.69%,21.71%,-,-14.40%,-35.52%,-23.27%,-17.63%,2.49%,6.77%,-2.34%,-48.02%,93.74%,-,-,-,-
4,Cost of Revenue,77.22,-,52.92,57.99,47.76,-,46.83,45.1,42.02,54.36,55.87,71.99,56.03,61.49,49.02,64.16,46.59,87.39,24.37
5,Gross Profit,19.9,-,17.58,23.3,19.79,-,13.35,15.7,13.48,15.39,14.43,22.3,16.29,23.2,19.57,24.15,27.47,75.54,11.03
6,"Selling, General & Admin",11.71,-,13.37,14.03,11.99,-,8.42,11.93,9.15,10.59,8.48,13.69,7.88,7.29,6.34,8.07,7.79,17.02,5.38
7,Research & Development,3.78,-,3.61,6.78,3.5,-,2.96,6.06,3.38,3.63,2.94,4.12,4.16,4.23,2.93,4.57,3.48,6.18,2.92
8,Other Operating Expenses,-1.16,-,-1.32,1.16,-0.04,-,-0.05,1.6,-0.07,-1.62,-1.64,4.52,0.06,-3.38,0.16,5.15,-0.56,-1.36,-1.67
9,Operating Expenses,14.45,-,15.8,21.33,16.81,-,11.52,20.66,11.99,12.95,9.7,23.88,12.71,8.25,9.51,18.64,10.84,22.07,6.26
10,Operating Income,5.45,-,1.78,1.97,2.98,-,1.82,-4.96,1.49,2.44,4.73,-1.58,3.58,14.95,10.05,5.51,16.63,53.47,4.77
11,Interest Expense,-0.66,-,-0.31,-0.34,-0.2,-,-0.03,-0.31,-0.25,-0.11,-0.62,-0.11,-0.13,-,-0,-0.02,-0.03,-0.21,-0.33
12,Interest & Investment Income,0.6,-,1.11,1.29,1.52,-,1.98,1.56,1.66,2.27,3.72,4.27,1.76,1.97,0.27,1.34,0.65,1.02,0.59
13,Currency Exchange Gain (Loss),-2.16,-,-,1.99,-0.04,-,-,0.67,-0.52,0.52,-,-0.06,-0.07,0.07,-,-1.14,-0.1,0.1,-
14,Other Non Operating Income (Expenses),1.79,-,1.39,-3.79,0.16,-,-0.27,-1.47,0.61,-0.19,-0.18,-2.03,1.95,-0.09,-0.03,-7.77,4.16,3.12,0.12
15,EBT Excluding Unusual Items,5.01,-,3.98,1.13,4.43,-,3.5,-4.5,2.98,4.94,7.65,0.48,7.09,16.9,10.29,-2.09,21.32,57.5,5.15
16,Gain (Loss) on Sale of Investments,0.01,-,-0.02,0.17,0.31,-,0.85,0.16,1.1,0.85,0.38,0.52,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.1,-,-0.04,-0.02,-0.03,-,-0.01,-0,-,0.08,0.38,0.18,0.09,-,-,-,-,0.06,-
18,Asset Writedown,-1.84,-,-0.33,0.49,-3.02,-,-0.54,-0.18,-0.64,0,-0,-1.22,-0.24,-0.03,0.03,0.54,-1.25,0.29,-0.38
19,Legal Settlements,-,-,-,-,-,-,-,-0.02,-,-,-,-2.9,-,-,-,-,-,-,-
20,Other Unusual Items,-0.6,-,-0.05,1.2,-,-,-,-,-,-,-,4.87,-0,0,-,14.69,-0.14,0.14,-
21,Pretax Income,2.48,-,3.54,2.97,1.69,-,3.8,-4.54,3.43,5.87,8.42,1.93,6.94,16.87,10.32,13.14,19.93,57.98,4.76
22,Income Tax Expense,0.86,-,0.08,-0.25,0.36,-,0.63,-2.46,0.27,-0.19,1.42,0.85,0.67,1.9,1.37,1.43,2.84,8,1.02
23,Earnings From Continuing Operations,1.63,-,3.46,3.22,1.33,-,3.16,-2.08,3.16,6.06,7,1.09,6.28,14.97,8.95,11.72,17.08,49.99,3.74
24,Minority Interest in Earnings,-0,-,0,0.01,0,-,-0,0.17,0.08,0.1,0.25,0.41,0.23,0.39,0.02,-0.02,0.6,0.52,0.42
25,Net Income,1.62,-,3.46,3.23,1.33,-,3.16,-1.91,3.24,6.15,7.25,1.5,6.5,15.36,8.96,11.7,17.69,50.5,4.16
26,Net Income to Common,1.62,-,3.46,3.23,1.33,-,3.16,-1.91,3.24,6.15,7.25,1.5,6.5,15.36,8.96,11.7,17.69,50.5,4.16
27,Net Income Growth,21.86%,-,9.63%,-,-58.91%,-,-56.41%,-,-50.14%,-59.94%,-19.15%,-87.19%,-63.23%,-69.58%,115.44%,-,-,-,-
28,Shares Outstanding (Basic),84,84,84,84,84,84,84,84,84,84,84,86,83,69,63,64,63,66,59
29,Shares Outstanding (Diluted),84,84,84,84,84,84,84,84,84,84,84,86,83,69,63,64,63,66,59
30,Shares Change (YoY),0.26%,-0.40%,-0.21%,0.12%,-0.22%,0.03%,0.09%,-1.76%,1.89%,21.23%,33.35%,33.75%,30.83%,4.87%,6.20%,-,-,-,-
31,EPS (Basic),0.02,-,0.04,0.04,0.02,-,0.04,-0.02,0.04,0.07,0.09,0.02,0.08,0.22,0.14,0.18,0.28,0.76,0.07
32,EPS (Diluted),0.02,-,0.04,0.04,0.02,-,0.04,-0.02,0.04,0.07,0.09,0.02,0.08,0.22,0.14,0.18,0.28,0.76,0.07
33,EPS Growth,21.56%,-,9.87%,-,-58.82%,-,-56.45%,-,-51.06%,-66.96%,-39.37%,-90.42%,-71.89%,-70.99%,102.86%,-,-,-,-
34,Free Cash Flow,-7.24,-46.65,-24.45,-54.58,-25.31,-32.03,-25.79,-10.73,-24.26,20.33,-6.48,-5.73,9.41,-3.96,-13.38,-15.89,-51.01,17.7,4.71
35,Free Cash Flow Per Share,-0.09,-0.56,-0.29,-0.65,-0.30,-0.38,-0.31,-0.13,-0.29,0.24,-0.08,-0.07,0.11,-0.06,-0.21,-0.25,-0.81,0.27,0.08
36,Dividend Per Share,-,-,-,0.120,-,-,-,0.120,-,-,-,0.236,-,0.260,-,-,-,-,-
37,Dividend Growth,-,-,-,0%,-,-,-,-49.15%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,20.49%,-,24.94%,28.66%,29.30%,-,22.18%,25.82%,24.29%,22.07%,20.52%,23.65%,22.52%,27.39%,28.53%,27.35%,37.10%,46.37%,31.15%
39,Operating Margin,5.61%,-,2.52%,2.43%,4.42%,-,3.03%,-8.15%,2.68%,3.50%,6.73%,-1.68%,4.95%,17.65%,14.66%,6.23%,22.46%,32.82%,13.46%
40,Profit Margin,1.67%,-,4.91%,3.98%,1.97%,-,5.25%,-3.14%,5.84%,8.82%,10.31%,1.59%,8.99%,18.14%,13.07%,13.24%,23.88%,31.00%,11.75%
41,Free Cash Flow Margin,-7.46%,-,-34.68%,-67.15%,-37.47%,-,-42.87%,-17.65%,-43.72%,29.14%,-9.22%,-6.08%,13.01%,-4.68%,-19.51%,-18.00%,-68.87%,10.86%,13.31%
42,EBITDA,9.57,-,5.9,6.09,5.94,-,4.78,-2,4.27,5.34,7.51,1.2,5.9,17.85,12.38,7.83,18.26,55.48,6.73
43,EBITDA Margin,9.86%,-,8.37%,7.50%,8.79%,-,7.94%,-3.29%,7.69%,7.66%,10.68%,1.27%,8.16%,21.08%,18.04%,8.87%,24.66%,34.05%,19.01%
