,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1540,1361,1297,1541,1790,1873,1717,1802,1457,1460,1801,2006,2332,2463,2592,-,-,-,-,-
1,Market Cap Growth,-27.30%,-27.30%,-24.47%,-14.45%,22.88%,28.24%,-4.67%,-10.19%,-37.53%,-40.72%,-30.52%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1542,1363,1182,1392,1772,1695,1641,1630,1285,1276,1630,1693,2019,2136,2530,-,-,-,-,-
3,Last Close Price,18.45,16.31,15.42,18.19,21.11,22.08,20.25,21.12,17.07,17.11,21.11,23.24,27.01,28.53,29.80,-,-,-,-,-
4,PE Ratio,176.02,163.60,-,191.97,231.72,725.45,-,169.25,-,80.48,84.14,65.54,72.13,57.92,48.26,-,-,-,-,-
5,Forward PE,-,21.47,21.47,21.47,21.47,21.47,21.47,21.47,21.47,21.47,21.47,21.47,23.99,25.34,-,-,-,-,-,-
6,PS Ratio,4.62,5.47,-,7.03,8.56,9.93,-,7.32,5.68,5.04,5.87,6.24,7.29,7.85,8.21,-,-,-,-,-
7,PB Ratio,2.48,2.17,2.10,2.42,2.82,2.96,2.72,2.81,2.29,2.28,2.83,3.08,3.62,3.83,3.93,-,-,-,-,-
8,P/TBV Ratio,2.24,2.24,2.17,2.50,2.91,3.07,2.81,2.91,2.37,2.36,2.93,3.19,3.76,3.98,4.09,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,102.76,-,-,-103.39,-,-,-,-,-,-
10,P/OCF Ratio,-,-75.70,-,-,-,-182.38,-,-,-,-,29.57,45.20,-,79.60,-312.46,-,-,-,-,-
11,EV/Sales Ratio,4.59,5.48,-,6.34,8.48,8.99,-,6.62,5.01,4.40,5.31,5.27,6.31,6.80,8.01,-,-,-,-,-
12,EV/EBITDA Ratio,54.46,63.18,-,77.60,105.42,194.54,-,131.57,-,69.69,81.69,52.16,54.08,48.58,44.92,-,-,-,-,-
13,EV/EBIT Ratio,192.20,148.03,-,206.58,261.40,-11202.99,-,2045.16,-,180.38,177.76,78.13,-,62.67,53.67,-,-,-,-,-
14,EV/FCF Ratio,-11.60,-,-,-,-,-,-,-,-,-,92.99,-,-,-89.64,-,-,-,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.12,0.08,0.06,0.06,0.02,0.02,0.03,0.02,0.02,-,0.10,0.10,0.10,0.18,0.17,-,0.09,-
16,Debt / EBITDA Ratio,2.71,2.00,-,2.26,1.44,1.58,-,0.52,-,0.59,0.47,-,13.93,2.82,0.93,1.35,1.97,-,0.14,-
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,0.57,-,-,-2.80,-,-,-,-,1.40,-
18,Asset Turnover,0.48,-,0.35,0.41,0.36,-,0.32,0.32,0.30,0.37,0.36,0.48,0.37,0.53,0.55,-,-,1.56,-,
19,Inventory Turnover,4.28,5.38,-,2.96,3.34,3.23,-,4.45,4.11,3.76,4.37,4.25,5.64,4.34,4.86,4.02,-,-,8.50,-
20,Quick Ratio,1.90,1.90,1.68,2.43,2.19,2.37,3.59,2.04,2.53,2.66,2.40,3.14,3.53,7.03,8.38,4.03,3.24,-,2.26,2.70
