,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,55.64,53.32,113.32,82.41,42.18,38.62,33.73,55.13,51.51,50.3,111,103.52,212.79,361.26,92.66,141.7,-,168.43,111.15
1,Short-Term Investments,10.96,21.67,54.9,103.87,106.05,122.52,-,97.35,-,41.27,-,40,-,-,-,-,-,-,-
2,Trading Asset Securities,8.95,0.94,0.94,1.31,11.32,31.47,52.81,60.4,132.23,103.68,61.84,80.02,168.9,36,40,-,-,10,10.23
3,Cash & Short-Term Investments,75.55,75.92,169.17,187.59,159.56,192.61,86.54,212.88,183.73,195.25,172.84,223.53,381.69,397.26,132.66,141.7,-,178.43,121.38
4,Cash Growth,-52.65%,-60.58%,95.47%,-11.88%,-13.16%,-1.35%,-49.93%,-4.76%,-51.86%,-50.85%,30.29%,57.75%,-,122.64%,9.29%,-,-,-,-
5,Accounts Receivable,128.83,114.53,113.35,117.03,94.7,92,92.38,90.42,81.71,95.54,92.05,116.6,86.07,90.85,78.94,82.75,-,76.4,65.61
6,Other Receivables,3.14,0.62,0.94,0.49,5.52,5.48,10.88,2.88,4.06,4.38,2.87,2.26,4.56,1.58,0.63,0.59,-,0.85,0.59
7,Receivables,131.97,115.15,114.29,117.52,100.22,97.48,103.27,93.3,85.77,99.91,94.93,118.86,90.63,92.43,79.58,83.34,-,77.25,66.2
8,Inventory,51.74,63.12,72.88,70.14,68.81,49.51,41.46,42.7,45.07,44.36,55.25,49.93,52.23,51.08,50.22,47.38,-,43.88,38.41
9,Other Current Assets,13.33,14.48,13.47,12.93,46.64,13.66,64.26,5.09,23,16.64,56.67,14.18,10.49,11.06,11.1,11.96,-,5.47,8.26
10,Total Current Assets,272.59,268.68,369.81,388.18,375.22,353.26,295.54,353.97,337.57,356.16,379.69,406.5,535.03,551.84,273.56,284.39,-,305.02,234.25
11,"Property, Plant & Equipment",383.13,377.86,347.65,343.27,327.49,287.74,267.79,250.48,233.08,224.81,218.98,213.04,210.72,200.22,188.18,179.13,-,133.42,89.81
12,Long-Term Investments,1.05,82.54,0.89,0.31,0.38,0.38,0.39,0.39,0.43,150.18,0.44,0.44,0.45,0.45,0.21,0.21,-,0.22,0.24
13,Other Intangible Assets,19.23,19.37,19.51,19.65,19.89,20.19,20.51,20.85,21.02,21.37,21.7,22.05,22.4,22.76,23.11,23.46,-,21.7,21.34
14,Long-Term Deferred Tax Assets,3.05,3.09,3.83,3.91,3.13,2.52,2.95,3.92,1.74,1.82,1.22,1.28,1.45,1.37,1.37,1.43,-,0.67,0.54
15,Long-Term Deferred Charges,1.86,1.75,2.34,2.83,3.93,4.26,4.9,5.7,5.21,5.07,5.24,5.81,6.54,7.21,7.72,8.37,-,6.42,6.31
16,Other Long-Term Assets,127.66,40.3,58.25,49.12,40.93,60.29,144.23,125.3,142.99,1.25,109.67,159.17,0.81,1.42,0.24,0.18,-,14.04,3.98
17,Total Assets,808.57,793.59,802.28,807.28,770.96,728.64,736.31,760.61,742.05,760.65,736.94,808.29,777.4,785.27,494.38,497.15,-,481.5,356.47
18,Accounts Payable,80.41,73.34,84.19,95.67,85.33,68.23,70.73,84.73,75.47,95.73,71.37,74.21,51.01,37.77,30.37,40.25,-,48.02,57.73
19,Accrued Expenses,4.45,13.55,5.34,15.66,4.34,7.63,3.92,12.23,3.75,8.03,3.3,9.56,3.53,7.88,2.91,9.25,-,10.37,3.59
20,Short-Term Debt,9.7,19.02,9.82,10.34,10.73,-,10.01,16.44,10,10,-,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,5.82,0.02,2.78,0.49,1.13,0.04,3.19,-,3.25,1.09,2.89,0.69,3.91,2.04,3.03,2.05,-,7.32,0.54
22,Current Unearned Revenue,2.89,1.73,3.98,5.1,3.43,4,2.37,3.84,5.84,6.52,5.12,5.71,3.07,4.33,9.86,10.84,-,23.94,6.56
23,Other Current Liabilities,6,6.09,10.69,12.31,4.55,0.93,2.78,3.62,2.83,1.52,2.7,6.85,5.69,6.44,6.48,7.06,-,23.25,1.06
24,Total Current Liabilities,109.27,113.74,116.8,139.56,109.51,80.83,93,120.87,101.14,122.9,85.38,97.02,67.2,58.46,52.65,69.44,-,112.91,69.49
25,Long-Term Debt,67,57.53,43.5,26.52,26.9,13.9,-,-,-,-,-,66.7,66.7,66.7,66.7,61.62,-,31.3,-
26,Long-Term Unearned Revenue,3.87,3.91,3.94,3.99,1.03,-,-,1.15,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,1.48,1.56,1.92,2.02,1.97,2.06,1.95,2,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.29,-,0.31,-
28,Total Liabilities,181.62,176.74,166.16,172.09,139.4,96.79,94.95,124.02,101.38,123.14,85.63,163.98,134.17,125.44,119.64,131.36,-,144.52,69.49
29,Common Stock,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,63.12,63.12,-,63.12,63.12
30,Additional Paid-In Capital,378.25,381.08,381.08,381.08,381.08,381.08,381.08,381.08,382.7,382.7,382.7,382.7,383.09,383.09,134.02,134.02,-,134.02,134.02
31,Retained Earnings,163.94,162.31,171.84,168.63,165.4,165.61,175.21,170.45,172.36,169.11,182.82,175.57,174.07,189.45,174.09,165.12,-,135.74,85.24
32,Treasury Stock,-2.98,-10.09,-0.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,2.59,-1.45,-0.84,0.45,0.05,0.12,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-0,-0.02
34,Total Common Equity,625.96,616.01,635.26,634.33,630.69,630.97,640.46,635.7,639.23,635.99,649.7,642.45,641.33,656.71,371.24,362.27,-,332.87,282.36
35,Minority Interest,0.99,0.84,0.86,0.86,0.88,0.88,0.89,0.89,1.44,1.52,1.61,1.87,1.89,3.12,3.51,3.52,-,4.11,4.62
36,Shareholders' Equity,626.95,616.85,636.12,635.19,631.57,631.85,641.36,636.59,640.67,637.51,651.31,644.31,643.22,659.83,374.75,365.8,-,336.98,286.98
37,Total Liabilities & Equity,808.57,793.59,802.28,807.28,770.96,728.64,736.31,760.61,742.05,760.65,736.94,808.29,777.4,785.27,494.38,497.15,-,481.5,356.47
38,Total Debt,76.7,76.56,53.32,36.86,37.63,13.9,10.01,16.44,10,10,-,66.7,66.7,66.7,66.7,61.62,-,31.3,-
39,Net Cash (Debt),-1.15,-0.63,115.85,150.73,121.92,178.71,76.53,196.44,173.73,185.25,172.84,156.83,314.99,330.56,65.96,80.08,-,147.13,121.38
40,Net Cash Growth,-,-,51.36%,-23.27%,-29.82%,-3.53%,-55.72%,25.25%,-44.84%,-43.96%,162.03%,95.85%,-,124.68%,-45.66%,-,-,-,-
41,Net Cash Per Share,-0.01,-0.01,1.38,1.79,1.45,2.12,0.91,2.33,2.07,2.20,2.05,1.83,3.82,4.76,1.04,1.25,-,2.22,2.04
42,Filing Date Shares Outstanding,84.12,83.46,84.08,84.09,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,63.12,63.08,63.12,63.12
43,Total Common Shares Outstanding,84.12,83.46,84.08,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,63.12,63.12,63.08,63.12,63.12
44,Working Capital,163.31,154.93,253.01,248.61,265.71,272.42,202.54,233.11,236.44,233.27,294.31,309.49,467.83,493.38,220.91,214.94,-,192.11,164.77
45,Book Value Per Share,7.44,7.38,7.56,7.54,7.49,7.50,7.61,7.55,7.60,7.56,7.72,7.63,7.62,7.80,5.88,5.74,-,5.27,4.47
46,Tangible Book Value,606.73,596.64,615.75,614.68,610.8,610.78,619.95,614.85,618.21,614.62,628,620.4,618.93,633.96,348.13,338.81,-,311.17,261.02
47,Tangible Book Value Per Share,7.21,7.15,7.32,7.30,7.26,7.26,7.37,7.31,7.35,7.30,7.46,7.37,7.35,7.53,5.52,5.37,-,4.93,4.14
48,Buildings,-,240.14,-,-,-,123.64,-,-,-,40.15,-,40.15,-,40.15,-,40.15,-,40.15,-
49,Machinery,-,126.46,-,-,-,98.31,-,-,-,77.33,-,75.02,-,77.05,-,76.45,-,70.03,-
50,Construction In Progress,-,47.5,-,-,-,123.85,-,-,-,152.98,-,139.74,-,121.72,-,96.11,-,52.97,-
