,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,22.46,22.46,-,-,-,-
1,Other Revenue,-,-,9.72,-,-,7.61
2,Revenue,22.46,22.46,9.72,-,-,7.61
3,Revenue Growth (YoY),-,195.25%,-,-,-,-
4,Cost of Revenue,3.58,3.58,-,-,-,-
5,Gross Profit,18.88,18.88,9.72,-,-,7.61
6,"Selling, General & Admin",35.17,35.17,41.35,49.38,49.38,43.37
7,Research & Development,72.61,72.61,101.13,84.42,84.42,67.47
8,Other Operating Expenses,-0.83,-0.83,-,-1.8,-1.8,-
9,Operating Expenses,106.95,106.95,142.48,132,132,110.83
10,Operating Income,-88.07,-88.07,-132.77,-132,-132,-103.22
11,Interest Expense,-6.97,-6.97,-4.58,-3.95,-3.95,-4.71
12,Interest & Investment Income,1.76,1.76,0.83,1.41,1.41,1.63
13,Currency Exchange Gain (Loss),0.6,0.6,-0.36,-,-,-2.79
14,EBT Excluding Unusual Items,-92.68,-92.68,-136.87,-134.54,-134.54,-109.1
15,Gain (Loss) on Sale of Investments,1.09,1.09,1.1,1.7,1.7,2.69
16,Pretax Income,-91.59,-91.59,-135.77,-132.84,-132.84,-106.4
17,Income Tax Expense,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
18,Earnings From Continuing Operations,-91.57,-91.57,-135.76,-132.82,-132.82,-106.38
19,Minority Interest in Earnings,5.51,5.51,1.99,3.79,3.79,4.84
20,Net Income,-86.06,-86.06,-133.77,-129.03,-129.03,-101.54
21,Net Income to Common,-86.06,-86.06,-133.77,-129.03,-129.03,-101.54
22,Shares Outstanding (Basic),217,217,210,201,201,180
23,Shares Outstanding (Diluted),217,217,210,201,201,180
24,Shares Change (YoY),7.72%,20.38%,-,-,-,-
25,EPS (Basic),-0.40,-0.40,-0.64,-0.64,-0.64,-0.56
26,EPS (Diluted),-0.40,-0.40,-0.64,-0.64,-0.64,-0.56
27,Free Cash Flow,-33.96,-33.96,-50.01,-86.74,-86.74,-72.12
28,Free Cash Flow Per Share,-0.16,-0.16,-0.24,-0.43,-0.43,-0.40
29,Gross Margin,84.05%,84.05%,100.00%,-,-,100.00%
30,Operating Margin,-392.13%,-392.13%,-1366.46%,-,-,-1356.96%
31,Profit Margin,-383.17%,-383.17%,-1376.80%,-,-,-1334.85%
32,Free Cash Flow Margin,-151.19%,-151.19%,-514.74%,-,-,-948.05%
33,EBITDA,-80.43,-80.43,-125.1,-124.53,-124.53,-95.79
34,D&A For EBITDA,7.64,7.64,7.66,7.47,7.47,7.43
35,EBIT,-88.07,-88.07,-132.77,-132,-132,-103.22
