,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,468.44,468.44,216.3,-,-,213.09
1,Short-Term Investments,0.54,0.54,0.54,-,-,0.55
2,Trading Asset Securities,160.65,160.65,160.41,-,-,401.1
3,Cash & Short-Term Investments,629.63,629.63,377.26,-,614.73,614.73
4,Cash Growth,2.42%,2.42%,-,-,-,-
5,Other Receivables,1.53,1.53,10.57,-,-,4.04
6,Receivables,1.53,1.53,10.57,-,-,4.04
7,Inventory,10.83,10.83,3.77,-,-,-
8,Prepaid Expenses,40.68,40.68,23.03,-,-,16.23
9,Restricted Cash,21,21,-,-,-,-
10,Other Current Assets,8.96,8.96,3.7,-,-,0.94
11,Total Current Assets,712.62,712.62,418.33,-,-,635.95
12,"Property, Plant & Equipment",346.34,346.34,361.44,-,-,386.16
13,Other Intangible Assets,3.84,3.84,2.35,-,-,3.05
14,Other Long-Term Assets,11.92,11.92,13.47,-,-,9.94
15,Total Assets,1075,1075,795.58,-,-,1035
16,Accounts Payable,79.1,79.1,72.96,-,-,19.14
17,Accrued Expenses,25.98,25.98,31.45,-,-,24.64
18,Short-Term Debt,141.94,141.94,59.6,-,-,15.9
19,Current Portion of Long-Term Debt,45.27,45.27,60.1,-,-,44.61
20,Current Portion of Leases,1.07,1.07,1.29,-,-,1.75
21,Current Unearned Revenue,67.27,67.27,0.87,-,-,-
22,Other Current Liabilities,22.24,22.24,25.5,-,-,16.15
23,Total Current Liabilities,382.86,382.86,251.78,-,-,122.19
24,Long-Term Debt,311.44,311.44,224.43,-,-,232.52
25,Long-Term Leases,0.21,0.21,0.63,-,-,0.47
26,Long-Term Unearned Revenue,17.06,17.06,17.38,-,-,18.02
27,Long-Term Deferred Tax Liabilities,0.38,0.38,0.41,-,-,0.49
28,Total Liabilities,711.94,711.94,494.63,-,-,373.69
29,Common Stock,222.07,222.07,210.03,-,-,180.53
30,Additional Paid-In Capital,1012,1012,830.18,-,-,830.18
31,Retained Earnings,-1093,-1093,-921.36,-,-,-413.61
32,Comprehensive Income & Other,226.55,226.55,175.91,-,-,44.62
33,Total Common Equity,367.61,367.61,294.76,-,641.72,641.72
34,Minority Interest,-4.84,-4.84,6.19,-,-,19.7
35,Shareholders' Equity,362.78,362.78,300.95,-,661.41,661.41
36,Total Liabilities & Equity,1075,1075,795.58,-,-,1035
37,Total Debt,499.93,499.93,346.06,-,295.25,295.25
38,Net Cash (Debt),129.7,129.7,31.2,-,319.48,319.48
39,Net Cash Growth,-59.40%,-59.40%,-,-,-,-
40,Net Cash Per Share,0.60,0.60,0.15,-,1.59,1.77
41,Filing Date Shares Outstanding,222.07,222.07,222.07,201.24,201.24,180.53
42,Total Common Shares Outstanding,222.07,222.07,210.03,201.24,201.24,180.53
43,Working Capital,329.76,329.76,166.55,-,-,513.76
44,Book Value Per Share,1.66,1.66,1.40,-,3.55,3.55
45,Tangible Book Value,363.77,363.77,292.42,-,638.66,638.66
46,Tangible Book Value Per Share,1.64,1.64,1.39,-,3.54,3.54
47,Buildings,-,-,238.73,-,-,238.73
48,Machinery,-,-,188.24,-,-,178.24
49,Construction In Progress,-,-,0.21,-,-,4.96
