,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,2443,4064,4822,-,-,-,-
1,Enterprise Value,2298,4036,4739,-,-,-,-
2,Last Close Price,11.00,18.30,23.55,-,-,-,-
3,PS Ratio,36.62,69.23,138.27,-,-,-,-
4,PB Ratio,6.18,10.43,12.26,-,-,-,-
5,P/TBV Ratio,10.40,10.40,12.23,-,-,-,-
6,EV/Sales Ratio,35.85,68.76,135.88,-,-,-,-
7,Debt / Equity Ratio,1.38,1.38,1.38,1.15,-,0.45,0.45
8,Asset Turnover,0.08,0.10,-,-,-,-,
9,Inventory Turnover,-,1.32,1.96,-,-,-,-
10,Quick Ratio,1.65,1.65,1.65,1.54,-,-,5.06
11,Current Ratio,1.86,1.86,1.86,1.66,-,-,5.20
12,Return on Equity (ROE),-100.97%,-110.37%,-,-,-80.33%,-,
13,Return on Assets (ROA),-20.49%,-23.54%,-,-,-,-,
14,Return on Capital (ROIC),-25.52%,-29.17%,-,-,-34.49%,-,
15,Earnings Yield,-18.55%,-11.50%,-10.74%,-,-,-,-
16,FCF Yield,-8.93%,-5.41%,-5.79%,-,-,-,-
17,Buyback Yield / Dilution,-20.04%,-7.72%,-20.38%,-,-,-,-
18,Total Shareholder Return,-20.04%,-7.72%,-20.38%,-,-,-,-
