,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q4 2018,Q4 2014,Q4 2013,+3 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013",+3 Quarters
0,Cash & Equivalents,143694,143694,52274,9446,27424,27424,1463,14058,3617,3617,3301,6719,13276,13276,-,-,2659,315.86,1758,2924,Upgrade
1,Cash & Short-Term Investments,143694,143694,52274,9446,27424,27424,1463,14058,3617,3617,3301,6719,13276,13276,-,-,2659,315.86,1758,2924,Upgrade
2,Cash Growth,423.97%,423.97%,3472.29%,-32.81%,658.16%,658.16%,-55.68%,109.22%,-72.75%,-72.75%,-,-,399.25%,4103.17%,-,-,135.97%,-58.37%,-,-,Upgrade
3,Accounts Receivable,15878,15878,38991,77812,68459,68459,67333,58728,67909,67909,12116,20452,174986,174986,-,-,101262,19053,27208,10909,Upgrade
4,Other Receivables,1177,1177,2122,1844,2058,2058,9809,8932,8892,8892,5138,3750,1698,1698,-,-,5416,2677,2818,2237,Upgrade
5,Receivables,17055,17055,41113,79656,70517,70517,77142,67660,76802,76802,17254,24201,176684,176684,-,-,106678,21730,30026,13145,Upgrade
6,Inventory,87115,87115,162212,170116,145573,145573,216339,179289,169287,169287,290016,261781,105513,105513,-,-,109992,122125,43011,16424,Upgrade
7,Prepaid Expenses,5275,5275,2782,3414,4012,4012,4316,4672,1794,1794,8100,3791,1551,1551,-,-,2644,2349,6785,1771,Upgrade
8,Other Current Assets,32277,32277,23963,22895,17890,17890,6827,7701,9810,9810,8431,10276,7019,7019,-,-,9088,2552,4786,3159,Upgrade
9,Total Current Assets,285417,285417,282345,285526,265416,265416,306087,273380,261310,261310,327102,306768,304043,304043,-,-,231062,149071,86366,37423,Upgrade
10,"Property, Plant & Equipment",55534,55534,65849,62311,62399,62399,67179,70481,74450,74450,85836,85423,75512,75512,-,-,97022,109885,91120,69239,Upgrade
11,Long-Term Investments,28690,28690,28690,22257,22257,22257,20257,20257,20257,20257,15257,15257,15257,15257,-,-,18390,16498,17774,5690,Upgrade
12,Other Intangible Assets,-,-,-,-,-,-,-,19.88,39.75,39.75,322.24,349.35,119.25,119.25,-,-,593.34,562.18,906.86,1048,Upgrade
13,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,385.24,385.24,Upgrade
14,Other Long-Term Assets,58986,58986,22037,18418,17467,17467,29163,27191,28986,28986,8678,9159,58058,58058,-,-,14574,19342,12053,3133,Upgrade
15,Total Assets,428627,428627,398921,388512,367539,367539,422686,391329,385043,385043,437197,416957,452989,452989,-,-,361641,295358,208605,116918,Upgrade
16,Accounts Payable,93551,93551,33151,34735,30177,30177,37577,34119,28130,28130,46724,48694,42588,42588,-,-,20506,22618,12959,6045,Upgrade
17,Accrued Expenses,18730,18730,9518,16193,7801,7801,8298,7890,9358,9358,11827,9838,7679,7679,-,-,10839,6900,8982,3008,Upgrade
18,Short-Term Debt,16812,16812,120818,107187,122514,122514,127240,128677,126999,126999,193720,187733,187688,187688,-,-,151052,95934,38250,13610,Upgrade
19,Current Income Taxes Payable,12152,12152,6563,1561,3285,3285,7404,7643,4786,4786,8133,5869,15772,15772,-,-,9281,7861,2916,548.08,Upgrade
20,Other Current Liabilities,20021,20021,11666,13932,9536,9536,50458,23512,27839,27839,27693,17522,14300,14300,-,-,14781,17315,15212,32814,Upgrade
21,Total Current Liabilities,161266,161266,181716,173609,173312,173312,230977,201841,197113,197113,288097,269656,268027,268027,-,-,206459,150628,78320,56024,Upgrade
22,Long-Term Debt,30390,30390,30390,30390,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,-,-,-,2558,-,-,Upgrade
23,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,571.38,Upgrade
24,Total Liabilities,191656,191656,212106,203999,183312,183312,240977,211841,207113,207113,298097,279656,278027,278027,-,-,206459,153203,78338,56596,Upgrade
25,Common Stock,117377,117377,117377,117377,117377,117377,117377,117377,117377,117377,117377,117377,117377,117377,-,-,117377,117377,117377,60347,Upgrade
26,Additional Paid-In Capital,17053,17053,17053,17053,17053,17053,17053,17053,17053,17053,17053,17053,17053,17053,-,-,17053,17053,17053,17053,Upgrade
27,Retained Earnings,102541,102541,52385,50083,49797,49797,47279,45058,43500,43500,4670,2870,40532,40532,-,-,20752,7725,-4163,-17078,Upgrade
28,Total Common Equity,236971,236971,186815,184514,184227,184227,181709,179488,177930,177930,139100,137301,174962,174962,-,-,155182,142155,130268,60322,Upgrade
29,Shareholders' Equity,236971,236971,186815,184514,184227,184227,181709,179488,177930,177930,139100,137301,174962,174962,-,-,155182,142155,130268,60322,Upgrade
