,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q4 2018,Q4 2014,Q4 2013,+3 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013",+3 Quarters
0,Revenue,238640,202490,101453,61049,180546,138232,94159,69329,93238,93238,23096,30726,130733,130733,77259,38988,81562,16200,47390,752.8,Upgrade
1,Revenue Growth (YoY),32.18%,46.49%,7.75%,-11.94%,93.64%,48.26%,307.69%,125.63%,-28.68%,-28.68%,-70.11%,-21.19%,60.29%,706.98%,63.03%,5079.13%,11565.73%,-4.54%,213.62%,-,Upgrade
2,Cost of Revenue,191119,162110,93538,53954,172120,131304,85517,61404,90882,90882,15920,24261,107313,107313,85777,46884,72425,21110,31797,4208,Upgrade
3,Gross Profit,47521,40380,7915,7095,8426,6928,8642,7925,2356,2356,7176,6465,23419,23419,-8518,-7896,9136,-4909,15593,-3455,Upgrade
4,"Selling, General & Admin",5960,5242,4761,4169,4589,4172,4133,3168,3480,3480,3164,3444,2279,2279,3389,3147,3247,4136,3169,2717,Upgrade
5,Other Operating Expenses,-,-,-,-,-,-,-,945.48,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,5960,5242,4761,4169,4589,4172,4133,4114,3480,3480,3164,3444,2279,2279,3389,3147,3247,4136,3169,2717,Upgrade
7,Operating Income,41561,35138,3154,2926,3836,2756,4509,3812,-1124,-1124,4012,3021,21141,21141,-11908,-11043,5889,-9046,12424,-6172,Upgrade
8,Interest Expense,-1135,-1827,-2520,-2389,-2643,-2757,-3046,-2896,-3487,-3487,-3332,-3114,-3538,-3538,-3305,-3335,-3063,-2191,-684.3,-342.54,Upgrade
9,Interest & Investment Income,815.59,410.92,1109,1.45,876.5,1063,33.92,1.29,3308,3308,26.14,36.87,1205,1205,34.35,1.9,482.35,6.71,8.55,1025,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-36.69,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,Other Non Operating Income (Expenses),-3755,-3038,1134,1279,-107.74,196.21,723.96,677.06,1450,1450,1055,929.99,-1600,-1600,916.01,656.7,4156,643.35,-1078,-1172,Upgrade
12,Pretax Income,37488,30684,2877,1818,1963,1259,2221,1558,147.61,147.61,1761,873.58,17207,17207,-14263,-13720,7464,-10586,10670,-6661,Upgrade
13,Income Tax Expense,7498,5606,575.45,363.56,-,-,-,-,-,-,-,-,-,-,-,-,10.06,-,2347,-,Upgrade
14,Earnings From Continuing Operations,29990,25078,2302,1454,1963,1259,2221,1558,147.61,147.61,1761,873.58,17207,17207,-14263,-13720,7454,-10586,8323,-6661,Upgrade
15,Net Income,29990,25078,2302,1454,1963,1259,2221,1558,147.61,147.61,1761,873.58,17207,17207,-14263,-13720,7454,-10586,8323,-6661,Upgrade
16,Net Income to Common,29990,25078,2302,1454,1963,1259,2221,1558,147.61,147.61,1761,873.58,17207,17207,-14263,-13720,7454,-10586,8323,-6661,Upgrade
17,Net Income Growth,1428.07%,1891.98%,3.64%,-6.64%,1229.57%,752.86%,26.14%,78.31%,-99.14%,-99.14%,-,-,130.84%,-,-,-,-,-,-,-,Upgrade
18,Shares Outstanding (Basic),12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,Upgrade
19,Shares Outstanding (Diluted),12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,Upgrade
20,Shares Change (YoY),-0.12%,-0.18%,-0.06%,0.14%,0.09%,0.16%,0.11%,-0.79%,0.05%,0.05%,-0.01%,0.59%,-0.03%,-0.01%,0.00%,94.51%,104.62%,114.51%,114.66%,-,Upgrade
21,EPS (Basic),2555.00,2136.48,196.00,124.00,167.00,107.06,189.00,133.00,12.57,12.57,150.00,74.00,1466.30,1466.30,-1215.00,-1169.00,635.00,-902.00,709.00,-1104.00,Upgrade
22,EPS (Diluted),2555.00,2136.48,196.00,124.00,167.00,107.06,189.00,133.00,12.57,12.57,150.00,74.00,1466.30,1466.30,-1215.00,-1169.00,635.00,-902.00,709.00,-1104.00,Upgrade
23,EPS Growth,1429.94%,1895.66%,3.70%,-6.77%,1228.34%,751.54%,26.00%,79.73%,-99.14%,-99.14%,-,-,130.91%,-,-,-,-,-,-,-,Upgrade
