,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2020,Q1 2020,Q3 2019,Q2 2019,Q1 2019,Q3 2018,Q2 2018,Q1 2018,Q2 2017,Q1 2017
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Investments in Equity & Preferred Securities,150000,-,278440,-,268440,-,-,-,470000,-,-,-
1,Other Investments,4113000,-,2444000,-,2057500,-,-,-,-,-,-,-
2,Total Investments,4263000,-,2723714,-,2713773,-,-,-,1904537,-,-,-
3,Cash & Equivalents,329566,-,236511,-,34447,-,-,-,186450,-,-,-
4,Reinsurance Recoverable,2688761,-,1064507,-,855782,-,-,-,514818,-,-,-
5,Other Receivables,345171,-,261133,-,206486,-,-,-,201225,-,-,-
6,"Property, Plant & Equipment",469443,-,420051,-,416983,-,-,-,375344,-,-,-
7,Other Intangible Assets,54761,-,-,-,-,-,-,-,-,-,-,-
8,Other Current Assets,1654151,-,437622,-,340516,-,-,-,247276,-,-,-
9,Other Long-Term Assets,30094,-,61658,-,65693,-,-,-,65589,-,-,-
10,Total Assets,9834946,-,5205197,-,4633680,-,-,-,3495240,-,-,-
11,Accounts Payable,1428,-,968.81,-,2182,-,-,-,5259,-,-,-
12,Accrued Expenses,160357,-,104999,-,51361,-,-,-,20305,-,-,-
13,Insurance & Annuity Liabilities,444722,-,2716692,-,314452,-,-,-,284749,-,-,-
14,Unpaid Claims,-,-,-,-,708205,-,-,-,542346,-,-,-
15,Unearned Premiums,4272978,-,-,-,1118317,-,-,-,911191,-,-,-
16,Short-Term Debt,-,-,-,-,64710,-,-,-,-,-,-,-
17,Current Income Taxes Payable,63752,-,41979,-,29797,-,-,-,32386,-,-,-
18,Long-Term Debt,-,-,-,-,-,-,-,-,4000,-,-,-
19,Long-Term Deferred Tax Liabilities,68.34,-,-,-,-,-,-,-,-,-,-,-
20,Other Current Liabilities,2382389,-,715401,-,754487,-,-,-,393172,-,-,-
21,Other Long-Term Liabilities,27974,-,29307,-,27750,-,-,-,276811,-,-,-
22,Total Liabilities,7704696,-,3783540,-,3180304,-,-,-,2535446,-,-,-
23,Common Stock,1726725,-,1300000,-,13000000,-,-,-,800000,-,-,-
24,Retained Earnings,403525,-,121657,-,153375,-,-,-,154450,-,-,-
25,Comprehensive Income & Other,-,-,-,-,-11700000,-,-,-,-,-,-,-
26,Total Common Equity,2130250,-,1421657,-,1453375,-,-,954450,954450,-,-,-
27,Minority Interest,-,-,-,-,-,-,-,-,5344,-,-,-
28,Shareholders' Equity,2130250,-,1421657,-,1453375,-,-,959794,959794,-,-,-
29,Total Liabilities & Equity,9834946,-,5205197,-,4633680,-,-,-,3495240,-,-,-
30,Filing Date Shares Outstanding,-,-,-,-,-,-,-,-,110.02,110.56,-,-
31,Total Common Shares Outstanding,-,-,-,-,-,-,-,-,110.02,110.56,-,-
32,Total Debt,-,-,-,-,64710,-,-,4000,4000,-,-,-
33,Net Cash (Debt),329566,-,236511,-,-30263,-,-,182450,182450,-,-,-
34,Net Cash Per Share,-,-,-,-,-,-,-,-,1658.35,-,-,-
35,Book Value Per Share,-,-,-,-,-,-,-,8675.32,8675.32,-,-,-
36,Tangible Book Value,2075490,-,1421657,-,1453375,-,-,954450,954450,-,-,-
37,Tangible Book Value Per Share,-,-,-,-,-,-,-,8675.32,8675.32,-,-,-
38,Construction In Progress,385512,-,344107,-,346963,-,-,-,295758,-,-,-
