,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q2 2020,Q1 2020,Q3 2019,Q2 2019,Q1 2019,Q3 2018,Q2 2018,Q1 2018,Q2 2017,Q1 2017
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Market Capitalization,3475034,3021769,3263510,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,3145468,2785257,3026999,-,-,-,-,-,-,-,-,-,-
2,PE Ratio,13.51,10.74,14.29,-,-,-,-,-,-,-,-,-,-
3,PS Ratio,0.81,0.90,1.22,-,-,-,-,-,-,-,-,-,-
4,PB Ratio,1.42,1.42,-,-,-,-,-,-,-,-,-,-,-
5,EV/Sales Ratio,0.79,0.83,1.13,-,-,-,-,-,-,-,-,-,-
6,EV/EBIT Ratio,9.85,7.94,10.66,-,-,-,-,-,-,-,-,-,-
7,Debt / Equity Ratio,-,-,-,-,-,0.04,-,-,0.00,0.00,-,-,-
8,Quick Ratio,0.62,0.65,-,0.79,-,0.86,-,-,-,0.81,-,-,-
9,Current Ratio,1.25,1.25,-,1.19,-,1.24,-,-,-,1.15,-,-,-
10,Return on Equity (ROE),-,-,-,-,-,-,-,2.19%,-,-,-,-,
11,Return on Capital (ROIC),-,-,-,-,-,-,-,1.89%,-,-,-,-,
12,Return on Capital Employed (ROCE),3.25%,3.57%,-,4.47%,-,3.97%,-,-,-,7.90%,-,-,-
13,Earnings Yield,6.86%,9.31%,7.00%,-,-,-,-,-,-,-,-,-,-
14,Earnings Yield,6.86%,9.31%,7.00%,-,-,-,-,-,-,-,-,-,-
15,Payout Ratio,71.83%,-,-,38.38%,48.90%,-,87.57%,116.41%,-,-,-,-,-
