,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,794647,758074,854495,897727,956309,937310,1003808,1317300,937310,911977,1111472,949976,1494629,1105139,937310,725148,861312,772647,607985,626984,449655,Upgrade
1,Market Cap Growth,-14.87%,-19.12%,-14.87%,-31.85%,2.03%,2.78%,-9.69%,38.67%,-37.29%,-17.48%,18.58%,31.00%,73.53%,43.03%,54.17%,15.66%,91.55%,-4.69%,-13.12%,-20.48%,-47.41%,Upgrade
2,Enterprise Value,618664,562269,667901,692267,742481,757387,787958,1071272,720092,701764,911928,806809,1372477,962907,759878,543142,681938,641926,440779,474645,284093,Upgrade
3,Last Close Price,11950.00,11400.00,12850.00,13500.00,13920.02,13643.47,14611.42,19174.60,13287.24,12928.13,15756.15,13466.80,21187.76,15666.38,13287.24,10279.66,11711.53,10505.94,8266.97,7724.81,5540.01,Upgrade
4,PE Ratio,21.08,-,-,18.45,16.92,-,14.36,17.41,14.11,-,37.24,-154.86,-42.32,-,-,-,35.93,-,22.67,19.00,5.77,Upgrade
5,Forward PE,-,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,Upgrade
6,PS Ratio,2.07,1.99,2.22,2.28,2.39,2.29,2.37,2.94,2.11,2.23,3.22,4.06,8.66,6.61,4.32,2.43,2.92,2.54,1.90,1.84,1.05,Upgrade
7,PB Ratio,0.89,0.86,0.95,1.00,1.06,1.06,1.13,1.50,1.07,1.08,1.31,1.13,1.84,1.38,1.14,0.86,0.98,0.89,0.70,0.68,0.49,Upgrade
8,P/TBV Ratio,0.96,0.86,0.96,1.01,1.07,1.07,1.14,1.51,1.08,1.09,1.32,1.15,1.86,1.39,1.15,0.87,0.99,0.90,0.70,0.69,0.49,Upgrade
