,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,24822,25225,27985,28870,33639,38150,31812,28354,24168,27905,Upgrade
1,Short-Term Investments,2272,2625,724.1,2062,793.49,1084,711.81,775.14,976.55,939.1,Upgrade
2,Cash & Short-Term Investments,27093,27850,28709,30933,34432,39233,32524,29129,25145,28844,Upgrade
3,Cash Growth,-5.63%,-9.96%,-16.62%,-21.16%,5.87%,34.69%,29.35%,0.99%,-5.09%,10.60%,Upgrade
4,Accounts Receivable,10775,6334,1103,5783,5336,4693,5805,4745,4605,4186,Upgrade
5,Other Receivables,-,5966,8873,6617,4677,4071,6344,6351,4771,5135,Upgrade
6,Receivables,12947,12300,12493,12400,11014,9454,13129,13590,11062,10594,Upgrade
7,Inventory,31953,33908,36533,40667,50802,53441,64508,59557,53722,56706,Upgrade
8,Prepaid Expenses,868.01,685.34,1138,932.58,1118,1014,1054,577.24,761.1,612.44,Upgrade
9,Other Current Assets,191.16,423.55,476.65,8655,1529,4510,1667,2098,948.53,1518,Upgrade
10,Total Current Assets,73052,75167,79349,93587,98895,107653,112882,104952,91639,98275,Upgrade
11,"Property, Plant & Equipment",7185,7573,6832,6130,6138,6464,6445,6299,6116,6025,Upgrade
12,Long-Term Investments,20255,20594,19147,19431,14364,14794,14319,13107,11729,10365,Upgrade
13,Goodwill,522.97,533.78,524.85,547.2,565.69,590.59,844.16,810.83,732.35,771.09,Upgrade
14,Other Intangible Assets,13686,14289,13451,13633,14019,15203,14881,15106,14453,15109,Upgrade
15,Long-Term Accounts Receivable,23982,24789,25029,25975,25238,25926,24405,23160,20068,19456,Upgrade
16,Long-Term Deferred Tax Assets,172.86,197.8,172.52,155.18,127.91,136.39,334.47,396.04,410.24,502.83,Upgrade
17,Other Long-Term Assets,36031,36167,33832,34476,35917,36945,36648,31052,25307,24429,Upgrade
18,Total Assets,174887,179312,178339,193934,195263,207711,210759,194882,170465,174942,Upgrade
19,Accounts Payable,5223,6004,5601,6580,5684,7419,6292,9074,5183,7626,Upgrade
20,Accrued Expenses,120.16,-,119.57,-,135.62,138.05,1.47,1.45,1.34,1.36,Upgrade
21,Short-Term Debt,-,-,-,-,580.03,570.8,559.45,552.72,-,223.71,Upgrade
22,Current Portion of Long-Term Debt,13578,14547,16251,17903,21389,23638,16400,13755,16248,19444,Upgrade
23,Current Portion of Leases,48.25,53.86,63.31,85.72,90.72,100.58,117.33,113.24,99.87,100.76,Upgrade
24,Current Income Taxes Payable,2879,4829,3191,3589,3887,6642,3564,3410,3469,4335,Upgrade
25,Current Unearned Revenue,8927,8938,16052,16015,16858,21065,25741,21696,13827,14803,Upgrade
26,Other Current Liabilities,11152,13054,11321,21222,12134,14058,14059,12074,12378,11827,Upgrade
27,Total Current Liabilities,41929,47425,52599,65396,60757,73631,66734,60677,51206,58362,Upgrade
28,Long-Term Debt,46583,44117,41254,40828,44684,40620,46288,43187,37545,34984,Upgrade
29,Long-Term Leases,249.41,111.4,93.66,125.04,132.95,148.67,307.51,317.84,339.98,262.03,Upgrade
