,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,12829,12677,10535,12351,10492,12329,12351,12459,11524,12960,16308,Upgrade
1,Market Cap Growth,2.64%,2.64%,0.41%,0.18%,-15.05%,-1.05%,7.17%,-3.86%,-29.33%,-29.63%,-5.30%,Upgrade
2,Enterprise Value,76297,74512,69119,72315,75338,72091,82824,79645,73822,71696,76399,Upgrade
3,Last Close Price,11.80,11.21,8.92,10.03,8.13,9.17,8.78,8.50,7.53,8.19,9.88,Upgrade
4,PE Ratio,3.95,3.90,3.08,4.78,4.53,4.54,3.31,3.54,5.26,6.09,4.87,Upgrade
5,Forward PE,3.99,3.61,3.76,3.74,3.00,3.35,3.50,3.99,3.65,4.50,4.66,Upgrade
6,PS Ratio,0.42,0.42,0.32,0.43,0.33,0.33,0.32,0.41,0.42,0.45,0.50,Upgrade
7,PB Ratio,0.28,0.17,0.14,0.17,0.14,0.16,0.15,0.15,0.14,0.18,0.22,Upgrade
8,P/TBV Ratio,0.40,0.40,0.33,0.40,0.33,0.39,0.39,0.41,0.42,0.53,0.67,Upgrade
9,P/FCF Ratio,41.41,-,3.47,1.21,-731.73,-,1.40,-,1.73,-,3.74,Upgrade
10,P/OCF Ratio,7.42,-,2.42,1.19,19.94,-,1.29,1.11,1.65,-,3.34,Upgrade
11,PEG Ratio,0.50,0.45,0.47,0.47,0.37,0.42,0.48,0.50,0.46,0.56,0.58,Upgrade
12,EV/Sales Ratio,2.52,2.46,2.11,2.50,2.40,1.91,2.14,2.63,2.72,2.48,2.36,Upgrade
13,EV/EBITDA Ratio,6.49,6.87,6.02,9.32,10.02,6.04,5.79,8.42,9.25,7.71,7.16,Upgrade
14,EV/EBIT Ratio,7.63,8.12,7.01,11.76,12.39,6.88,6.53,10.11,11.45,9.37,8.51,Upgrade
15,EV/FCF Ratio,246.29,-,22.79,7.09,-5254.43,-,9.36,-,11.08,-,17.52,Upgrade
16,Debt / Equity Ratio,0.79,0.79,0.76,0.78,0.77,0.85,0.80,0.75,0.71,0.74,0.76,Upgrade
17,Debt / FCF Ratio,195.16,-,19.40,5.65,-4110.88,-,7.35,-,8.70,-,12.62,Upgrade
18,Return on Capital Employed (ROCE),6.90%,6.90%,7.48%,4.89%,4.73%,7.79%,9.46%,5.47%,4.80%,6.42%,7.70%,Upgrade
19,Earnings Yield,25.32%,25.63%,32.50%,20.94%,22.06%,22.05%,30.33%,28.47%,19.25%,16.53%,20.54%,Upgrade
20,FCF Yield,2.41%,2.44%,28.78%,82.59%,-0.14%,29.41%,71.65%,41.60%,57.80%,43.04%,26.73%,Upgrade
21,Dividend Yield,7.97%,8.38%,10.54%,9.17%,11.32%,10.47%,11.62%,11.76%,9.82%,2.69%,-,Upgrade
22,Total Shareholder Return,7.97%,8.38%,10.54%,9.17%,11.32%,10.47%,11.62%,11.76%,9.82%,2.69%,-,Upgrade
