,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1072,2336,2336,2336,1520,416,376,608,864,-,-
1,Market Cap Growth,0%,0%,53.68%,461.54%,304.26%,-31.58%,-56.48%,-,-,-,-
2,Enterprise Value,947,2069,2069,2069,1253,119,74,376,898,-,-
3,Last Close Price,1.34,2.92,2.92,2.92,1.90,0.52,0.47,0.76,1.08,-,-
4,PE Ratio,-,-,-,-,-,-,-,16.55,354.37,-,-
5,PS Ratio,11.75,26.58,38.66,56.35,48.58,2.42,0.87,1.15,2.18,-,-
6,PB Ratio,6.32,16.77,15.31,11.58,6.25,1.45,1.24,1.52,2.18,-,-
7,P/TBV Ratio,17.47,17.47,16.03,12.29,6.65,1.45,1.24,1.52,2.18,-,-
8,P/FCF Ratio,26.01,-,211.41,-,-,-,-,4.02,13.35,-,-
9,P/OCF Ratio,55.99,-,198.80,-,-,-,-,2.78,7.15,-,-
10,EV/Sales Ratio,10.77,23.54,34.24,49.91,40.05,0.69,0.17,0.71,2.27,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,3.41,18.39,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,6.20,85.92,-,-
13,EV/FCF Ratio,22.97,-,187.25,-,-,-,-,2.48,13.88,-,-
14,Debt / Equity Ratio,0.17,0.17,0.19,0.15,0.05,0.03,0.09,0.65,0.70,3.32,2.78
15,Debt / FCF Ratio,0.58,-,2.57,-,-,-,-,1.71,4.29,550.54,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,9.91%,1.66%,-,21.71%
17,Earnings Yield,-3.90%,-1.79%,-2.36%,-2.35%,-2.27%,-21.38%,-18.42%,6.04%,0.28%,-,-
18,FCF Yield,3.84%,1.76%,0.47%,-2.30%,-6.51%,-71.09%,-28.35%,24.89%,7.49%,-,-
19,Buyback Yield / Dilution,-,-,-,-0.06%,0.49%,1.99%,-29.07%,-35.68%,-5.56%,-,
20,Total Shareholder Return,-,-,-,-0.06%,0.49%,1.99%,-29.07%,-35.68%,-5.56%,-,
