,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,171.81,124.14,129.01,135.63,123.69,102.34,106.22,103.69,137.25,236.15,503.24,1017,307.74,350.24,661.18,491.83,212.11,156.22,243.79,243.79
1,Other Revenue,-,-2.52,2.52,-,6.18,-2.18,2.18,-,7.23,-3.41,3.41,-,7.09,-4.78,4.78,-,9.47,-5.88,2.94,2.94
2,Revenue,171.81,121.62,131.53,135.63,129.87,100.16,108.39,103.69,144.48,232.74,506.65,1017,314.83,345.46,665.95,491.83,221.58,150.34,246.73,246.73
3,Revenue Growth (YoY),32.29%,21.42%,21.35%,30.81%,-10.11%,-56.96%,-78.61%,-89.81%,-54.11%,-32.63%,-23.92%,106.83%,42.08%,129.79%,169.92%,99.34%,-,-,-,-
4,Cost of Revenue,-200.98,58.23,67.93,74.82,88.22,48.58,73.6,59.2,217.43,95.69,228.09,399,141.28,139.67,237.14,187.38,107.2,43.86,45.76,45.76
5,Gross Profit,372.79,63.39,63.6,60.8,41.66,51.58,34.79,44.49,-72.95,137.05,278.56,618.26,173.55,205.79,428.82,304.45,114.38,106.48,200.97,200.97
6,"Selling, General & Admin",-65.94,22.57,25.88,17.49,25.25,19.57,17.89,16.5,25.17,18.13,23.17,19.63,23.5,16.97,16.14,13.02,-0.2,15.68,13.44,13.44
7,Research & Development,-43.94,13.58,15.71,14.65,36.73,15.16,18.71,9.88,14.93,23.97,49.72,19.59,23.45,11.38,14.89,12.22,14.93,8.01,9.19,9.19
8,Other Operating Expenses,352.51,1.44,3.46,1.35,1.34,-0.47,1.48,0.6,17.59,-0.02,0.05,1.87,3.34,1.44,7.54,4.53,3.24,2.88,1.79,1.79
9,Operating Expenses,241.25,38.47,45.79,33.25,64.05,35.16,39.51,27.6,56.35,41.46,69.74,40.65,51.55,31.81,35.62,32.63,21.12,25.72,24.88,24.88
