,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3887,3452,3128,2621,2738,3229,3079,3036,4569,4928,5029,6577,9410,7456,6106,-,-,-,-,-,-
1,Market Cap Growth,6.92%,6.92%,1.59%,-13.65%,-40.06%,-34.48%,-38.77%,-53.84%,-51.45%,-33.91%,-17.63%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2280,1845,1468,863,880,1370,1277,1046,2414,2774,2864,4200,7690,5736,5854,-,-,-,-,-,-
3,Last Close Price,37.19,32.52,29.46,24.68,24.62,28.91,27.57,27.18,38.08,41.07,41.92,54.82,75.20,59.58,48.79,-,-,-,-,-,-
4,PE Ratio,22.14,19.54,30.00,22.37,20.38,30.29,-156.92,33.63,15.59,-,5.03,6.51,8.61,8.94,7.65,-,-,-,-,-,-
5,PS Ratio,6.98,6.16,6.03,5.27,5.78,7.30,6.74,5.15,4.63,2.59,2.43,3.01,4.02,4.10,3.54,-,-,-,-,-,-
6,PB Ratio,1.64,1.45,1.32,1.11,1.13,1.33,1.27,1.27,1.77,1.92,1.88,2.60,3.62,3.54,3.07,-,-,-,-,-,-
7,P/TBV Ratio,1.59,1.59,1.44,1.22,1.24,1.46,1.39,1.39,1.94,2.10,2.04,2.83,3.65,3.57,3.10,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,159.46,-,43.08,-35.41,-,-,-,-,9.18,8.64,10.53,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,15.34,10.79,13.17,24.58,-64.58,-21.66,-,-,-,6.61,7.21,8.21,6.88,-,-,-,-,-,-
10,EV/Sales Ratio,4.07,3.29,2.83,1.74,1.86,3.10,2.80,1.77,2.44,1.46,1.38,1.92,3.28,3.16,3.39,-,-,-,-,-,-
11,EV/EBITDA Ratio,10.10,8.12,20.07,13.56,22.13,-,-15.99,-292.58,11.58,-,2.82,3.85,6.04,5.93,6.24,-,-,-,-,-,-
12,EV/EBIT Ratio,11.29,9.14,30.66,21.91,52.18,-,-12.68,-,12.57,-,2.85,3.88,6.07,5.97,6.28,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,52.49,-,18.28,-14.68,-,-,-,-,5.87,7.06,8.10,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-,0.03,0.03,-,0.01,0.01
15,Debt / EBITDA Ratio,0.00,0.00,0.01,0.02,0.02,-,0.04,0.35,0.08,-,0.02,0.01,0.00,0.02,0.03,-,0.01,0.03,-,0.01,0.01
16,Debt / FCF Ratio,-,-,-,0.10,-,0.04,-0.04,-,-,-,-,0.01,0.01,0.02,-,-,0.02,0.03,-,0.01,0.03
17,Asset Turnover,-,0.19,0.21,0.21,0.20,0.16,0.16,0.15,0.20,0.31,0.66,1.45,0.53,-,-,-,-,-,1.70,-,
18,Inventory Turnover,-,-,2.97,3.36,3.31,3.32,1.68,2.28,1.72,5.13,2.02,4.80,9.20,4.62,-,-,-,-,-,2.23,-
19,Quick Ratio,-,-,12.09,12.62,12.97,13.26,16.01,15.24,14.07,12.16,7.45,5.24,4.40,5.93,5.89,-,-,1.93,-,1.99,1.99
20,Current Ratio,-,-,13.08,13.21,13.60,13.97,17.09,16.44,15.20,13.07,8.16,5.70,4.79,6.40,6.24,-,-,2.46,-,2.49,2.49
21,Return on Equity (ROE),15.14%,2.73%,5.16%,6.53%,2.52%,4.83%,7.96%,1.79%,-17.09%,21.51%,39.22%,83.84%,22.65%,-,-,210.14%,-,-,151.43%,-,
22,Return on Assets (ROA),-,2.47%,1.75%,2.67%,-2.18%,1.62%,-0.45%,1.54%,-11.27%,8.02%,16.96%,51.45%,12.85%,-,-,-,-,-,75.85%,-,
23,Return on Capital (ROIC),13.82%,2.62%,1.86%,2.84%,-2.31%,1.70%,-0.47%,1.64%,-12.31%,9.15%,20.28%,61.07%,14.76%,-,-,149.65%,-,-,108.87%,-,
24,Return on Capital Employed (ROCE),-,-,2.00%,1.66%,0.69%,-,-4.14%,-,7.43%,-,37.40%,42.54%,48.59%,45.46%,46.65%,-,-,118.69%,-,87.95%,43.98%
25,Earnings Yield,4.55%,5.12%,3.33%,4.47%,4.91%,3.30%,-0.64%,2.97%,6.41%,15.70%,19.87%,15.35%,11.61%,11.18%,13.07%,-,-,-,-,-,-
26,FCF Yield,-,-2.28%,0.63%,-0.27%,2.32%,-2.82%,-6.32%,-3.61%,10.64%,13.74%,10.89%,11.58%,9.49%,11.86%,-,-,-,-,-,-,
27,Dividend Yield,2.77%,-,-,5.27%,-,2.77%,-,-,-,5.36%,-,-,-,5.04%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,251.77%,-,-,29.06%,454.64%,-,-,9.10%,121.72%,0.00%,0.06%,0.09%,0.04%,8.82%,0.11%,185.42%,0.23%,0.23%
29,Buyback Yield / Dilution,1.35%,1.24%,1.12%,-0.64%,3.59%,-0.46%,-0.12%,2.44%,-1.47%,-0.01%,-33.43%,-33.80%,-33.06%,-33.60%,0.19%,0.18%,-0.15%,-,-,-,-
30,Total Shareholder Return,4.12%,1.24%,1.12%,4.63%,3.59%,2.30%,-0.12%,2.44%,-1.47%,5.35%,-33.43%,-33.80%,-33.06%,-28.57%,0.19%,0.18%,-0.15%,-,-,-,-
