,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,1610,1566,1766,1907,1866,1813,1895,1940,1785,1717,2018,1368,1659,-,-,261.17,-,244.98,244.98
1,Short-Term Investments,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,1,100,-,-,-,-,102.29,100.06,377.44,455.93,367.53,360.84,80,-,-,-,-,50.1,50.1
3,Cash & Short-Term Investments,1611,1611,1666,1766,1917,1866,1813,1998,2040,2162,2173,2385,1729,1739,-,261.17,261.17,-,295.07,295.07
4,Cash Growth,-15.98%,-13.65%,-8.12%,-11.61%,-6.01%,-13.71%,-16.57%,-16.25%,18.02%,24.36%,-,813.37%,561.86%,-,-,-11.49%,-,-,-,-
5,Accounts Receivable,-,83.19,68.53,60.57,61.89,68.24,54.1,52.55,38.82,67.21,79,139.18,146.91,122.11,-,-,96.26,-,56.56,56.56
6,Other Receivables,-,1.48,44.34,3.39,2.8,5.09,3.98,1.78,1.6,16.35,4.16,8.22,8.32,7.39,-,-,10.34,-,6.38,6.38
7,Receivables,-,84.67,112.87,63.96,64.68,73.33,58.08,54.33,40.42,83.56,83.16,147.4,155.23,129.5,-,-,106.6,-,62.95,62.95
8,Inventory,-,76.26,80.46,81.51,99.32,112.98,118.4,139.98,135.2,203.98,174.58,205.28,141.7,102.83,-,-,92.39,-,82.09,82.09
9,Other Current Assets,-,62.89,3.16,7.82,5.37,17.59,28.17,24.56,19.6,12.41,20.39,18.7,7.2,8.49,-,-,7.82,-,7.56,7.56
10,Total Current Assets,-,1835,1862,1919,2087,2070,2017,2217,2235,2462,2451,2757,2033,1980,-,-,467.99,-,447.67,447.67
