,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,221.91,231.38,230.74,129.88,193.81,159.65,139.18,69.08,150.97,137.7,122.42,97.55,93.2,104.7,86.29,70.35,104.51,104.51,59.39,59.39
1,Other Revenue,-,-4.85,4.85,-,-,-,-,-,-,-0.95,0.95,-,-,-0.19,0.19,-,2.14,2.14,2.11,2.11
2,Revenue,221.91,226.53,235.59,129.88,193.81,159.65,139.18,69.08,150.97,136.75,123.37,97.55,93.2,104.5,86.48,70.35,106.65,106.65,61.5,61.5
3,Revenue Growth (YoY),14.50%,41.89%,69.28%,88.03%,28.37%,16.75%,12.81%,-29.19%,61.99%,30.86%,42.65%,38.67%,-12.62%,-2.02%,40.62%,14.39%,-,-,-,-
4,Cost of Revenue,-352.18,124.73,150.03,77.42,116.81,92.55,98.31,48.37,92.98,72.43,79.55,62.75,68.2,52.93,57.69,41.27,86.85,86.85,34.5,34.5
5,Gross Profit,574.09,101.8,85.56,52.47,77,67.1,40.87,20.71,57.99,64.32,43.82,34.81,25,51.58,28.79,29.08,19.81,19.81,27,27
6,"Selling, General & Admin",-63.78,23.9,21.32,18.56,17.28,14.25,14.92,13.57,16.19,14.11,13.51,11.66,9.97,10.21,8.84,10.55,20.67,20.67,8.3,8.3
7,Research & Development,-74.13,26.72,26,21.42,24.12,21.3,19.41,17.82,20.06,16.23,12.81,11.45,11.8,10.7,10.14,8.89,15.81,15.81,5.98,5.98
8,Other Operating Expenses,726.29,-2.8,3.99,-1.44,3.4,-0.12,0.84,-1.21,5.1,-0.46,-1.89,-0.82,5.83,0.03,-4.07,0.12,-48.71,-48.71,0.43,0.43
9,Operating Expenses,585.22,51.01,54.78,35.05,47.44,38.25,37.02,26.8,41.26,32.13,24.09,23.65,26.52,22.75,14.58,18.43,-10.76,-10.76,15.73,15.73
10,Operating Income,-11.13,50.79,30.79,17.42,29.56,28.85,3.85,-6.09,16.73,32.19,19.73,11.15,-1.52,28.82,14.22,10.66,30.57,30.57,11.27,11.27
11,Interest Expense,-11.7,-4.62,-4.57,-4.05,-4.01,-3.36,-3.51,-3.59,-2.91,-3.32,-3.35,-2.84,-2.92,-2.94,-1.9,-1.83,-1.3,-1.3,-0.88,-0.88
12,Interest & Investment Income,13.24,3.45,5.28,2.97,4.31,3.4,8.8,3.47,5.17,8.18,4.57,1.91,0.01,0.11,0.01,0.02,0.69,0.69,0.61,0.61
13,Currency Exchange Gain (Loss),-,-4.53,4.53,-,3.16,-6.34,6.34,-,16.24,-9.45,9.45,-,-3.23,1.2,-1.2,-,-3.92,-3.92,0.34,0.34
14,Other Non Operating Income (Expenses),3.02,-3.41,-1.99,1.35,-3.95,3.26,3.9,-3.23,-19.76,20.46,-1.85,-0.1,-0.14,-0.19,-0.74,-0.36,-0.52,-0.52,-0.13,-0.13
15,EBT Excluding Unusual Items,-6.57,41.68,34.04,17.7,29.06,25.81,19.39,-9.44,15.47,48.07,28.55,10.13,-7.81,27.02,10.39,8.48,25.52,25.52,11.22,11.22
16,Gain (Loss) on Sale of Investments,0.55,-0.23,-0.23,-0.09,2.2,3.19,-8.48,2.23,1.12,-3.53,4.13,-0.58,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,2.45,-2.21,-0.13,-0.11,-0.14,0.01,-,-0,-0.12,0.12,-0.02,-,0.11,0.01,-0.01,-0.14,-0.02,-0.02,-,-
18,Asset Writedown,21.29,-21.25,3.96,-4,9.89,-9.89,4.57,-4.57,7.97,-7.97,0.72,-0.72,5.91,-5.91,2.79,-2.79,-,-,-0.01,-0.01
19,Other Unusual Items,-,-2.73,2.7,0.03,6.94,-0,0,-,10.34,-0.04,0.04,-,6.56,-0.03,0.03,-,2.37,2.37,0.25,0.25
20,Pretax Income,17.72,15.26,40.34,13.52,47.95,19.12,15.49,-11.78,34.78,36.66,33.42,8.83,4.76,21.09,13.21,5.54,27.88,27.88,11.45,11.45
21,Income Tax Expense,11.39,-2.03,5.02,-1.7,1.61,3.42,2.13,-4.69,7.9,5.93,4.16,-0.48,-3.71,2.9,-0.93,0.03,3.71,3.71,1.08,1.08
22,Earnings From Continuing Operations,6.32,17.3,35.31,15.22,46.35,15.7,13.36,-7.09,26.88,30.73,29.26,9.31,8.46,18.18,14.14,5.5,24.17,24.17,10.37,10.37
23,Minority Interest in Earnings,15.77,-6.68,-8.55,-0.55,-10.78,-2.72,-0.22,4.18,1.13,-1.98,-0.89,0.47,0.09,0.76,-0.22,0.52,-0.61,-0.61,0.42,0.42
24,Net Income,22.1,10.62,26.77,14.67,35.56,12.98,13.15,-2.91,28.01,28.75,28.37,9.78,8.55,18.95,13.92,6.02,23.55,23.55,10.79,10.79
25,Net Income to Common,22.1,10.62,26.77,14.67,35.56,12.98,13.15,-2.91,28.01,28.75,28.37,9.78,8.55,18.95,13.92,6.02,23.55,23.55,10.79,10.79
26,Net Income Growth,-37.86%,-18.18%,103.61%,-,26.97%,-54.86%,-53.66%,-,227.59%,51.70%,103.86%,62.41%,-63.70%,-19.55%,28.94%,-44.19%,-,-,-,-
27,Shares Outstanding (Basic),158,154,156,163,171,172,156,136,156,149,166,152,119,122,115,118,118,-,117,117
28,Shares Outstanding (Diluted),158,154,156,163,171,172,205,136,156,149,166,152,119,122,115,118,118,-,117,117
29,Shares Change (YoY),-7.79%,-10.09%,-24.00%,19.73%,10.02%,15.47%,23.60%,-10.49%,30.39%,21.59%,44.72%,28.81%,1.04%,-,-2.50%,0.50%,-,-,-,-
30,EPS (Basic),0.14,0.07,0.17,0.09,0.21,0.08,0.08,-0.02,0.18,0.19,0.17,0.06,0.07,0.15,0.12,0.05,0.20,-,0.09,0.09
31,EPS (Diluted),0.14,0.07,0.17,0.09,0.21,0.08,0.06,-0.02,0.18,0.19,0.17,0.06,0.07,0.15,0.12,0.05,0.20,-,0.09,0.09
32,EPS Growth,-32.61%,-8.99%,167.90%,-,15.41%,-60.91%,-62.51%,-,151.25%,24.76%,40.86%,26.08%,-64.08%,-,32.25%,-44.47%,-,-,-,-
33,Free Cash Flow,-,-52.33,-50.48,21.03,-34.57,-92.52,-27.49,4.13,-23.44,-39.02,-31.7,-31.42,12.17,-21.28,-2.54,-14.83,-10.95,-,-15.86,-15.86
34,Free Cash Flow Per Share,-,-0.34,-0.32,0.13,-0.20,-0.54,-0.13,0.03,-0.15,-0.26,-0.19,-0.21,0.10,-0.17,-0.02,-0.13,-0.09,-,-0.14,-0.14
35,Dividend Per Share,-,-,-,-,0.200,-,0.300,-,0.186,-,-,-,0.102,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,7.70%,-,-,-,81.88%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,258.71%,44.94%,36.32%,40.39%,39.73%,42.03%,29.37%,29.98%,38.41%,47.03%,35.52%,35.68%,26.83%,49.35%,33.29%,41.34%,18.57%,18.57%,43.90%,43.90%
38,Operating Margin,-5.01%,22.42%,13.07%,13.41%,15.25%,18.07%,2.77%,-8.81%,11.08%,23.54%,15.99%,11.43%,-1.63%,27.58%,16.44%,15.15%,28.66%,28.66%,18.32%,18.32%
39,Profit Margin,9.96%,4.69%,11.36%,11.30%,18.35%,8.13%,9.45%,-4.22%,18.55%,21.02%,22.99%,10.03%,9.17%,18.13%,16.09%,8.56%,22.08%,22.08%,17.55%,17.55%
40,Free Cash Flow Margin,-,-23.10%,-21.43%,16.19%,-17.84%,-57.95%,-19.75%,5.98%,-15.53%,-28.53%,-25.69%,-32.21%,13.06%,-20.37%,-2.94%,-21.08%,-10.27%,-,-25.79%,-25.79%
41,EBITDA,-2.64,59.27,44.27,25.9,38.04,35.42,12.11,0.48,23.3,35.94,25.55,14.9,2.23,31,17.05,12.83,33.42,33.42,12.53,12.53
42,EBITDA Margin,-1.19%,26.17%,18.79%,19.94%,19.63%,22.19%,8.70%,0.70%,15.43%,26.28%,20.71%,15.27%,2.39%,29.66%,19.72%,18.24%,31.33%,31.33%,20.37%,20.37%
43,D&A For EBITDA,8.48,8.48,13.48,8.48,8.48,6.57,8.26,6.57,6.57,3.75,5.82,3.75,3.75,2.17,2.84,2.17,2.85,2.85,1.26,1.26
44,EBIT,-11.13,50.79,30.79,17.42,29.56,28.85,3.85,-6.09,16.73,32.19,19.73,11.15,-1.52,28.82,14.22,10.66,30.57,30.57,11.27,11.27
45,EBIT Margin,-5.01%,22.42%,13.07%,13.41%,15.25%,18.07%,2.77%,-8.81%,11.08%,23.54%,15.99%,11.43%,-1.63%,27.58%,16.44%,15.15%,28.66%,28.66%,18.32%,18.32%
46,Effective Tax Rate,64.31%,-,12.45%,-,3.35%,17.87%,13.72%,-,22.71%,16.18%,12.45%,-,-,13.77%,-,0.59%,13.31%,13.31%,9.40%,9.40%
47,Revenue as Reported,-,226.53,235.59,129.88,193.81,159.65,139.18,69.08,150.97,136.75,123.37,97.55,93.2,104.5,86.48,70.35,168.16,168.16,61.5,61.5
