,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3790,3158,3452,3467,3154,4107,3034,3061,3217,2472,2386,2427,2296,3317,-,-,-,-,-,-,-
1,Market Cap Growth,-23.10%,-23.10%,13.77%,13.28%,-1.95%,66.17%,27.17%,26.11%,40.10%,-25.48%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3775,3143,3368,3330,2887,3840,2637,2604,2740,1995,1826,1817,2354,3374,-,-,-,-,-,-,-
3,Last Close Price,23.95,19.96,21.85,21.93,19.88,25.89,18.94,19.10,19.87,15.27,14.73,14.99,14.09,20.36,-,-,-,-,-,-,-
4,PE Ratio,50.96,42.59,39.39,38.53,41.31,69.89,59.23,45.69,-,26.05,31.62,36.97,44.85,69.92,-,-,-,-,-,-,-
5,PS Ratio,4.64,3.88,4.39,4.82,5.07,7.31,5.85,6.17,6.70,4.86,5.29,5.80,6.01,9.36,-,-,-,-,-,-,-
6,PB Ratio,3.04,2.51,2.74,2.81,2.58,3.40,2.51,2.55,2.65,2.03,2.02,2.12,2.03,2.96,-,-,-,-,-,-,-
7,P/TBV Ratio,2.61,2.61,2.85,2.93,2.66,3.51,2.57,2.60,2.70,2.08,2.07,2.17,2.08,3.04,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-23.61,-,-,-,-35.73,-,-,-,-,-125.28,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,16.82,21.70,29.55,-,22.66,18.95,18.94,27.55,26.21,32.95,41.93,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.64,3.86,4.29,4.63,4.64,6.84,5.08,5.25,5.71,3.92,4.05,4.34,6.17,9.52,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,30.99,-,20.11,23.18,25.90,44.62,36.98,36.25,32.14,20.02,23.23,24.66,36.11,53.47,-,-,-,-,-,-,-
12,EV/EBIT Ratio,42.96,-,26.20,31.23,36.23,68.36,60.84,55.78,-,25.01,29.67,31.22,44.69,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-21.62,-,-,-,-30.44,-,-,-,-,-127.46,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.45,0.45,0.45,0.43,0.39,0.38,0.29,0.27,0.39,0.22,0.24,0.26,0.19,0.21,-,0.42,0.11,0.11,0.11,0.13,0.13
15,Debt / EBITDA Ratio,4.69,-,2.41,2.37,4.62,2.02,2.49,3.87,243.98,1.61,1.95,2.09,3.68,2.68,-,1.27,0.67,0.26,0.26,0.66,0.66
16,Debt / FCF Ratio,-,-,-,-,-3.58,-,-,-,-5.22,-,-,-,-,-8.69,-,-,-,-,-,-,-
17,Asset Turnover,-,0.41,0.45,0.26,0.40,0.36,0.31,0.16,0.36,0.34,0.32,0.26,-,-,-,-,0.94,1.00,0.62,-,
18,Inventory Turnover,-,-,2.16,2.91,1.77,2.94,2.58,2.98,1.49,2.88,2.46,3.15,2.69,-,-,-,-,4.70,4.42,1.65,-
19,Quick Ratio,-,-,1.59,1.52,2.11,1.86,2.98,4.84,3.83,2.88,3.01,3.29,4.72,3.74,-,1.03,-,1.52,1.52,1.38,1.38
20,Current Ratio,-,-,2.06,1.98,2.66,2.27,3.61,5.71,4.38,3.34,3.47,3.71,5.25,4.12,-,1.55,-,2.11,2.11,2.06,2.06
21,Return on Equity (ROE),2.01%,5.55%,11.50%,5.01%,15.35%,5.21%,4.42%,-2.33%,8.95%,10.55%,10.27%,3.30%,-,-,18.07%,7.26%,31.89%,35.18%,16.84%,-,
22,Return on Assets (ROA),-,5.71%,3.65%,2.15%,3.83%,4.05%,0.54%,-0.86%,2.52%,5.01%,3.22%,1.88%,-,-,-,-,16.78%,18.00%,7.15%,-,
23,Return on Capital (ROIC),-1.52%,7.08%,4.45%,2.58%,4.58%,4.68%,0.60%,-0.96%,2.83%,5.54%,3.53%,2.06%,-,-,8.95%,7.90%,22.65%,24.77%,10.08%,-,
24,Return on Capital Employed (ROCE),-,-,7.67%,6.67%,4.90%,3.61%,2.80%,3.01%,-,5.82%,4.68%,4.54%,4.15%,-,-,19.67%,-,25.80%,16.37%,8.77%,4.38%
25,Earnings Yield,1.96%,2.35%,2.54%,2.60%,2.42%,1.43%,1.69%,2.19%,2.56%,3.84%,3.16%,2.70%,2.23%,1.43%,-,-,-,-,-,-,-
