,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,521.6,628.51,627.41,593.66,543.83,703.32,582.2,370.86,285,374.38,415.97,889.28,-,79.16,-,56,56,34.16,34.16
1,Trading Asset Securities,-,80,-,-,-,76.05,10.16,341.38,351.15,475.46,482.6,414.67,-,-,-,-,-,-,50.37,50.37
2,Cash & Short-Term Investments,601.6,601.6,628.51,627.41,593.66,619.87,713.48,923.59,722,760.46,856.99,830.64,889.28,-,79.16,56,56,56,84.54,84.54
3,Cash Growth,1.34%,-2.95%,-11.91%,-32.07%,-17.78%,-18.49%,-16.75%,11.19%,-18.81%,-,982.56%,1383.35%,1488.07%,-,-6.36%,-33.76%,-,-,-,-
4,Accounts Receivable,-,313.85,260.19,194.43,261.16,222.29,159.69,106.96,185.91,170.04,140.03,124.72,116.73,-,104.53,-,133.39,133.39,94.76,94.76
5,Other Receivables,-,12.78,13.01,9.76,14.05,13.57,8.54,3.46,10.18,10.81,7.44,9.45,15.88,-,9.33,-,10.51,10.51,8.74,8.74
6,Receivables,-,326.63,273.19,204.18,275.21,235.86,168.24,110.42,196.09,180.85,147.47,134.17,132.61,-,113.86,-,143.9,143.9,103.49,103.49
7,Inventory,-,234.83,226.16,186.19,164.6,152.92,134.24,129.37,130.94,127.65,108.27,94,92.44,-,87.97,-,73.92,73.92,83.4,83.4
8,Other Current Assets,-,37.42,41.83,32.87,29.88,26.96,24.1,17.94,16.52,16.02,18.67,14.34,12.55,-,10.85,-,3.11,3.11,9.8,9.8
9,Total Current Assets,-,1200,1170,1051,1063,1036,1040,1181,1066,1085,1131,1073,1127,-,291.85,-,276.92,276.92,281.24,281.24
10,"Property, Plant & Equipment",-,785.13,754.26,742.12,736.32,605.29,517.74,473.26,441.78,395.31,357.4,290.1,278.28,-,249.53,-,105.42,105.42,74.26,74.26
11,Long-Term Investments,-,72.17,72.61,69.65,69.83,60.96,52.24,61.01,61.27,52.85,1.88,1.92,1.94,-,1.98,-,-,-,-,-
12,Goodwill,-,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,-,0.59,-,0.59,0.59,0.59,0.59
13,Other Intangible Assets,-,31.93,31.2,25.82,26.24,26.27,26.74,26.98,27.18,27.53,27.52,27.74,28.19,-,28.15,-,27.41,27.41,0.71,0.71
14,Long-Term Deferred Tax Assets,-,79.16,70.94,63.52,63.4,53.95,56.48,57.04,51.12,28.56,30.26,30.35,29.43,-,23.59,-,19.18,19.18,7.16,7.16
15,Long-Term Deferred Charges,-,49.64,44.94,42.74,39.3,36.12,29.52,28.01,30.85,30.27,31.06,29.91,31.24,-,23.55,-,21.54,21.54,18.61,18.61
16,Other Long-Term Assets,-,40.14,46.44,26.26,25.53,13.48,10.47,7.23,12.24,6.55,6.83,18.74,3.48,-,5.91,-,4.44,4.44,11.21,11.21
