,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Other Revenue,657.63,624.16,554.25,560.84,534.95,494.73,433.03,406.52,318.21,358.36
1,Total Revenue,657.63,624.16,554.25,560.84,534.95,494.73,433.03,406.52,318.21,358.36
2,Revenue Growth (YoY,18.65%,11.29%,3.61%,13.36%,23.54%,21.70%,36.08%,13.44%,12.97%,31.59%
3,Property Expenses,246.39,222.68,191.04,194.4,197.72,192.55,154.75,130.06,93.48,116.84
4,"Selling, General & Administrative",-,1.31,-,0.77,-,0.85,0.62,0.53,0.11,0.36
5,Depreciation & Amortization,147.27,136.9,127.36,112.66,106.55,106.19,97.45,84.65,83.79,78.19
6,Other Operating Expenses,124.58,129.43,113.81,119.47,107.93,109.96,95.65,88.31,67.6,93.31
7,Total Operating Expenses,522.19,493.25,433.16,429.14,412.2,409.54,348.48,303.54,244.97,288.7
8,Operating Income,135.43,130.91,121.1,131.7,122.76,85.18,84.55,102.97,73.24,69.66
9,Interest Expense,-70.74,-71.37,-65.59,-52.08,-49.38,-50.9,-40.46,-25.27,-27.66,-31.24
10,Interest & Investment Income,1.27,2.05,1.11,2.08,0.39,0.66,0.37,0.15,0.21,0.74
11,Income (Loss) on Equity Investments,-,0.03,-,-0.05,-,-,-,-,-,-
12,Currency Exchange Gain (Loss),-,-0.77,-,-1.63,-,-0.42,-,-0.69,-,1.42
13,EBT Excluding Unusual Items,65.97,60.85,56.62,80.02,73.77,34.52,44.46,77.17,45.78,40.58
14,Gain (Loss) on Sale of Investments,-,-0.6,-,-1.12,-,-0.11,-,-2.43,-,-0.31
15,Gain (Loss) on Sale of Assets,-,0.44,-,-0.46,-,-0.06,-,-0.13,-,0.03
16,Pretax Income,65.97,60.69,56.62,78.45,73.77,34.34,44.46,74.62,45.78,40.3
17,Income Tax Expense,25.39,17.04,18.17,17.41,26.09,17.57,13.46,27.06,8.08,1.6
18,Earnings From Continuing Operations,40.58,43.65,38.44,61.03,47.67,16.77,31,47.56,37.7,38.7
19,Minority Interest in Earnings,9.13,6.46,2.62,-2.43,4.96,2.29,5.86,6.82,10.54,6.79
20,Net Income,49.71,50.11,41.06,58.6,52.63,19.06,36.86,54.37,48.24,45.49
21,Net Income to Common,49.71,50.11,41.06,58.6,52.63,19.06,36.86,54.37,48.24,45.49
22,Net Income Growth,21.05%,-14.50%,-21.98%,207.50%,42.80%,-64.95%,-23.59%,19.52%,399.66%,37.85%
23,Basic Shares Outstanding,1108,1109,1110,1114,1119,1120,1120,1120,1120,1099
24,Diluted Shares Outstanding,1108,1109,1110,1114,1119,1120,1120,1120,1120,1099
25,Shares Change (YoY),-0.22%,-0.44%,-0.81%,-0.56%,-0.07%,-0.00%,-,1.88%,33.33%,30.87%
26,EPS (Basic),0.04,0.05,0.04,0.05,0.05,0.02,0.03,0.05,0.04,0.04
27,EPS (Diluted),0.04,0.05,0.04,0.05,0.05,0.02,0.03,0.05,0.04,0.04
28,EPS Growth,21.32%,-14.12%,-21.35%,209.23%,42.90%,-64.95%,-23.59%,17.31%,274.77%,11.65%
29,Operating Margin,20.59%,20.97%,21.85%,23.48%,22.95%,17.22%,19.53%,25.33%,23.02%,19.44%
30,Profit Margin,7.56%,8.03%,7.41%,10.45%,9.84%,3.85%,8.51%,13.38%,15.16%,12.69%
31,Free Cash Flow Margin,22.10%,35.58%,27.65%,36.76%,46.70%,33.26%,44.52%,36.35%,35.44%,39.01%
32,EBITDA,277.55,262.95,243.88,239.07,224.91,187.26,178.3,183.97,153.54,143.66
33,D&A For Ebitda,142.12,132.04,122.78,107.37,102.15,102.07,93.75,81,80.31,74
34,EBIT,135.43,130.91,121.1,131.7,122.76,85.18,84.55,102.97,73.24,69.66
