,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1385,1219,1041,998,1044,983,1041,1030,1008,672,806
1,Market Cap Growth,22.07%,22.07%,-0.30%,1.56%,0.29%,-4.61%,3.32%,53.33%,25.00%,-,-
2,Enterprise Value,4490,4081,3670,3562,3423,3140,2969,2646,2184,1792,2157
3,Last Close Price,1.25,1.10,0.86,0.82,0.81,0.76,0.81,0.80,0.78,0.52,0.62
4,PE Ratio,12.92,11.36,10.37,9.27,8.31,11.70,15.17,9.39,8.27,6.53,13.07
5,PS Ratio,1.01,0.88,0.80,0.83,0.84,0.81,0.91,1.02,1.17,0.91,1.13
6,PB Ratio,1.19,0.90,0.76,0.78,0.68,0.65,0.68,0.71,0.73,0.55,0.67
7,P/FCF Ratio,3.09,3.09,2.52,2.57,2.03,2.02,2.37,2.52,3.26,2.43,2.62
8,P/OCF Ratio,3.09,3.09,2.52,2.57,2.03,2.02,2.37,2.52,3.26,2.43,2.62
9,EV/Sales Ratio,3.26,2.96,2.83,2.96,2.76,2.60,2.61,2.62,2.54,2.41,3.01
10,EV/EBITDA Ratio,7.59,7.03,6.57,6.83,6.53,6.50,6.62,6.07,5.45,5.50,7.30
11,EV/EBIT Ratio,15.69,14.26,13.22,13.04,11.90,12.89,14.25,11.73,10.44,11.43,16.25
12,EV/FCF Ratio,10.34,10.34,8.88,9.17,6.64,6.47,6.77,6.46,7.06,6.47,7.00
13,Debt / Equity Ratio,2.34,2.34,2.23,2.20,1.64,1.46,1.34,1.31,1.07,0.86,0.84
14,Debt / FCF Ratio,8.00,8.00,7.37,7.27,4.90,4.58,4.66,4.63,4.80,3.82,3.29
15,Earnings Yield,7.75%,8.80%,9.65%,10.79%,12.04%,8.54%,6.59%,10.65%,12.09%,15.30%,7.65%
16,FCF Yield,32.39%,32.39%,39.71%,38.90%,49.35%,49.38%,42.12%,39.75%,30.70%,41.23%,38.21%
17,Buyback Yield / Dilution,0.33%,0.22%,0.44%,0.81%,0.56%,0.07%,0.00%,-,-1.88%,-33.33%,-30.87%
18,Total Shareholder Return,8.15%,0.22%,0.44%,0.81%,0.56%,0.07%,0.00%,-,-1.88%,-33.33%,-30.87%
