,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,586,755,704,1069,2444,772,781,984,1069,934,1035,Upgrade
1,Market Cap Growth,-29.37%,-29.37%,-71.18%,38.46%,213.04%,-21.55%,-26.98%,5.45%,3.28%,-5.17%,0%,Upgrade
2,Enterprise Value,626,839,711,918,2167,541,499,638,727,768,838,Upgrade
3,Last Close Price,0.34,0.43,0.39,0.58,1.30,0.40,0.40,0.49,0.52,0.44,0.48,Upgrade
4,PE Ratio,31.36,-,6.59,7.85,19.00,7.19,41.76,-,26.59,-55.39,-,Upgrade
5,PS Ratio,0.28,0.36,0.34,0.52,1.19,0.40,0.44,0.58,0.66,0.56,0.60,Upgrade
6,PB Ratio,0.45,0.56,0.52,0.82,1.93,0.63,0.66,0.83,0.91,0.79,0.87,Upgrade
7,P/TBV Ratio,0.59,0.59,0.54,0.86,2.03,0.66,0.70,0.89,0.93,0.81,0.91,Upgrade
8,P/FCF Ratio,3.03,3.91,4.94,6.11,10.79,4.95,-,4.77,4.07,4.05,7.34,Upgrade
9,P/OCF Ratio,2.88,2.88,3.33,2.83,5.69,3.53,4.86,3.95,3.49,2.92,4.49,Upgrade
10,EV/Sales Ratio,0.30,0.40,0.34,0.45,1.05,0.28,0.28,0.38,0.45,0.46,0.48,Upgrade
11,EV/EBITDA Ratio,2.26,5.25,4.15,5.01,9.74,2.86,5.79,7.74,6.90,6.97,6.71,Upgrade
12,EV/EBIT Ratio,6.15,8.18,6.02,6.86,12.32,3.83,15.43,-,12.92,12.28,10.32,Upgrade
13,EV/FCF Ratio,3.24,4.34,4.99,5.24,9.57,3.47,-,3.09,2.77,3.34,5.94,Upgrade
14,Debt / Equity Ratio,0.33,0.33,0.31,0.31,0.30,0.33,0.31,0.32,0.25,0.23,0.25,Upgrade
15,Debt / FCF Ratio,2.32,2.32,2.99,2.30,1.67,2.56,-,1.84,1.12,1.18,2.13,Upgrade
16,Return on Capital Employed (ROCE),6.08%,6.08%,7.03%,8.36%,11.54%,9.53%,2.24%,-,4.10%,4.60%,5.85%,Upgrade
17,Earnings Yield,3.39%,2.63%,15.17%,12.74%,5.26%,13.91%,2.39%,-0.44%,3.76%,-1.81%,-2.19%,Upgrade
18,FCF Yield,33.02%,25.60%,20.25%,16.37%,9.27%,20.21%,12.57%,20.97%,24.59%,24.68%,13.63%,Upgrade
19,Dividend Yield,6.67%,5.32%,5.87%,4.39%,2.04%,5.98%,6.06%,4.93%,4.44%,5.18%,4.77%,Upgrade
20,Buyback Yield / Dilution,-0.05%,-,-1.11%,0.10%,-2.74%,2.85%,0.15%,-3.00%,9.86%,-2.84%,-1.28%,Upgrade
21,Total Shareholder Return,6.61%,5.32%,4.76%,4.49%,-0.70%,8.83%,6.22%,1.93%,14.29%,2.34%,3.50%,Upgrade
