,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Property Management Fees,89.3,40.85,70.31,68.45,74.79,-,94.45,-,92,70.61,Upgrade
1,Total Revenue,89.3,40.85,70.31,68.45,74.79,-,94.45,-,92,70.61,Upgrade
2,Revenue Growth (YoY,27.00%,-40.32%,-5.99%,-,-20.81%,-,2.66%,-,3.44%,-41.37%,Upgrade
3,Property Expenses,62.87,20.68,18.82,18.86,18.66,-,18.32,-,40.08,28.9,Upgrade
4,"Selling, General & Administrative",17.47,13.36,11.38,8.7,13.07,-,11.45,-,13.93,9.95,Upgrade
5,Total Operating Expenses,76.45,36.08,30.59,29.78,31.73,-,29.77,-,54.01,38.85,Upgrade
6,Operating Income,12.84,4.77,39.72,38.66,43.06,-,64.68,-,37.99,31.76,Upgrade
7,Interest Expense,-12.95,-20.52,-18.96,-21.49,-22.28,-,-23.66,-,-30.77,-34.93,Upgrade
8,Interest & Investment Income,0.98,2.62,-,19.59,-,-,-,-,-,0.13,Upgrade
9,Currency Exchange Gain (Loss),-,-0.02,-,-1.72,-,-,-,-,-,0.32,Upgrade
10,Other Non-Operating Income,5.98,2.75,7.91,-7.09,17.6,-,20.82,-,15.84,6.11,Upgrade
11,EBT Excluding Unusual Items,6.85,-10.41,28.66,27.95,38.38,-,61.83,-,23.05,3.38,Upgrade
12,Asset Writedown,-312.15,-126.09,-134.78,-237.08,-483.15,-,-3.61,-,-403,-77.78,Upgrade
13,Other Unusual Items,320.23,-48.15,37.44,-138.86,-64.65,-,-,-,-,-,Upgrade
14,Pretax Income,14.94,-184.64,-68.68,-347.98,-509.42,-,58.22,-,-379.95,-74.39,Upgrade
15,Income Tax Expense,-11.72,47.86,-30.39,-55.68,-118.27,-,13.76,-,-97.36,-23.79,Upgrade
16,Earnings From Continuing Operations,26.65,-232.5,-38.29,-292.3,-391.15,-,44.46,-,-282.59,-50.61,Upgrade
17,Earnings From Discontinued Operations,-,-,-,-,-,-,-10.26,-,-3.84,-,Upgrade
18,Net Income to Company,26.65,-232.5,-38.29,-292.3,-391.15,-,34.2,-,-286.43,-50.61,Upgrade
19,Minority Interest in Earnings,-0.07,-,-,-,-,-,-8.73,-,68.52,10.6,Upgrade
20,Net Income,26.59,-232.5,-38.29,-292.3,-391.15,-,25.47,-,-217.9,-40.01,Upgrade
21,Net Income to Common,26.59,-232.5,-38.29,-292.3,-391.15,-,25.47,-,-217.9,-40.01,Upgrade
22,Basic Shares Outstanding,2689,2689,2689,2689,2689,-,2689,-,2689,2689,Upgrade
23,Diluted Shares Outstanding,2699,2689,2689,2689,2689,-,2691,-,2689,2689,Upgrade
24,Shares Change (YoY),0.38%,-,-0.01%,-,-0.06%,-,0.07%,-,-0.07%,-0.07%,Upgrade
25,EPS (Basic),0.01,-0.09,-0.01,-0.11,-0.15,-,0.01,-,-0.08,-0.01,Upgrade
26,EPS (Diluted),0.01,-0.09,-0.01,-0.11,-0.15,-,0.01,-,-0.08,-0.01,Upgrade
27,Operating Margin,14.38%,11.67%,56.49%,56.49%,57.57%,-,68.48%,-,41.29%,44.98%,Upgrade
28,Profit Margin,29.77%,-569.17%,-54.46%,-427.05%,-523.01%,-,26.97%,-,-236.85%,-56.66%,Upgrade
29,Free Cash Flow Margin,-,67.76%,32.82%,57.73%,28.47%,-,355.98%,-,36.74%,-285.54%,Upgrade
30,EBITDA,12.96,4.89,39.84,38.77,43.15,-,64.72,-,38.66,32.53,Upgrade
31,D&A For Ebitda,0.12,0.12,0.12,0.1,0.09,0.08,0.04,2.2,0.67,0.77,Upgrade
32,EBIT,12.84,4.77,39.72,38.66,43.06,-,64.68,-,37.99,31.76,Upgrade
