,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,169.72,5.64,39.4,55.26,74.32,120.76,147.51,105.31,174.95,23.89
1,Short-Term Investments,6.04,3.01,7.65,3.31,5.05,20.08,-,25.97,-,6.42
2,Trading Asset Securities,-,-,-,5.05,5,-,-,-,-,-
3,Cash & Short-Term Investments,175.76,8.65,47.05,63.61,84.37,140.84,147.51,131.29,174.95,30.31
4,Cash Growth,273.58%,-86.40%,-44.23%,-54.83%,-42.81%,7.27%,-15.69%,333.10%,-,-
5,Receivables,242.36,235.79,208.99,146.31,170.88,144.33,164.93,136.61,129.99,115.85
6,Inventory,132.58,89.79,70.52,54.51,65.04,54.31,40.77,60.39,49.23,38.23
7,Other Current Assets,14.58,74.57,13.23,33.02,12.66,20.77,59.09,20.34,14.07,11.3
8,Total Current Assets,565.28,408.8,339.79,297.45,332.95,360.25,412.29,348.63,368.25,195.68
9,"Property, Plant & Equipment",6.77,10.12,7.28,8.62,9.61,7.89,9.11,11.05,7.74,9.45
10,Long-Term Investments,-,-,1.67,1.28,1.99,0.45,0.73,0.66,0.82,1.13
11,Goodwill,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,-,-
12,Other Intangible Assets,0.24,0.35,0.46,0.57,0.68,0.79,0.9,1.01,-,-
13,Long-Term Deferred Tax Assets,9.87,9.51,8.48,9.13,0.86,0.59,0.33,0.33,0.39,0.24
14,Total Assets,588.37,435,363.88,323.26,352.3,376.19,429.57,367.89,377.21,206.5
15,Accounts Payable,179.11,143.54,90.67,76.77,104.52,123.33,153.1,141.24,165.69,82.4
16,Accrued Expenses,-,4.34,-,6,-,6.81,-,4.29,-,3.6
17,Short-Term Debt,34,48.23,49.47,19.56,-,-,-,0,0.01,5.65
18,Current Portion of Leases,2.34,3.22,2.8,3.59,4.06,4.42,3.4,3.94,2.58,3.21
19,Current Income Taxes Payable,3.25,3.3,5.78,5.12,5.06,5.31,6.41,5.04,5.45,3.98
20,Current Unearned Revenue,160.22,33.6,13.68,20.75,8.96,22.89,48.38,11.94,5.93,5.26
21,Other Current Liabilities,7.41,3.24,8.63,3.69,10.96,2.95,9.37,6.92,5.17,3.92
22,Total Current Liabilities,386.34,239.47,171.04,135.49,133.55,165.71,220.66,173.36,184.83,108.01
23,Long-Term Leases,2.5,3.87,1.56,2.5,4.24,1.88,2.42,3.39,1.11,2.23
24,Long-Term Deferred Tax Liabilities,0.06,0.09,0.12,0.14,0.17,0.2,0.23,0.25,-,-
25,Total Liabilities,388.9,243.42,172.71,138.13,137.96,167.78,223.3,177,185.94,110.24
26,Common Stock,18.65,18.65,18.65,18.65,18.65,18.29,18.29,18.29,18.29,-
27,Additional Paid-In Capital,79.1,79.1,78.89,78.89,81.67,81.27,81.27,81.27,81.27,14.81
28,Retained Earnings,75.22,67.46,67.75,61.32,91.91,89.09,85.66,69.66,64.06,53.64
29,Comprehensive Income & Other,26.51,26.42,25.92,26.27,22.11,19.75,21.05,21.67,27.65,27.82
30,Total Common Equity,199.48,191.63,191.22,185.13,214.34,208.4,206.27,190.9,191.27,96.26
31,Minority Interest,-,-0.05,-0.05,-0,-,-,-,-,-,-
32,Shareholders' Equity,199.48,191.58,191.17,185.13,214.34,208.4,206.27,190.9,191.27,96.26
33,Total Liabilities & Equity,588.37,435,363.88,323.26,352.3,376.19,429.57,367.89,377.21,206.5
34,Total Debt,38.84,55.32,53.83,25.66,8.3,6.3,5.82,7.33,3.7,11.1
35,Net Cash (Debt),136.92,-46.66,-6.78,37.95,76.07,134.54,141.69,123.96,171.25,19.22
36,Net Cash Growth,-,-,-,-71.79%,-46.31%,8.54%,-17.26%,545.00%,-,-
37,Net Cash Per Share,0.07,-0.02,-0.00,0.02,0.04,0.06,0.07,0.06,0.10,0.01
38,Filing Date Shares Outstanding,2045,2045,2045,2045,2045,2000,2000,2000,2000,1500
39,Total Common Shares Outstanding,2045,2045,2045,2045,2045,2000,2000,2000,2000,1500
40,Working Capital,178.94,169.33,168.74,161.97,199.4,194.54,191.62,175.27,183.43,87.67
41,Book Value Per Share,0.10,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.06
42,Tangible Book Value,193.02,185.06,184.54,178.35,207.45,201.4,199.15,183.67,191.27,96.26
43,Tangible Book Value Per Share,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.09,0.10,0.06
44,Machinery,-,2.25,-,2.23,-,2.34,-,2.17,-,1.75
45,Leasehold Improvements,-,1.86,-,1.86,-,1.86,-,1.86,-,1.86
