,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,213,141,151,139,166,186,206,234,200,254,-
1,Market Cap Growth,1.47%,1.47%,-8.64%,-25.27%,-19.59%,-20.47%,3.00%,-7.87%,-,-,-
2,Enterprise Value,66,192,159,96,77,21,36,111,12,233,-
3,Last Close Price,0.10,0.07,0.07,0.07,0.08,0.09,0.10,0.11,0.10,0.12,-
4,PE Ratio,26.52,17.59,-,-4.73,-,17.02,8.64,9.01,10.51,11.59,-
5,PS Ratio,0.23,0.16,0.17,0.17,0.22,0.23,0.21,0.23,0.24,0.36,-
6,PB Ratio,0.99,0.66,0.72,0.67,0.79,0.74,0.81,0.94,0.88,1.21,-
7,P/TBV Ratio,0.68,0.68,0.74,0.70,0.82,0.77,0.83,0.98,0.92,1.21,-
8,P/FCF Ratio,1.34,0.89,-,-,-,-,-,16.65,-,2.82,-
9,P/OCF Ratio,0.89,0.89,-,-,-,-,-,16.09,-,2.80,-
10,EV/Sales Ratio,0.07,0.21,0.18,0.11,0.10,0.03,0.04,0.11,0.01,0.33,-
11,EV/EBITDA Ratio,10.74,81.34,-,-2.72,-,2.99,1.74,7.95,-,7.25,-
12,EV/EBIT Ratio,30.91,90.74,-,-2.70,-,3.23,1.80,8.46,-,7.35,-
13,EV/FCF Ratio,0.41,1.22,-,-,-,-,-,7.88,-,2.58,-
14,Debt / Equity Ratio,0.19,0.19,0.29,0.28,0.14,0.04,0.03,0.03,0.04,0.02,0.12
15,Debt / FCF Ratio,0.26,0.26,-,-,-,-,-,0.50,-,0.05,1.25
16,Return on Capital Employed (ROCE),0.98%,0.98%,-,-17.07%,-,2.53%,7.65%,5.21%,-,14.98%,27.93%
17,Earnings Yield,3.77%,5.68%,4.47%,-21.16%,-18.95%,5.88%,11.58%,11.10%,9.52%,8.63%,-
18,FCF Yield,74.43%,112.18%,-56.57%,-65.96%,-63.84%,-55.27%,8.55%,6.01%,20.92%,35.50%,-
19,Buyback Yield / Dilution,-,-,-,2.15%,-2.25%,-4.39%,-22.35%,-33.47%,-8.97%,-,
20,Total Shareholder Return,-,-,-,2.15%,-2.25%,-4.39%,-22.35%,-33.47%,-8.97%,-,
