,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,709.91,851.03,1115,604.07,1176,1521,836.44,199.41,-
1,Short-Term Investments,1730,1694,1597,2339,2143,1951,111.06,144.28,-
2,Trading Asset Securities,137.28,174.37,266.85,232.19,103.05,53.4,73.5,10.39,-
3,Cash & Short-Term Investments,2577,2719,2979,3175,3422,3525,1021,354.08,-
4,Cash Growth,-13.50%,-14.37%,-12.96%,-9.91%,235.21%,895.41%,-,-,-
5,Accounts Receivable,12.8,27.97,8.78,0.48,0.48,10.55,-,-,-
6,Other Receivables,27.99,18.5,12.6,34.01,0.84,0.72,2.15,0.84,-
7,Receivables,40.79,46.47,21.38,34.49,1.32,11.27,2.15,0.84,-
8,Inventory,95.95,61.1,86.11,51.33,47.37,22.43,20.54,11.33,-
9,Prepaid Expenses,-,-,-,-,59.5,-,34.31,-,-
10,Restricted Cash,-,1.78,-,-,-,-,-,-,-
11,Other Current Assets,74.85,111,60.41,48.83,29.26,23.67,12.97,14.66,-
12,Total Current Assets,2788,2940,3147,3310,3560,3582,1091,380.92,-
13,"Property, Plant & Equipment",946.38,893.74,876.64,584.43,431.5,177.53,132.1,124.82,-
14,Long-Term Investments,21.86,21.63,25.24,20.57,21.47,20.28,-,-,-
15,Other Intangible Assets,2.51,1.11,1.3,1.5,1.55,1.1,0.28,0.11,-
16,Other Long-Term Assets,46.36,26.91,17.89,15.84,88.91,153.59,36.11,24.1,-
17,Total Assets,3805,3883,4068,3932,4103,3934,1259,529.95,-
18,Accounts Payable,30.07,29.49,34.07,14.91,9.84,2.78,3.25,3.42,-
19,Accrued Expenses,81.39,110.33,99.85,90.99,39.04,49.93,18.24,15.31,-
20,Short-Term Debt,337.84,105.04,-,60.79,0.55,0.55,-,42.37,-
21,Current Portion of Long-Term Debt,33.06,-,11.76,0.6,100,-,-,-,-
22,Current Portion of Leases,15.45,19.43,18.03,11.08,12.5,11.72,6.02,4.18,-
23,Current Income Taxes Payable,11.31,1.82,1,1.03,0.24,0.94,0.41,0.16,-
24,Current Unearned Revenue,-,-,-,-,2.23,1.61,81.12,10.87,-
25,Other Current Liabilities,50.55,48.08,64.25,200.3,183.6,44.54,23.8,3.93,-
26,Total Current Liabilities,559.66,314.18,228.95,379.7,348.01,112.08,132.83,80.24,-
27,Long-Term Debt,348.65,331.83,271.1,28.8,10,-,5583,1386,-
28,Long-Term Leases,16.34,21.62,30.52,20.93,27.47,26.99,23.09,20.31,-
29,Long-Term Unearned Revenue,243.18,228.19,162.87,163.67,85.35,8.72,8.79,6.79,-
30,Long-Term Deferred Tax Liabilities,0.46,0.28,-,-,-,-,-,-,-
31,Other Long-Term Liabilities,-,-,-,-,-,141.29,137.02,131.64,-
32,Total Liabilities,1168,896.11,693.44,593.1,470.83,289.07,5885,1625,-
33,Common Stock,0.17,0.17,0.17,0.17,0.17,0.17,0.05,0.05,-
34,Additional Paid-In Capital,8480,8484,8481,8485,8516,8516,-,-,-
35,Retained Earnings,-5986,-5649,-5243,-5290,-4976,-4982,-4624,-1095,-
36,Treasury Stock,-,-,-,-,-38.61,-,-,-,-
37,Comprehensive Income & Other,142.4,151.76,136,144.97,140.02,116.82,-,-,-
38,Total Common Equity,2637,2986,3374,3340,3641,3651,-4624,-1095,-
39,Minority Interest,0.44,0.5,0.11,-1.07,-8.52,-5.59,-2.2,-0.27,-
40,Shareholders' Equity,2637,2987,3374,3339,3632,3645,-4626,-1095,-
41,Total Liabilities & Equity,3805,3883,4068,3932,4103,3934,1259,529.95,-
42,Total Debt,751.34,477.92,331.4,122.19,150.53,39.26,5613,1453,-
43,Net Cash (Debt),1825,2241,2647,3053,3272,3485,-4592,-1099,-
44,Net Cash Growth,-31.05%,-26.59%,-19.09%,-12.40%,-,-,-,-,-
45,Net Cash Per Share,6.98,8.57,9.97,11.72,12.24,13.69,-68.43,-16.37,-
46,Filing Date Shares Outstanding,275.6,276.6,276.7,277.39,277.92,279.74,67.1,271,67.1
47,Total Common Shares Outstanding,275.6,276.6,276.7,277.39,277.92,279.74,67.1,271,67.1
48,Working Capital,2229,2625,2918,2930,3212,3470,958.14,300.68,-
49,Book Value Per Share,9.57,10.80,12.19,12.04,13.10,13.05,-68.91,-4.04,-
50,Tangible Book Value,2634,2985,3373,3339,3639,3650,-4624,-1095,-
51,Tangible Book Value Per Share,9.56,10.79,12.19,12.04,13.10,13.05,-68.91,-4.04,-
52,Buildings,-,190.16,-,-,-,-,-,-,-
53,Machinery,-,626.77,-,235.49,-,110.64,-,82.14,-
54,Construction In Progress,-,34.48,-,323.55,-,21.63,-,0.18,-
55,Leasehold Improvements,-,60.77,-,51.73,-,42.45,-,42.68,-
