,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,54.68,26.97,327.12,0.06,100,110.27,-,-,-
1,Revenue Growth (YoY),-83.28%,42711.11%,227.12%,-99.94%,-,-,-,-,-
2,Cost of Revenue,3.74,21.86,15.02,0.05,2.54,17.2,-,-,-
3,Gross Profit,50.95,5.11,312.11,0.02,97.46,93.07,-,-,-
4,"Selling, General & Admin",113.2,94.63,82.37,82.86,51.05,65.62,26.84,13.87,7.68
5,Research & Development,331.03,346.53,249.76,343.37,164.01,167.1,191.06,87.46,39.94
6,Other Operating Expenses,0.17,0.98,0.38,0.68,-,2.58,0.38,0.03,-
7,Operating Expenses,444.39,442.14,332.51,426.91,215.06,235.29,218.28,101.36,47.62
8,Operating Income,-393.44,-437.03,-20.4,-426.9,-117.59,-142.22,-218.28,-101.36,-47.62
9,Interest Expense,-8.86,-7.92,-9.34,-7.07,-1.33,-5.09,-6.04,-11.69,-2.62
10,Interest & Investment Income,41.62,46.26,37.56,37.05,17.27,5.14,1.87,3.19,2.3
11,Earnings From Equity Investments,-1.7,-2.65,-2.1,-0.9,-8.81,-0.72,-,-,-
12,Currency Exchange Gain (Loss),5.98,-20.03,31.11,39.34,99.69,-64.54,9.82,21.78,-
13,Other Non Operating Income (Expenses),25.88,17.03,11.31,52.36,13.3,3404,-3418,1.42,12.06
14,EBT Excluding Unusual Items,-330.52,-404.33,48.15,-306.12,2.52,3197,-3631,-86.67,-35.87
15,Gain (Loss) on Sale of Investments,-,-,-,-,-,-0.24,0.24,-0.23,0.39
16,Other Unusual Items,-,-,-,-,-,-3459,-,-696.47,-
17,Pretax Income,-330.52,-404.33,48.15,-306.12,2.52,-262.2,-3630,-783.36,-35.49
18,Income Tax Expense,6.08,1.6,-,-,-,-,-,-,-
19,Earnings From Continuing Operations,-336.6,-405.93,48.15,-306.12,2.52,-262.2,-3630,-783.36,-35.49
20,Minority Interest in Earnings,-0.14,-0.39,-1.18,-7.45,2.93,3.39,1.93,0.27,-
21,Net Income,-336.75,-406.32,46.97,-313.57,5.45,-258.81,-3629,-783.1,-35.49
22,Net Income to Common,-336.75,-406.32,46.97,-313.57,5.45,-258.81,-3629,-783.1,-35.49
23,Net Income Growth,-,-,761.15%,-,-,-,-,-,-
24,Shares Outstanding (Basic),262,261,261,261,262,255,67,67,67
25,Shares Outstanding (Diluted),262,261,266,261,267,255,67,67,67
26,Shares Change (YoY),-1.49%,0.34%,-0.68%,2.34%,298.44%,279.44%,-,-,-
27,EPS (Basic),-1.29,-1.55,0.18,-1.20,0.02,-1.02,-54.08,-11.67,-0.53
28,EPS (Diluted),-1.29,-1.56,0.18,-1.20,0.02,-1.02,-54.08,-11.67,-0.53
29,EPS Growth,-,-,781.14%,-,-,-,-,-,-
30,Free Cash Flow,-473.35,-420.58,-210.24,-328.64,-352.11,-286.75,-99.68,-50.55,-88.62
31,Free Cash Flow Per Share,-1.81,-1.61,-0.79,-1.26,-1.32,-1.13,-1.49,-0.75,-1.32
32,Operating Margin,-719.51%,-1620.36%,-6.24%,-677615.87%,-117.59%,-128.98%,-,-,-
33,Profit Margin,-615.82%,-1506.52%,14.36%,-497728.57%,5.45%,-234.71%,-,-,-
34,Free Cash Flow Margin,-865.64%,-1559.36%,-64.27%,-521655.56%,-352.11%,-260.04%,-,-,-
35,EBITDA,-355.8,-403.9,-1.91,-413.36,-108.86,-136.78,-210.91,-93.4,-41.69
36,D&A For EBITDA,37.65,33.13,18.5,13.54,8.73,5.44,7.36,7.96,5.93
37,EBIT,-393.44,-437.03,-20.4,-426.9,-117.59,-142.22,-218.28,-101.36,-47.62
