,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,9729,9335,13586,11345,14267,9231,9651,-,-,-
1,Market Cap Growth,-17.71%,-17.71%,-4.77%,22.90%,47.83%,-,-,-,-,-
2,Enterprise Value,7768,6867,10725,7892,10424,4946,15170,-,-,-
3,Last Close Price,35.30,33.75,49.10,40.90,51.00,33.00,34.50,-,-,-
4,PE Ratio,-,-,-,-39.38,-,-31.11,-,-,-,-
5,PS Ratio,105.21,106.40,34.83,32.09,126.12,37.48,71.30,-,-,-
6,PB Ratio,3.43,3.29,4.13,3.11,3.78,2.17,2.16,-,-,-
7,P/TBV Ratio,3.30,3.30,4.13,3.11,3.78,2.17,2.15,-,-,-
8,P/OCF Ratio,-,-,-,-53.32,-,-,-,-,-,-
9,EV/Sales Ratio,88.54,78.27,27.49,22.32,92.15,20.08,112.08,-,-,-
10,Debt / Equity Ratio,0.28,0.28,0.16,0.10,0.04,0.04,0.01,-1.21,-1.33,-
11,Earnings Yield,-8.21%,-8.55%,-2.91%,-2.54%,-2.44%,-3.21%,-49.44%,-,-,-
12,FCF Yield,-9.87%,-10.29%,-5.12%,-5.13%,-5.39%,-8.11%,-4.91%,-,-,-
13,Buyback Yield / Dilution,-0.22%,1.49%,-0.34%,0.68%,-2.34%,-298.44%,-279.44%,-,-,-
14,Total Shareholder Return,-0.22%,1.49%,-0.34%,0.68%,-2.34%,-298.44%,-279.44%,-,-,-
