,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,66.14,61.53,49.1,451.75,40.22,90.99,96.18,301.72,282.76,277.39,637.37,475.53,-,114.98,-
1,Short-Term Investments,-,-,446.76,-,724.44,-,1251,-,1010,-,402.69,-,-,-,-,-
2,Trading Asset Securities,-,1652,1173,941.87,533.29,335.79,306.25,349.26,346.23,852.82,1376,1099,1547,-,53.66,-
3,Cash & Short-Term Investments,1718,1718,1681,990.98,1709,376,1648,445.44,1658,1136,2056,1736,2022,-,168.64,120.42
4,Cash Growth,0.50%,356.94%,2.00%,122.47%,3.12%,-66.89%,-19.82%,-74.34%,-18.03%,-,1119.12%,1341.49%,-,-,-,-
5,Accounts Receivable,-,31.4,25.65,16.96,32.13,30.78,23.26,17.99,28.06,31.38,36.89,37.64,41.05,-,50.07,-
6,Other Receivables,-,0.15,2.78,0.1,0.77,0.1,0.16,0.12,1.58,803.19,1.73,306.87,8.88,-,0.26,-
7,Receivables,-,31.55,28.43,17.06,32.9,30.89,23.42,18.11,29.64,834.56,38.61,344.51,49.94,-,50.33,-
8,Inventory,-,43,42.45,49.12,42.8,44.38,41.82,41.07,41.83,49.44,45.51,44.79,41.56,-,36.47,-
9,Prepaid Expenses,-,-,-,-,-,-,0.11,-,-,-,-,-,-,-,-,-
10,Other Current Assets,-,5.72,8.8,739.02,6.53,1306,3.56,1241,6.7,10.62,6.97,8.73,6.01,-,8.95,-
11,Total Current Assets,-,1798,1761,1796,1792,1757,1717,1746,1736,2030,2147,2134,2120,-,264.39,-
12,"Property, Plant & Equipment",-,139.23,140.66,142.96,144.14,146.37,148.69,150.78,152.3,154.6,20.63,21.03,17.99,-,17.41,-
13,Long-Term Investments,-,350.33,347.96,342.51,339.85,337.23,334.66,319.63,317.12,-,-,-,-,-,-,-
14,Other Intangible Assets,-,1.42,0.61,0.73,0.89,0.7,0.86,1.02,1.18,1.34,1.5,1.67,1.83,-,2.15,-
15,Long-Term Deferred Tax Assets,-,1.54,1.18,0.8,0.87,1.39,1.08,0.65,0.62,0.37,0.39,0.4,0.39,-,0.47,-
16,Long-Term Deferred Charges,-,0.21,0.29,0.37,0.45,0.52,0.6,0.68,0.76,-,-,-,-,-,-,-
17,Other Long-Term Assets,-,2.42,2.82,3.23,3.63,4.03,4.84,4.84,4.84,12.5,7.08,7.08,8.11,-,-,-
18,Total Assets,-,2294,2255,2287,2282,2247,2208,2223,2213,2199,2177,2164,2148,-,284.42,-
19,Accounts Payable,-,40.06,33.8,27.26,41.27,43.44,34.85,25.38,26.38,34.03,43.42,35.88,43.53,-,61.8,-
20,Accrued Expenses,-,2.8,3.66,2.76,11.41,3.24,4.28,4.47,11.57,6.36,6.28,2.39,12.31,-,9.16,-
21,Current Income Taxes Payable,-,4.88,0.9,1.74,1.38,2.68,-,1.04,0.34,1.42,2.07,2.76,1.98,-,3.23,-
22,Current Unearned Revenue,-,1.07,1.12,1.44,0.66,0.9,0.62,0.9,0.84,1.37,1.34,3.48,0.84,-,2.28,-
23,Other Current Liabilities,-,0.27,2.69,0.31,0.51,0.68,0.55,0.44,0.57,0.39,1.61,0.64,0.59,-,0.19,-
24,Total Current Liabilities,-,49.09,42.18,33.51,55.24,50.95,40.3,32.22,39.71,43.57,54.71,45.15,59.24,-,76.66,-
25,Long-Term Leases,-,1.15,0.42,0.57,0.72,0.88,1.03,1.27,0.59,0.75,0.15,0.63,0.74,-,1.15,-
26,Long-Term Unearned Revenue,-,-,0.18,0.18,0.2,0.2,-,-,-,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,-,3.54,3.96,3.77,2.84,2.64,3,2.66,1.43,1.73,1.52,0.76,0.59,-,0.37,-
28,Total Liabilities,-,53.78,46.73,38.03,59,54.66,44.33,36.14,41.72,46.05,56.39,46.55,60.57,-,78.17,-
29,Common Stock,-,117.6,117.6,117.6,117.6,117.6,117.6,84,84,84,84,60,60,-,45,-
30,Additional Paid-In Capital,-,1803,1802,1800,1798,1800,1797,1826,1826,1826,1826,1850,1850,-,34.75,-
31,Retained Earnings,-,319.01,288.6,331.42,306.95,274.68,248.73,276.78,260.86,242.73,210,207.32,177.42,-,126.5,-
32,Shareholders' Equity,2240,2240,2208,2249,2223,2193,2164,2187,2171,2153,2120,2118,2088,-,206.25,142.64
33,Total Liabilities & Equity,-,2294,2255,2287,2282,2247,2208,2223,2213,2199,2177,2164,2148,-,284.42,-
34,Total Debt,1.15,1.15,0.42,0.57,0.72,0.88,1.03,1.27,0.59,0.75,0.15,0.63,0.74,-,1.15,-
35,Net Cash (Debt),1717,1717,1681,990.41,1709,375.13,1647,444.18,1657,1135,2056,1735,2022,-,167.5,120.42
36,Net Cash Growth,0.48%,357.70%,2.04%,122.98%,3.11%,-66.94%,-19.87%,-74.40%,-18.03%,-,1127.36%,1340.97%,-,-,-,-
37,Net Cash Per Share,14.90,14.70,13.91,8.50,14.19,3.17,13.94,3.91,14.41,9.71,17.11,14.92,20.63,-,1.89,1.37
38,Filing Date Shares Outstanding,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,87.99,88.2,87.82
39,Total Common Shares Outstanding,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,117.6,87.99,88.2,87.82
40,Working Capital,-,1749,1719,1763,1736,1706,1677,1713,1696,1987,2092,2089,2061,-,187.74,-
41,Book Value Per Share,19.05,19.05,18.77,19.12,18.90,18.64,18.40,18.60,18.46,18.31,18.03,18.01,17.75,-,2.34,1.62
42,Tangible Book Value,2238,2238,2207,2248,2222,2192,2163,2186,2170,2152,2119,2116,2086,-,204.1,142.15
43,Tangible Book Value Per Share,19.03,19.03,18.77,19.12,18.89,18.64,18.39,18.59,18.45,18.30,18.02,17.99,17.74,-,2.31,1.61
44,Buildings,-,-,162.31,-,162.31,-,162.31,-,162.31,-,22.78,-,22.78,-,22.78,-
45,Machinery,-,-,11.31,-,10.22,-,10.13,-,9.86,-,8.85,-,8.79,-,7.98,-
46,Construction In Progress,-,-,-,-,-,-,-,-,-,-,5.76,-,1.42,-,-,-
