,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,98.77,98.37,87.11,68.7,96.78,92.48,77.06,54.1,74.33,75.2,100.05,86.57,107.49,104.77,139.87,123.52
1,Revenue Growth (YoY),2.05%,6.36%,13.04%,26.98%,30.20%,22.98%,-22.97%,-37.51%,-30.84%,-28.22%,-28.47%,-29.92%,-,-,-,-
2,Cost of Revenue,-163.66,62.52,57.53,43.61,63.17,59.31,52.29,35.56,51.69,49.73,64.29,55.71,70.85,65.36,88.71,82
3,Gross Profit,262.43,35.84,29.58,25.09,33.61,33.17,24.77,18.54,22.65,25.47,35.76,30.86,36.63,39.41,51.16,41.52
4,"Selling, General & Admin",-20.45,6.97,6.82,6.66,7.57,7.07,6.95,6.38,6.73,6.03,6.11,3.74,8.03,4.17,4.64,4.5
5,Research & Development,-25.58,8.36,8.56,8.65,12.14,9.74,11,10.3,11.23,6.89,9.63,7.04,8.5,6.49,7.56,6.88
6,Other Operating Expenses,235,-1.54,-0.3,-0.42,-3.3,0.72,0.64,0.33,6.23,-5.18,0.08,-0.01,2.05,-0.67,0.29,-0.45
7,Operating Expenses,188.35,14.77,15.55,14.07,16.49,17.9,18.89,16.47,23.89,7.56,15.68,10.69,18.72,9.39,13.04,10.93
8,Operating Income,74.08,21.07,14.03,11.02,17.12,15.27,5.88,2.06,-1.25,17.91,20.08,20.17,17.92,30.02,38.12,30.59
9,Interest Expense,-43.26,-0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0,-0,-0.01,-0.01,-0.01,-0.02,-
10,Interest & Investment Income,0.02,13.91,15.63,13.72,12.33,16.91,14.27,13.09,28.29,11.97,10.53,11.89,3.17,0.34,0.46,0.32
