,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5545,5504,4439,4264,3903,4920,4867,5328,5967,4539,4620,5854,6525,8574,-,-,-
1,Market Cap Growth,11.85%,11.85%,-8.79%,-19.97%,-34.58%,8.41%,5.36%,-8.98%,-8.56%,-47.07%,-,-,-,-,-,-,-
2,Enterprise Value,3828,3787,2758,3274,3528,4545,3220,4884,4832,3404,2564,4119,6358,8407,-,-,-
3,Last Close Price,47.15,46.80,37.75,36.26,32.66,41.17,40.73,44.58,49.46,37.63,38.30,48.53,53.76,70.64,-,-,-
4,PE Ratio,49.63,49.37,38.64,38.61,37.16,50.99,59.10,59.77,56.57,37.99,37.28,48.99,56.58,74.86,-,-,-
5,PS Ratio,15.68,15.59,12.65,12.36,11.65,15.36,16.33,18.98,19.65,13.50,12.51,14.68,14.87,18.03,-,-,-
6,PB Ratio,2.48,2.46,1.98,1.93,1.74,2.21,2.22,2.46,2.73,2.09,2.15,2.76,3.08,4.11,-,-,-
7,P/TBV Ratio,2.46,2.46,1.98,1.93,1.74,2.21,2.22,2.46,2.73,2.09,2.15,2.76,3.08,4.11,-,-,-
8,P/FCF Ratio,-,-,65.24,72.61,65.92,72.20,84.54,-59.97,-83.13,-55.54,-,86.47,130.29,108.20,-,-,-
9,P/OCF Ratio,-,-,62.59,70.25,63.61,71.23,81.52,99.10,83.73,70.68,55.72,71.72,99.90,93.65,-,-,-
10,EV/Sales Ratio,10.85,10.73,7.86,9.49,10.53,14.19,10.81,17.40,15.91,10.13,6.94,10.33,14.49,17.67,-,-,-
11,EV/EBITDA Ratio,29.68,29.37,38.32,50.25,61.69,96.28,115.76,163.20,113.67,-,32.57,45.33,58.41,70.47,-,-,-
12,EV/EBIT Ratio,31.84,31.50,43.62,57.00,71.58,112.69,146.57,198.47,124.51,-,33.71,46.71,59.85,72.06,-,-,-
13,EV/FCF Ratio,-,-,40.54,55.74,59.58,66.70,55.93,-54.97,-67.32,-41.66,-,60.84,126.95,106.09,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.01,-
15,Debt / EBITDA Ratio,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.03,0.10,0.25,0.01,0.00,0.01,0.01,-,0.01,-
16,Debt / FCF Ratio,-,-,0.02,0.01,0.01,0.01,0.02,-0.01,-0.02,-0.01,-,0.00,0.01,0.01,-,0.02,-
17,Asset Turnover,-,0.17,0.15,0.12,0.17,0.17,0.14,0.10,0.13,0.14,0.18,0.16,-,-,-,-,
18,Inventory Turnover,-,-,5.85,5.03,3.80,5.80,5.50,5.05,3.43,4.53,4.19,5.70,5.16,-,-,-,-
19,Quick Ratio,-,-,35.64,40.54,30.08,31.54,7.99,41.48,14.39,42.50,45.22,38.28,46.08,34.98,-,2.86,-
20,Current Ratio,-,-,36.63,41.75,53.60,32.44,34.49,42.61,54.18,43.72,46.60,39.24,47.27,35.78,-,3.45,-
21,Return on Equity (ROE),5.15%,5.47%,4.98%,4.38%,5.85%,4.77%,4.11%,2.92%,3.36%,6.13%,7.30%,5.69%,-,-,79.09%,-,
22,Return on Assets (ROA),-,2.32%,1.54%,1.21%,1.89%,1.71%,0.66%,0.23%,-0.14%,2.05%,2.31%,2.34%,-,-,-,-,
23,Return on Capital (ROIC),8.26%,2.37%,1.57%,1.23%,1.94%,1.75%,0.68%,0.24%,-0.14%,2.10%,2.37%,2.40%,-,-,54.46%,-,
24,Return on Capital Employed (ROCE),-,-,2.82%,2.60%,2.19%,1.81%,1.00%,1.14%,1.77%,-,3.53%,4.16%,5.01%,5.58%,-,33.07%,-
25,Earnings Yield,2.01%,2.03%,2.59%,2.59%,2.69%,1.96%,1.69%,1.67%,1.77%,2.63%,2.68%,2.04%,1.77%,1.34%,-,-,-
26,FCF Yield,-,1.53%,1.38%,1.52%,1.38%,1.18%,-1.67%,-1.20%,-1.80%,-1.53%,1.16%,0.77%,0.92%,-,-,-,
27,Dividend Yield,1.23%,-,-,-,-,1.46%,-,-,-,1.14%,-,-,-,0.43%,-,-,-
28,Payout Ratio,0.00%,-,6.87%,246.78%,-,-,-,225.54%,-,-,-,93.09%,-,-,-,-,4.95%
29,Buyback Yield / Dilution,0.28%,4.25%,1.34%,-2.22%,-2.45%,-4.65%,-1.22%,1.62%,2.23%,-17.40%,-32.88%,-35.70%,-32.47%,-,-,-,-
30,Total Shareholder Return,1.50%,4.25%,1.34%,-2.22%,-2.45%,-3.19%,-1.22%,1.62%,2.23%,-16.26%,-32.88%,-35.70%,-32.47%,0.43%,-,-,-
