,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,199,239,143,155,193,215,290,370,440,250,500
1,Market Cap Growth,54.19%,54.19%,-25.91%,-27.91%,-33.45%,-41.89%,-34.09%,48.00%,-12.00%,-57.63%,-
2,Enterprise Value,-5,61,-32,5,48,89,151,248,343,178,403
3,Last Close Price,0.20,0.24,0.14,0.15,0.19,0.21,0.29,0.37,0.44,0.25,0.49
4,PE Ratio,5.67,6.81,4.43,4.26,5.71,17.22,-,10.89,10.98,7.14,29.69
5,PS Ratio,0.50,0.60,0.34,0.36,0.44,0.55,0.77,0.93,1.08,0.70,1.41
6,PB Ratio,0.45,0.54,0.33,0.38,0.49,0.59,0.81,1.03,1.29,0.79,1.67
7,P/TBV Ratio,0.54,0.54,0.33,0.38,0.49,0.59,0.81,1.03,1.29,0.79,1.67
8,P/FCF Ratio,7.62,9.15,-,5.54,6.81,9.20,-,9.45,8.89,45.99,-
9,P/OCF Ratio,5.25,5.25,3.25,3.18,4.78,6.03,8.46,6.75,7.01,10.78,-
10,EV/Sales Ratio,0.15,0.15,-,0.01,0.11,0.23,0.40,0.63,0.84,0.50,1.14
11,EV/EBITDA Ratio,1.30,1.30,-,0.10,1.12,2.62,3.80,4.51,5.87,3.76,10.48
12,EV/EBIT Ratio,1.73,1.73,-,0.13,1.45,3.68,5.05,5.49,7.09,4.70,14.07
13,EV/FCF Ratio,-0.17,2.32,-,0.17,1.71,3.80,-,6.34,6.94,32.84,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.04,0.06,0.07,0.08,0.05,0.06,0.07,0.08
15,Debt / FCF Ratio,0.28,0.28,-,0.59,0.86,1.07,-,0.48,0.45,3.82,-
16,Return on Capital Employed (ROCE),7.65%,7.65%,8.63%,8.25%,7.87%,6.18%,7.71%,11.92%,13.28%,11.24%,8.84%
17,Earnings Yield,17.64%,14.69%,22.58%,23.45%,17.52%,5.81%,6.83%,9.19%,9.11%,14.00%,3.37%
18,FCF Yield,13.13%,10.93%,16.06%,18.06%,14.69%,10.87%,6.41%,10.58%,11.25%,2.17%,-0.85%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.12%,-1.57%,-25.15%,
20,Total Shareholder Return,1.16%,-,-,-,-,-,-,-,0.12%,-1.57%,-25.15%
