,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,32.89,36.5,33.62,39.72,35.08,34.17,31.1,37.63,31.93,32.64
1,Revenue Growth (YoY),-2.18%,-8.11%,-4.16%,16.24%,12.80%,-9.20%,-2.60%,15.29%,12.36%,12.97%
2,Cost of Revenue,23.92,26.07,24.28,30.33,26.5,25.19,22.4,28.09,22.78,24.74
3,Gross Profit,8.96,10.43,9.34,9.39,8.58,8.98,8.7,9.54,9.14,7.9
4,"Selling, General & Admin",4.99,8.31,4.92,7.64,4.57,8.71,3.81,6.6,3.83,6.38
5,Operating Expenses,4.99,8.31,4.92,7.64,4.57,8.71,3.81,6.6,3.83,6.38
6,Operating Income,3.97,2.11,4.42,1.75,4.01,0.27,4.9,2.94,5.31,1.52
7,Interest Expense,-0.03,-0.05,-0.05,-0.06,-0.06,-0.06,-0.07,-0.08,-0.07,-0.09
8,Interest & Investment Income,0.54,0.45,0.36,0.24,0.03,0.02,0.03,0.07,0.19,0.05
9,Currency Exchange Gain (Loss),0.27,-0.17,-0.34,-0.67,0.07,0,0.01,-0.49,0.56,0.25
10,Other Non Operating Income (Expenses),0.24,-0.08,0.16,1.97,-0.07,0,0.04,0.01,-0.19,0
11,EBT Excluding Unusual Items,4.99,2.26,4.55,3.23,3.98,0.24,4.9,2.46,5.8,1.73
12,Gain (Loss) on Sale of Investments,-0.04,0.04,-,-,-,-,-,-,-,-
13,Gain (Loss) on Sale of Assets,0,0,-0,-,-,-0,0.04,0,-,-
14,Asset Writedown,-,-,-,-,-,-0.26,-,-,-,-0.17
15,Other Unusual Items,0,-0.01,0.05,-0.01,0.04,0.04,0.17,0.23,0.37,-0.02
16,Pretax Income,4.95,2.3,4.61,3.22,4.02,0.02,5.11,2.7,6.17,1.55
17,Income Tax Expense,0.93,0.22,1.22,0.32,1.1,0.73,0.98,0.94,1.1,0.32
18,Net Income,4.03,2.07,3.38,2.89,2.92,-0.71,4.13,1.75,5.08,1.22
19,Net Income to Common,4.03,2.07,3.38,2.89,2.92,-0.71,4.13,1.75,5.08,1.22
20,Net Income Growth,18.94%,-28.44%,15.84%,-,-29.29%,-,-18.61%,43.65%,200.94%,-
21,Shares Outstanding (Basic),1000,1000,1000,1000,1000,1000,1000,1000,1000,1001
22,Shares Outstanding (Diluted),1000,1000,1000,1000,1000,1000,1000,1000,1000,1001
23,Shares Change (YoY),-,-,-,-,-,-,-,-0.12%,1.57%,25.15%
24,EPS (Basic),0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,0.00
25,EPS (Diluted),0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,0.00
26,EPS Growth,18.94%,-28.08%,15.85%,-,-29.29%,-,-18.60%,43.77%,196.26%,-
27,Free Cash Flow,4.99,-0.46,4.34,0.5,4.38,-0.23,3.44,3.34,5.1,-4.12
28,Free Cash Flow Per Share,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,-0.00
29,Operating Margin,12.08%,5.79%,13.14%,4.40%,11.42%,0.80%,15.74%,7.82%,16.64%,4.67%
30,Profit Margin,12.24%,5.67%,10.07%,7.29%,8.33%,-2.07%,13.29%,4.66%,15.90%,3.74%
31,Free Cash Flow Margin,15.18%,-1.25%,12.90%,1.25%,12.48%,-0.68%,11.08%,8.87%,15.97%,-12.62%
32,EBITDA,5.02,3.06,5.31,2.61,4.86,1.16,5.72,3.83,6.15,2.39
33,D&A For EBITDA,1.05,0.95,0.89,0.86,0.85,0.88,0.82,0.89,0.84,0.87
34,EBIT,3.97,2.11,4.42,1.75,4.01,0.27,4.9,2.94,5.31,1.52
