,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Cash & Equivalents,488.7,666.47,583.79,696.74,-,-
1,Short-Term Investments,-,120.78,-,136.68,-,-
2,Trading Asset Securities,164.12,209.33,93.65,108.6,-,-
3,Cash & Short-Term Investments,652.82,996.58,677.44,942.03,-,-
4,Cash Growth,-3.63%,5.79%,-,-,-,-
5,Accounts Receivable,36.58,5.46,132.31,78.04,-,-
6,Other Receivables,14.83,79.54,81.43,76.63,-,-
7,Receivables,297.17,85,400.54,155.91,-,-
8,Inventory,8.03,4.61,7.85,1.2,-,-
9,Prepaid Expenses,-,-,45.27,-,-,-
10,Other Current Assets,78.98,8.97,-,43.93,-,-
11,Total Current Assets,1037,1095,1131,1143,-,-
12,"Property, Plant & Equipment",165.47,193.25,201.44,177.84,-,-
13,Long-Term Investments,-,70.59,-,-,-,-
14,Other Intangible Assets,0.68,0.73,0.78,0.83,-,-
15,Other Long-Term Assets,59.1,11.89,9.59,6.02,-,-
16,Total Assets,1264,1429,1346,1332,-,-
17,Accounts Payable,54.24,71.9,43.17,15.88,-,-
18,Accrued Expenses,-,126.21,-,183.83,-,-
19,Short-Term Debt,15.03,174.37,-,103.99,-,-
20,Current Portion of Long-Term Debt,138.98,27,151.6,-,-,-
21,Current Portion of Leases,17.19,23.23,22.32,11.31,-,-
22,Current Income Taxes Payable,-,0.06,-,-,-,-
23,Current Unearned Revenue,0.29,24.54,-,-,-,-
24,Other Current Liabilities,176.18,53.08,206.95,61.24,-,-
25,Total Current Liabilities,401.9,500.37,424.05,376.25,-,-
26,Long-Term Debt,75.74,29.24,54.79,27,-,-
27,Long-Term Leases,13.02,28.58,44.83,33.4,-,-
28,Total Liabilities,490.67,558.2,523.66,436.65,-,-
29,Common Stock,0.23,0.23,0.22,0.22,-,-
30,Additional Paid-In Capital,4785,4785,4237,4228,-,-
31,Retained Earnings,-4264,-4161,-3815,-3636,-,-
32,Treasury Stock,-0.17,-0.01,-0.03,-0.03,-,-
33,Comprehensive Income & Other,326.76,311.97,453.62,350.98,-,-
34,Total Common Equity,847.87,936.74,875.8,943,-,-
35,Minority Interest,-75,-66.05,-53.2,-47.59,-,-
36,Shareholders' Equity,772.87,870.69,822.6,895.41,-,-
37,Total Liabilities & Equity,1264,1429,1346,1332,-,-
38,Total Debt,259.96,282.43,273.54,175.7,-,-
39,Net Cash (Debt),392.86,714.15,403.9,766.33,-,-
40,Net Cash Growth,-2.73%,-6.81%,-,-,-,-
41,Net Cash Per Share,1.60,3.07,1.80,14.12,-,-
42,Filing Date Shares Outstanding,244.92,245.07,224.61,224.2,36.7,45.6
43,Total Common Shares Outstanding,244.92,245.07,224.61,224.2,36.7,45.6
44,Working Capital,635.1,594.78,707.05,766.81,-,-
45,Book Value Per Share,3.46,3.82,3.90,4.21,-,-
46,Tangible Book Value,847.19,936.01,875.02,942.17,-,-
47,Tangible Book Value Per Share,3.46,3.82,3.90,4.20,-,-
48,Machinery,-,8.28,-,8.06,-,-
49,Construction In Progress,-,113.95,-,99.87,-,-
50,Leasehold Improvements,-,33.16,-,33.16,-,-
