,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Revenue,206.42,282.4,352.55,360.36,207.03,-
1,Revenue Growth (YoY),-41.45%,-21.64%,70.29%,-,-,-
2,Cost of Revenue,33.09,48.54,62.4,64.12,38.06,-
3,Gross Profit,173.33,233.86,290.15,296.24,168.97,-
4,"Selling, General & Admin",153.58,296.55,299.34,314.27,186.22,26.76
5,Research & Development,85.29,273.89,151.61,177.73,173.14,129.94
6,Other Operating Expenses,61.13,-48.7,48.7,-14.22,14.22,-
7,Operating Expenses,300.01,521.34,499.64,477.7,373.68,156.7
8,Operating Income,-126.68,-287.48,-209.49,-181.46,-204.71,-156.7
9,Interest Expense,-5.06,-3.73,-4.04,-2.17,-0.94,-0.37
10,Interest & Investment Income,13.2,10.59,8.88,5.99,3.13,1.16
11,Currency Exchange Gain (Loss),3.48,-10.73,8.18,13.21,21.65,-1.37
12,Other Non Operating Income (Expenses),1.16,-87.18,4.72,-562.91,-142.83,-646.7
13,EBT Excluding Unusual Items,-113.91,-378.53,-191.75,-727.34,-323.7,-803.97
14,Gain (Loss) on Sale of Investments,-1.25,6.27,1.55,-1.14,0.14,-
15,Other Unusual Items,1.08,-,-,-,-,-
16,Pretax Income,-114.07,-372.26,-190.2,-728.48,-323.55,-803.97
17,Income Tax Expense,-,0.06,-,-,-,-
18,Earnings From Continuing Operations,-114.07,-372.32,-190.2,-728.48,-323.55,-803.97
19,Minority Interest in Earnings,10.57,26.11,11.72,12.58,15.1,-
20,Net Income,-103.51,-346.21,-178.49,-715.9,-308.45,-803.97
21,Net Income to Common,-103.51,-346.21,-178.49,-715.9,-308.45,-803.97
22,Shares Outstanding (Basic),245,232,225,54,37,46
23,Shares Outstanding (Diluted),245,232,225,54,37,46
24,Shares Change (YoY),9.11%,328.05%,512.03%,19.04%,-,-
25,EPS (Basic),-0.42,-1.49,-0.79,-13.19,-8.41,-17.63
26,EPS (Diluted),-0.42,-1.49,-0.79,-13.19,-8.41,-17.63
27,Free Cash Flow,-225.6,22.95,-173.69,-229.22,-103.54,-133.61
28,Free Cash Flow Per Share,-0.92,0.10,-0.77,-4.22,-2.82,-2.93
29,Operating Margin,-61.37%,-101.80%,-59.42%,-50.35%,-98.88%,-
30,Profit Margin,-50.14%,-122.60%,-50.63%,-198.66%,-148.99%,-
31,Free Cash Flow Margin,-109.29%,8.13%,-49.26%,-63.61%,-50.01%,-
32,EBITDA,-122.34,-284.3,-204.81,-177.59,-200.7,-155.55
33,D&A For EBITDA,4.34,3.18,4.68,3.87,4.01,1.14
34,EBIT,-126.68,-287.48,-209.49,-181.46,-204.71,-156.7
