,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Market Capitalization,980,1306,1732,21720,9491,-,-
1,Market Cap Growth,-93.99%,-93.99%,-81.75%,-,-,-,-
2,Enterprise Value,477,447,1239,20800,12525,-,-
3,Last Close Price,4.00,5.33,7.64,96.70,42.50,-,-
4,PS Ratio,1.82,2.49,2.48,28.20,14.80,-,-
5,PB Ratio,1.08,1.57,1.81,24.44,9.38,-,-
6,P/TBV Ratio,1.43,1.43,1.68,22.97,8.91,-,-
7,P/FCF Ratio,-,-,-10.43,-,-,-,-
8,P/OCF Ratio,-,-,-10.89,-,-,-,-
9,EV/Sales Ratio,0.91,0.85,1.77,27.00,19.53,-,-
10,EV/FCF Ratio,-2.19,-,-7.46,-,-,-,-
11,Debt / Equity Ratio,0.34,0.34,0.32,0.33,0.20,-,-
12,Debt / FCF Ratio,-,-,-1.87,-,-,-,-
13,Earnings Yield,-49.30%,-37.00%,-33.37%,-4.45%,-12.20%,-,-
14,FCF Yield,-22.22%,-16.67%,-9.59%,-2.00%,-3.96%,-,-
15,Buyback Yield / Dilution,-71.19%,-9.11%,-328.05%,-512.03%,-19.04%,-,-
16,Total Shareholder Return,-71.19%,-9.11%,-328.05%,-512.03%,-19.04%,-,-
